@ 86400 IN SOA snspa root.snspa 2014033025 28800 1000 3600000 86400
@ 86400 IN NS ns.roedu.net.
86400 IN NS pub.pub.ro.
86400 IN NS snspa
@ 86400 IN MX 10 snspa
@ 86400 IN A 193.231.129.1
admitere 86400 IN A 193.231.129.37
www.spatiul-european 86400 IN A 193.231.129.2
rohefis 86400 IN A 193.231.129.7
www.mirceanita 86400 IN A 193.231.129.1
evaluare 86400 IN A 193.231.129.1
linux.apid 86400 IN A 193.231.129.2
dri 86400 IN MX 1 ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
dri 86400 IN A 193.231.129.37
www.apas.admpubl 86400 IN A 193.231.129.51
eurodisoc 86400 IN A 193.231.129.1
international 86400 IN A 193.231.129.1
calendar.dri 86400 IN CNAME ghs.googlehosted.COM.
www.test 86400 IN A 193.231.129.1
docs.dri 86400 IN CNAME ghs.googlehosted.COM.
elearning 86400 IN A 193.231.129.1
www.conference 86400 IN A 80.96.80.240
administer 86400 IN A 193.231.129.2
www.euroma 86400 IN A 70.32.97.148
mail.dri 86400 IN CNAME ghs.googlehosted.COM.
www.good-administration 86400 IN A 193.231.129.1
www.ecdl 86400 IN A 193.231.129.2
sitenou 86400 IN A 193.231.129.37
ns 86400 IN A 193.231.129.1
cinter 86400 IN A 193.231.129.1
bibliow 86400 IN A 192.168.80.6
www.ecofeminism 86400 IN A 193.231.129.1
www 86400 IN A 193.231.129.37
www.leonardo 86400 IN CNAME leonardo
exameninfo 86400 IN A 10.0.0.250
csis 86400 IN A 193.231.129.37
www.admpl 86400 IN A 193.231.129.2
www.cncsis 86400 IN A 193.231.129.1
www.biblioteca 86400 IN A 193.231.129.37
www.cci 86400 IN A 193.231.129.1
snspa-int 86400 IN A 192.168.80.1
www.cde 86400 IN A 193.231.129.1
vrsb 86400 IN A 193.231.129.1
mihaelamiroiu 86400 IN A 193.231.129.1
webmail 86400 IN A 193.231.129.1
cecop 86400 IN MX 10 mail
cecop 86400 IN A 193.231.129.37
jeanmonnet 86400 IN A 193.231.129.2
doctorat 86400 IN A 193.231.129.1
apas.admpubl 86400 IN A 193.231.129.51
www.evaluare 86400 IN A 193.231.129.1
www.orsee 86400 IN A 193.231.129.34
www.cpap 86400 IN A 193.231.129.2
www.wap.apid 86400 IN A 193.231.129.2
mjm 86400 IN A 193.231.129.1
www.evaldb 86400 IN A 193.231.129.22
thegreatbusinesschallenge 86400 IN A 193.231.129.36
www.liberty3 86400 IN A 193.231.129.6
www.jeanmonnet 86400 IN A 193.231.129.2
www.eplo 86400 IN A 193.231.129.1
absolvent 86400 IN A 193.231.129.1
documente 86400 IN A 193.231.129.1
comunicare 86400 IN CNAME comunicare.ro.
www.imp 86400 IN A 193.231.129.1
cristih 86400 IN A 192.168.80.2
test 86400 IN A 193.231.129.1
ftp 86400 IN CNAME snspa
www.cvapid 86400 IN A 193.231.129.1
www.europa 86400 IN A 193.231.129.37
grigorescu 86400 IN A 193.231.129.1
www.postdoctorat 86400 IN A 193.231.129.37
ecofeminism 86400 IN A 193.231.129.1
www.management-guvernare 86400 IN A 91.192.210.34
www.student 86400 IN A 193.231.129.37
www.administer 86400 IN A 193.231.129.2
ecdl 86400 IN A 193.231.129.2
snspa-gw 86400 IN A 193.231.129.1
www.mjm-ris 86400 IN A 193.231.129.1
www.thegreatbusinesschallenge 86400 IN A 193.231.129.36
localhost 86400 IN A 127.0.0.1
www.management 86400 IN CNAME management
vlad2 86400 IN A 193.231.129.11
facultateademanagement 86400 IN A 193.231.129.36
cncsis 86400 IN A 193.231.129.1
iroma 86400 IN A 193.231.129.1
www.cse 86400 IN A 193.231.129.1
www.webmail 86400 IN A 193.231.129.1
ns1 86400 IN A 193.231.129.1
ns2 86400 IN A 193.231.129.1
www.uzat 86400 IN A 193.231.129.1
www.eurodisoc 86400 IN A 193.231.129.1
www.ceptic 86400 IN A 193.231.129.1
conference 86400 IN A 80.96.80.240
biblio 86400 IN A 193.231.129.3
www.admpubl 86400 IN A 193.231.129.2
csnato 86400 IN A 193.231.129.4
csnato 86400 IN MX 10 www.centru-studii-nato.ro.
pppNT 86400 IN A 193.231.129.123
mihaela.miroiu 86400 IN A 193.231.129.1
postdoctorat 86400 IN A 193.231.129.37
management-guvernare 86400 IN A 91.192.210.34
www.apid 86400 IN A 193.231.129.2
evaldb 86400 IN A 193.231.129.22
www.elearning 86400 IN A 193.231.129.1
mail 86400 IN A 193.231.129.1
cpap 86400 IN A 193.231.129.2
www.international 86400 IN A 193.231.129.1
spatiul-european 86400 IN A 193.231.129.2
cci 86400 IN A 193.231.129.1
www.admitere 86400 IN A 193.231.129.37
euroma 86400 IN A 70.32.97.148
cde 86400 IN A 193.231.129.1
wap.apid 86400 IN A 193.231.129.2
management 86400 IN A 193.231.129.1
www.erasmus 86400 IN A 193.231.129.37
snspa 86400 IN A 193.231.129.1
eplo 86400 IN A 193.231.129.1
soyo 86400 IN A 193.231.129.3
ums 86400 IN A 193.231.129.9
cvapid 86400 IN A 193.231.129.1
phd.admpubl 86400 IN A 193.231.129.2
www.dri 86400 IN A 193.231.129.37
www.comunicare 86400 IN CNAME www.comunicare.ro.
www.cecop 86400 IN A 193.231.129.37
www.facultateademanagement 86400 IN A 193.231.129.36
igaa 86400 IN A 193.231.129.13
spidd 86400 IN A 193.231.129.20
sorin 86400 IN A 193.231.129.16
mirceanita 86400 IN A 193.231.129.1
www.grigorescu 86400 IN A 193.231.129.1
student 86400 IN MX 1 ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 10 ALT3.ASPMX.L.GOOGLE.COM.
86400 IN MX 10 ALT4.ASPMX.L.GOOGLE.COM.
student 86400 IN A 193.231.129.37
imp 86400 IN MX 10 imp
imp 86400 IN A 193.231.129.1
mjm-ris 86400 IN A 193.231.129.1
hotelbatistei 86400 IN A 217.73.165.134
hotelbatistei 86400 IN MX 10 217.73.165.134.
www.phd.admpubl 86400 IN A 193.231.129.2
ceptic 86400 IN A 193.231.129.1
www.mihaelamiroiu 86400 IN A 193.231.129.1
admpl 86400 IN A 193.231.129.2
www.ebibliodoct 86400 IN A 193.231.129.22
www.mihaela.miroiu 86400 IN A 193.231.129.1
uzat 86400 IN A 193.231.129.1
www.doctorat 86400 IN A 193.231.129.1
www.absolvent 86400 IN A 193.231.129.1
gw-snspa 86400 IN A 193.231.129.1
www.documente 86400 IN A 193.231.129.1
www.sitenou 86400 IN A 193.231.129.37
admpubl 86400 IN A 193.231.129.2
www.bibliow 86400 IN A 192.168.80.6
apid 86400 IN A 193.231.129.2
apid 86400 IN MX 20 apid
ebibliodoct 86400 IN A 193.231.129.22
cse 86400 IN A 193.231.129.1
orsee 86400 IN A 193.231.129.34
pppline1 86400 IN A 193.231.129.121
pppline2 86400 IN A 193.231.129.122
pppline3 86400 IN A 193.231.129.124
pppline4 86400 IN A 193.231.129.125
mx 86400 IN A 193.231.129.1
ppp 86400 IN A 193.231.129.120
www.cinter 86400 IN A 193.231.129.1
leonardo 86400 IN A 193.231.129.1
www.iroma 86400 IN A 193.231.129.1
bd 86400 IN A 193.231.129.100
sites.dri 86400 IN CNAME ghs.googlehosted.COM.
biblioteca 86400 IN A 193.231.129.37
www.csis 86400 IN A 193.231.129.37
erasmus 86400 IN A 193.231.129.37
liberty3 86400 IN A 193.231.129.6
www.mjm 86400 IN A 193.231.129.1
student.dri 86400 IN MX 1 ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
student.dri 86400 IN A 193.231.129.37
router 86400 IN A 193.231.129.126
www.vrsb 86400 IN A 193.231.129.1
europa 86400 IN A 193.231.129.37
vlad 86400 IN A 193.231.129.10
good-administration 86400 IN A 193.231.129.1
