@ 86400 IN SOA samsorn root 2015041700 10800 3600 604800 86400
@ 86400 IN MX 10 antispam
86400 IN MX 20 mail
@ 86400 IN NS samsorn
86400 IN NS trisorn2
86400 IN NS mars.uni.net.th.
pa5020 86400 IN A 202.28.103.253
regis 86400 IN A 202.28.103.111
law 86400 IN A 202.28.103.171
ntp1 86400 IN A 202.28.103.160
ntp2 86400 IN A 202.28.103.160
pa5050 86400 IN A 202.28.103.252
ocscn 86400 IN A 202.28.103.25
healthsci 86400 IN A 202.28.103.176
digitallib 86400 IN A 202.28.103.37
ds-sos 86400 IN A 202.28.103.5
seven 86400 IN A 202.28.103.11
ns2 86400 IN CNAME trisorn2
mlearning 86400 IN A 202.28.103.81
netmon 86400 IN A 202.28.103.150
e-jodil 86400 IN A 202.28.103.5
itasset 86400 IN A 202.28.103.221
ctestream 86400 IN CNAME modstream
qmis 86400 IN A 202.28.103.35
itapm 86400 IN A 202.28.103.226
library 86400 IN A 202.28.103.59
ctestream02 86400 IN A 202.28.103.74
ctestream03 86400 IN A 202.28.103.75
log 86400 IN A 202.28.103.36
nms 86400 IN A 202.28.103.29
post 86400 IN CNAME mail
apple 86400 IN A 202.28.103.8
e-doc 86400 IN A 202.28.103.9
tdc 86400 IN A 202.28.103.55
peach-db 86400 IN A 202.28.103.6
search 86400 IN A 202.28.103.12
peach 86400 IN A 202.28.103.7
ill 86400 IN A 202.28.103.53
librarykm 86400 IN A 202.28.103.51
moodle 86400 IN A 202.28.103.80
sccl 86400 IN A 202.28.103.18
council 86400 IN A 202.28.103.5
virtua 86400 IN A 202.28.103.52
antispam 86400 IN A 202.28.103.17
mod 86400 IN A 202.28.103.72
localhost 86400 IN A 127.0.0.1
edjournal 86400 IN A 202.28.103.5
proxy 86400 IN A 202.28.103.12
ctestou00 86400 IN CNAME modlibrary
trisorn2 86400 IN A 202.28.103.2
ereserves 86400 IN A 202.28.103.58
ns1 86400 IN CNAME samsorn
modlibrary 86400 IN A 202.28.103.71
ocs 86400 IN A 202.28.103.5
autodiscover 86400 IN CNAME mail
stoureg 86400 IN A 202.28.103.40
noc 86400 IN A 202.28.103.159
ise1 86400 IN A 202.28.103.155
ise2 86400 IN A 202.28.103.156
tempmon 86400 IN A 202.28.103.152
mail 86400 IN A 202.28.103.220
agri 86400 IN A 202.28.103.180
grad-research 86400 IN A 202.28.103.5
itservice 86400 IN A 202.28.103.224
econ 86400 IN A 202.28.103.177
d4lp2 86400 IN A 202.28.103.170
npttc 86400 IN A 202.28.103.5
asaihl 86400 IN A 202.28.103.5
sav-cop 86400 IN CNAME sccl
ntp 86400 IN CNAME ntp1
vup 86400 IN A 202.28.103.78
prpl 86400 IN A 202.28.103.65
humaneco 86400 IN A 202.28.103.178
polsci 86400 IN A 202.28.103.179
stouonline 86400 IN A 202.28.103.79
libarts 86400 IN A 202.28.103.5
d4lp 86400 IN A 202.28.103.76
nursing 86400 IN A 202.28.103.182
eservice 86400 IN A 202.28.103.8
sistou 86400 IN A 202.28.103.173
exchange 86400 IN CNAME mail
mediaportal 86400 IN A 202.28.103.82
speedtest 86400 IN A 202.28.103.157
modstream 86400 IN A 202.28.103.73
interonline 86400 IN A 202.28.103.77
asean-commarts 86400 IN A 202.28.103.185
commarts 86400 IN A 202.28.103.172
ird 86400 IN A 202.28.103.184
eexam2 86400 IN A 202.28.103.16
cdlearnse 86400 IN A 202.28.103.5
e-service 86400 IN A 202.28.103.8
owa 86400 IN CNAME mail
vpn 86400 IN A 202.28.103.34
cteswebpc 86400 IN CNAME mod
mgmtsci 86400 IN A 202.28.103.175
acs1 86400 IN A 202.28.103.23
acs2 86400 IN A 202.28.103.24
www 86400 IN A 202.28.103.5
scitech 86400 IN A 202.28.103.181
course 86400 IN A 202.28.103.78
samsorn 86400 IN A 202.28.103.1
sermon 86400 IN A 202.28.103.151
dc 86400 IN CNAME tdc
ocs-web 86400 IN A 202.28.103.14
www.library 86400 IN CNAME library
edu 86400 IN A 202.28.103.174
eexam 86400 IN A 202.28.103.15
icet2013 86400 IN A 202.28.103.5
