@ 86400 IN SOA ns1 www 2012263029 3600 3600 604800 86400
@ 86400 IN MX 0 antispam
86400 IN MX 10 antispam1
@ 86400 IN NS ns1
86400 IN NS ns2
eyou-antispam 86400 IN A 202.121.127.213
gcdjsj 86400 IN A 202.121.127.193
ccsdoc 86400 IN CNAME wisorgcent
www.sino-us 86400 IN CNAME dwgk
mcon 86400 IN CNAME wisorgent
rep 86400 IN CNAME my.sdns
fz 86400 IN CNAME dwgk
eyou-mail 86400 IN A 202.121.127.225
ge 86400 IN CNAME dwgk
hr 86400 IN CNAME hr.sdns
sj 86400 IN CNAME dwgk
jwc 86400 IN CNAME dwgk
io 86400 IN CNAME VirtualHost
jj 86400 IN CNAME dwgk
oaida 86400 IN A 202.121.127.228
wwwo 86400 IN CNAME www.sdns
helpdesk 86400 IN CNAME otrs
evametro 86400 IN A 202.121.126.197
iiid2013 86400 IN CNAME dwgk
video 86400 IN A 202.121.124.165
ccsannounce 86400 IN CNAME wisorgcent
jw 86400 IN CNAME VirtualHost
youth 86400 IN CNAME dwgk
jy 86400 IN A 202.121.126.181
xsgz 86400 IN CNAME dwgk
oldlib 86400 IN CNAME VirtualHost
sbb 86400 IN A 202.121.126.249
sns 86400 IN A 202.121.126.182
o-zzb 86400 IN CNAME VirtualHost
wisorgdb 86400 IN A 202.121.126.239
ky 86400 IN A 202.121.127.179
jcxyapp 86400 IN CNAME VirtualHost
mymail 86400 IN MX 0 mymail
mymail 86400 IN A 202.121.127.194
www.cj 86400 IN CNAME VirtualHost
coremail 86400 IN A 202.121.126.173
coremail 86400 IN MX 0 coremail
sftp 86400 IN CNAME sftp.sdns
eol 86400 IN A 202.121.122.202
www 86400 IN CNAME dwgk
cmdb 86400 IN A 202.121.127.242
metro 86400 IN A 202.121.126.184
wjdc 86400 IN CNAME VirtualHost
netcourse 86400 IN A 202.121.127.207
ccstools 86400 IN CNAME wisorgcent
mdoc 86400 IN CNAME wisorgent
staff 86400 IN MX 0 zcs-1
yx2 86400 IN A 202.121.126.210
map 86400 IN A 202.121.126.247
cxsj 86400 IN A 202.121.126.172
yjs 86400 IN A 202.121.127.207
yssj 86400 IN CNAME dwgk
w2 86400 IN A 202.121.127.207
w3 86400 IN A 202.121.127.195
equ 86400 IN A 202.121.127.184
