@ 600 IN SOA @ root 2010042104 400 180 604800 600
@ 600 IN MX 10 mail
600 IN MX 20 hana5
@ 600 IN A 211.221.246.2
@ 600 IN NS hana
600 IN NS hana1
skes 600 IN A 211.221.246.32
hana1 600 IN A 211.221.246.8
hana4 600 IN A 211.221.245.96
hana5 600 IN A 211.221.246.7
homesearch 600 IN A 220.149.131.22
gw 600 IN A 220.149.131.10
skbeauty 600 IN A 222.122.39.13
ja 600 IN A 220.149.131.11
im 600 IN A 220.149.131.16
xicom 600 IN A 211.45.156.81
600 IN A 211.45.156.82
enrol 600 IN A 220.149.131.10
cs 600 IN A 211.221.245.141
admission 600 IN A 220.149.131.10
vod 600 IN A 211.221.246.38
ezai 600 IN A 211.221.246.21
eng 600 IN A 220.149.131.21
engineering 600 IN A 220.149.131.21
search 600 IN A 211.221.246.25
idkorea 600 IN A 211.221.246.2
mm 600 IN A 220.149.131.10
dupdisk 600 IN A 220.149.130.7
sklib 600 IN A 211.221.247.20
www 600 IN A 220.149.131.11
linux 600 IN A 211.221.245.127
pa 600 IN A 220.149.131.21
dorm 600 IN A 220.149.131.10
pe 600 IN A 220.149.131.21
v3 600 IN A 211.221.246.247
skutnf 600 IN A 220.149.131.21
ecedu 600 IN A 220.149.131.21
pool 600 IN A 220.149.131.10
chapel 600 IN A 220.149.131.21
library 600 IN A 211.221.247.8
rs 600 IN A 220.149.131.21
m.global 600 IN A 218.232.111.58
libproxy 600 IN A 211.221.247.36
skteacher 600 IN A 220.149.131.21
woongjinebook 600 IN A 211.221.247.17
jobinfo 600 IN A 211.221.245.73
kyoboebook 600 IN A 211.221.247.17
ora9i 600 IN A 211.221.246.4
m 600 IN A 220.149.131.10
kernel 600 IN A 211.221.245.128
sabum 600 IN A 220.149.131.21
skmgt 600 IN A 220.149.131.21
isugang 600 IN A 220.149.131.16
sky 600 IN A 220.149.131.10
soft 600 IN A 211.221.246.22
sandan 600 IN A 220.149.131.21
icom 600 IN A 211.221.245.146
sms 600 IN A 220.149.131.10
nav 600 IN A 211.221.246.23
