@ 3600 IN SOA ns dhkim 2015042801 21600 1800 1209600 86400
@ 3600 IN NS ns
3600 IN NS ns2
@ 3600 IN MX 10 spam
@ 3600 IN A 223.195.97.24
@ 3600 IN TXT "v=spf1 ip4:223.195.97.18 ip4:223.195.97.20 ip4:223.195.97.21 ~all"
smtp 3600 IN CNAME mail
koredu 3600 IN CNAME www1
archi 3600 IN CNAME www1
rheology 3600 IN CNAME www1
csoffice 3600 IN A 223.195.109.75
emed 3600 IN CNAME clsd
law 3600 IN CNAME www1
s0000d 3600 IN CNAME clsd
urban 3600 IN CNAME www1
labd 3600 IN CNAME wwwd
smart.polymer 3600 IN CNAME polymer
biosci 3600 IN A 220.117.240.165
sservice 3600 IN CNAME www1
im 3600 IN CNAME wwwd
nplusu 3600 IN CNAME www1
mcompd 3600 IN CNAME clsd
iacucd 3600 IN CNAME orgd
uswacmp11 3600 IN A 223.195.97.148
kms 3600 IN A 223.195.97.171
hyun 3600 IN CNAME www1
ric 3600 IN A 223.195.100.65
dglab 3600 IN CNAME www1
profd 3600 IN CNAME wwwd
orgd 3600 IN CNAME wwwd
arch 3600 IN CNAME ghs.googlehosted.com.
eme 3600 IN CNAME www1
ebook 3600 IN A 223.195.97.40
pop3 3600 IN CNAME mail
itbak 3600 IN A 223.195.109.208
rtemd 3600 IN A 223.195.109.68
end 3600 IN CNAME wwwd
rotc 3600 IN CNAME www1
md 3600 IN CNAME wwwd
cement.arch 3600 IN CNAME arch
concrete 3600 IN CNAME lab
eclipse 3600 IN CNAME www1
lib 3600 IN A 223.195.97.23
sserviced 3600 IN CNAME orgd
chulpan 3600 IN CNAME www1
sjmoonf 3600 IN CNAME sjmoon
graduate 3600 IN CNAME www1
kosi 3600 IN CNAME www1
union 3600 IN CNAME www1
honors 3600 IN CNAME www1
report 3600 IN CNAME portal
iskang 3600 IN CNAME www1
linux 3600 IN CNAME dbari
environ 3600 IN CNAME www1
civileng 3600 IN CNAME www1
enews 3600 IN CNAME www1
pnl 3600 IN CNAME ghs.googlehosted.com.
spidkum 3600 IN CNAME www1
nmail 3600 IN CNAME mail
subs 3600 IN CNAME www1
natc 3600 IN CNAME www1
i 3600 IN CNAME info
uswptt 3600 IN CNAME uswcmd
esl 3600 IN CNAME www1
m 3600 IN CNAME web
sjmoon 3600 IN A 223.195.109.208
mislab 3600 IN CNAME www1
ipsid 3600 IN CNAME wwwd
miskim 3600 IN CNAME www1
s 3600 IN CNAME www1
kiti 3600 IN CNAME www1
uswcmt 3600 IN CNAME uswcmd
libproxy 3600 IN A 223.195.97.39
history 3600 IN CNAME www1
cosmos 3600 IN A 223.195.103.45
belcanto 3600 IN CNAME www1
prof 3600 IN CNAME www
csmb 3600 IN CNAME www1
clsd 3600 IN CNAME wwwd
wise 3600 IN CNAME www1
busg 3600 IN CNAME www1
_vlmcs._tcp 3600 IN SRV 0 0 1688 kms
phys 3600 IN CNAME cls
freserve 3600 IN CNAME www1
biotech 3600 IN CNAME cls
acc 3600 IN A 223.195.97.35
exc 3600 IN CNAME ipsi
