@ 86400 IN SOA dns1 root 2014022801 86400 3600 604800 10800
@ 86400 IN MX 10 mail
@ 86400 IN NS dns1
86400 IN NS dns2
www.lib 86400 IN A 202.203.132.139
php 86400 IN A 202.203.132.44
ldyjy 86400 IN A 202.203.132.134
cisd-mail 86400 IN A 202.203.132.241
cisd-mail 86400 IN MX 15 cisd-mail
xsc 86400 IN A 202.203.132.80
zxzx 86400 IN A 202.203.134.12
www.env 86400 IN A 202.203.132.29
djzx 86400 IN A 202.203.132.250
cs3 86400 IN A 202.203.132.245
cisd 86400 IN A 202.203.132.240
zlgc 86400 IN A 202.203.132.200
update 86400 IN A 202.203.132.55
jwc 86400 IN A 202.203.132.220
zb 86400 IN A 202.203.132.31
www.environment 86400 IN A 202.203.132.29
is 86400 IN A 202.203.132.237
xyl 86400 IN A 202.203.132.121
xlzx 86400 IN A 202.203.134.32
art 86400 IN A 202.203.134.30
xq 86400 IN A 202.203.132.123
ynsqly 86400 IN A 202.203.132.206
www.bbs 86400 IN A 202.203.132.12
xnldxb 86400 IN A 210.83.81.6
pop3 86400 IN A 202.203.132.14
mail 86400 IN A 202.203.132.14
sbc 86400 IN A 202.203.132.221
yx 86400 IN A 202.203.132.40
kmmc 86400 IN A 202.203.134.40
yz 86400 IN A 202.203.132.210
mcjnj 86400 IN A 202.203.132.24
lib 86400 IN A 202.203.132.139
service 86400 IN A 202.203.132.19
gramis 86400 IN A 202.203.132.194
csf 86400 IN A 202.203.132.242
graduate 86400 IN A 202.203.134.35
tw 86400 IN A 202.203.134.36
pop 86400 IN A 202.203.132.14
oa 86400 IN A 202.203.132.2
ftp 86400 IN A 202.203.132.27
csm 86400 IN A 202.203.132.242
sub 86400 IN A 202.203.134.26
dns1 86400 IN A 202.203.132.1
dns2 86400 IN A 202.203.132.100
dzb 86400 IN A 202.203.132.32
kjc 86400 IN A 202.203.134.41
jcc 86400 IN A 202.203.132.248
job 86400 IN A 202.203.132.80
news 86400 IN A 202.203.134.24
rw 86400 IN A 202.203.134.39
szw 86400 IN A 202.203.134.24
xlcp 86400 IN A 202.203.134.34
inc 86400 IN A 202.203.132.20
www 86400 IN A 202.203.132.5
cwc 86400 IN A 202.203.132.120
cs2 86400 IN A 202.203.132.242
cisd-ftp 86400 IN A 202.203.132.241
cisd-www 86400 IN A 202.203.132.240
www1 86400 IN A 202.203.132.40
g 86400 IN A 202.203.132.18
cj 86400 IN A 202.203.134.33
xsh 86400 IN A 202.203.134.37
jgdw 86400 IN A 202.203.134.31
cs 86400 IN A 202.203.132.243
epay 86400 IN A 192.168.60.2
jpkc 86400 IN A 202.203.132.30
www.hkx 86400 IN A 202.203.132.29
cx 86400 IN A 202.203.132.210
stmp 86400 IN A 202.203.132.14
jsc 86400 IN A 202.203.134.38
fc 86400 IN A 202.203.132.41
em 86400 IN A 202.203.132.247
en 86400 IN A 202.203.132.238
nlb 86400 IN A 202.203.132.233
zzrs 86400 IN A 202.203.132.25
ese 86400 IN A 202.203.132.29
