@ 86400 IN SOA dns1 root.dns1 20040823 28800 14400 3600000 86400
@ 86400 IN MX 10 mail
@ 86400 IN NS dns1
86400 IN NS dns2
dzyb 86400 IN A 222.179.134.58
digi 86400 IN A 192.168.10.21
ecard 86400 IN A 192.168.70.10
wxxy 86400 IN A 222.179.134.57
xqjy 86400 IN A 222.179.134.58
wsms 86400 IN A 61.161.67.130
yyxy 86400 IN A 222.179.134.58
xsc 86400 IN A 222.179.134.51
gjxych 86400 IN A 222.179.134.51
zsc 86400 IN A 222.179.134.59
gjjlch 86400 IN A 222.179.134.51
kyw 86400 IN A 222.179.134.51
bwc 86400 IN A 222.179.134.58
xywh 86400 IN A 222.179.134.58
lx 86400 IN A 222.179.134.49
jwc 86400 IN A 222.179.134.58
hlxy 86400 IN A 222.179.134.58
wgyxy 86400 IN A 222.179.134.58
xyh 86400 IN A 222.179.134.51
jxjy 86400 IN A 222.179.134.58
gjxyen 86400 IN A 222.179.134.51
xy 86400 IN A 192.168.10.21
gjjlen 86400 IN A 222.179.134.51
xfjs 86400 IN A 222.179.134.58
glxy 86400 IN A 222.179.134.58
jyc 86400 IN A 222.179.134.58
test 86400 IN A 222.198.176.100
jy 86400 IN A 192.168.10.22
zxb 86400 IN A 222.179.134.51
dqjy 86400 IN A 222.179.134.58
sync 86400 IN A 222.179.134.52
xg 86400 IN A 192.168.10.19
zs 86400 IN A 222.179.134.46
lib 86400 IN A 222.179.134.58
wsim 86400 IN A 61.161.67.138
hqc 86400 IN A 222.179.134.58
oa 86400 IN A 192.168.10.18
mail 86400 IN A 222.179.134.60
rsc 86400 IN A 222.179.134.58
www 86400 IN A 222.179.134.58
dns1 86400 IN A 222.198.176.10
dns2 86400 IN A 222.198.176.10
dzb 86400 IN A 222.179.134.51
zcc 86400 IN A 222.179.134.51
wsapp 86400 IN A 61.161.67.146
lgxy 86400 IN A 222.179.134.57
tyb 86400 IN A 222.179.134.58
ylyyxy 86400 IN A 222.179.134.57
yx 86400 IN A 192.168.10.23
ca 86400 IN A 192.168.10.16
ysxy 86400 IN A 222.179.134.51
ce 86400 IN A 222.179.134.58
nic 86400 IN A 222.179.134.58
gsxy 86400 IN A 222.179.134.58
jwch 86400 IN A 222.179.134.55
cwc 86400 IN A 222.179.134.51
www1 86400 IN A 222.179.134.48
jcb 86400 IN A 222.179.134.57
portal 86400 IN A 192.168.10.16
jpkc 86400 IN A 222.179.134.50
rs 86400 IN A 192.168.10.20
fxy 86400 IN A 222.179.134.58
dzxb 86400 IN A 222.179.134.51
msxy 86400 IN A 222.179.134.51
ypzt 86400 IN A 222.179.134.51
sjc 86400 IN A 222.179.134.51
