@ 3600 IN SOA dns root 2015041304 30 30 360 3600
@ 3600 IN MX 5 gateway
3600 IN MX 10 mail
@ 3600 IN NS dns
3600 IN NS dns1
xiandai 3600 IN A 202.113.128.110
open 3600 IN A 202.113.128.111
xgb 3600 IN A 121.193.151.199
xiaoyou 3600 IN A 121.193.151.108
ecard 3600 IN A 121.193.151.63
mbacdc 3600 IN A 202.113.128.107
public 3600 IN A 202.113.128.109
apps 3600 IN A 202.113.128.114
jpkch 3600 IN A 202.113.128.105
jyx 3600 IN A 202.113.142.32
zkb 3600 IN A 202.113.128.7
lib 3600 IN A 202.113.140.33
gateway 3600 IN A 202.113.128.27
zhaosheng 3600 IN A 202.113.128.107
business 3600 IN A 121.193.151.195
cima 3600 IN A 202.113.128.66
jsjlab 3600 IN A 202.113.133.20
xg 3600 IN A 121.193.151.15
vos 3600 IN A 202.113.128.24
sfpt 3600 IN A 202.113.129.9
jingpin 3600 IN A 172.26.4.16
waiyuxi 3600 IN A 121.193.151.191
mbaeducation 3600 IN A 202.113.128.110
icfse 3600 IN A 202.113.128.110
tel 3600 IN A 202.113.128.114
cpm 3600 IN A 202.113.128.110
hr 3600 IN A 121.193.151.15
mail 3600 IN A 202.113.128.28
jxcg 3600 IN A 202.113.128.109
zhujiang 3600 IN A 121.193.151.189
dagong 3600 IN A 121.193.151.209
ysf 3600 IN A 202.113.129.5
jjx 3600 IN A 202.113.128.110
cco 3600 IN A 202.113.128.104
jsjlab1 3600 IN A 202.113.133.21
jsjlab2 3600 IN A 202.113.133.23
service 3600 IN A 202.113.128.103
jsjlab4 3600 IN A 60.28.144.226
jsjlab5 3600 IN A 202.113.133.9
jsjlab6 3600 IN A 202.113.133.12
fzzl 3600 IN A 121.193.151.216
out1 3600 IN A 202.113.132.30
mpacc 3600 IN A 202.113.128.110
tcxinxi 3600 IN A 202.113.142.42
gzk 3600 IN A 202.113.128.110
www 3600 IN A 202.113.128.123
dns1 3600 IN A 202.113.128.11
xinxi 3600 IN A 202.113.142.45
mba 3600 IN A 202.113.128.107
imba 3600 IN A 202.113.128.107
imp 3600 IN A 121.193.151.15
f210-1.deim 3600 IN A 202.113.142.200
jiuye 3600 IN A 202.113.128.107
cxcy 3600 IN A 121.193.151.204
globalgian 3600 IN A 202.113.128.110
pt 3600 IN A 202.113.128.23
bh 3600 IN A 121.193.151.205
sdv 3600 IN A 202.113.128.106
mpa 3600 IN A 202.113.128.110
ids1 3600 IN A 121.193.151.13
ids2 3600 IN A 121.193.151.14
jwch 3600 IN A 202.113.128.107
e 3600 IN A 202.113.128.108
acca 3600 IN A 202.113.128.66
zhibo 3600 IN A 121.193.151.179
jm 3600 IN A 202.113.128.110
emba 3600 IN A 202.113.128.107
xdcj 3600 IN A 121.193.151.198
pub 3600 IN A 202.113.128.14
jpkc 3600 IN A 202.113.128.105
tafta 3600 IN A 121.193.151.215
tcsxy 3600 IN A 121.193.151.195
rcfi 3600 IN A 202.113.128.107
dns 3600 IN A 202.113.128.10
my 3600 IN A 121.193.151.15
libproxy 3600 IN A 202.113.140.21
inter 3600 IN A 202.113.128.64
en 3600 IN A 121.193.151.213
tcjxcg 3600 IN A 121.193.151.206
dpstar 3600 IN A 121.193.151.15
jiaowu 3600 IN A 202.113.128.23
