@ 10800 IN SOA ns3 postmaster 2015040101 28800 14400 3600000 1200
@ 10800 IN TXT "v=spf1 ip4:150.54.5.31 ~all"
@ 10800 IN MX 10 mx00
10800 IN MX 20 mx01
@ 10800 IN NS ns01
10800 IN NS dns-x.sinet.ad.jp.
cloud01 10800 IN A 150.54.5.35
ns01 10800 IN A 150.54.5.85
real 10800 IN A 150.54.3.204
wm1 10800 IN A 150.54.6.9
idptest 10800 IN A 150.54.3.244
wm 10800 IN A 150.54.5.125
grpware 10800 IN A 150.54.0.222
idp 10800 IN A 150.54.5.40
wm2 10800 IN A 150.54.6.10
mail 10800 IN A 150.54.5.30
mx00 10800 IN A 150.54.5.29
mx01 10800 IN A 150.54.5.32
www02 10800 IN CNAME www2
life 10800 IN NS ns1.dns.ne.jp.
10800 IN NS ns2.dns.ne.jp.
ml 10800 IN CNAME mx00
gyoseki 10800 IN A 150.54.3.25
rsc 10800 IN NS ns1.rsc
10800 IN NS ns2.rsc
mx 10800 IN CNAME mx01
smweb 10800 IN A 150.54.3.205
sso02 10800 IN A 150.54.31.11
opac 10800 IN A 150.54.3.56
sso01 10800 IN A 150.54.31.10
imsva 10800 IN A 150.54.5.31
sso 10800 IN A 150.54.26.36
perpendicular 10800 IN CNAME gyoseki
pcloud 10800 IN A 150.54.23.10
www 10800 IN A 150.54.5.4
www1 10800 IN A 150.54.5.4
mx1 10800 IN A 150.54.162.13
mx2 10800 IN A 150.54.162.14
economics 10800 IN A 150.54.3.212
stor01 10800 IN A 150.54.5.41
portal 10800 IN A 150.54.5.193
www01 10800 IN CNAME www1
cms01 10800 IN A 150.54.5.34
gwdb01 10800 IN A 150.54.5.33
ns2.rsc 10800 IN A 150.54.249.42
esrs 10800 IN A 150.54.5.42
ns1.rsc 10800 IN A 150.54.249.34
mail1 10800 IN A 150.54.1.13
mail2 10800 IN A 150.54.1.14
www2 10800 IN A 150.54.5.4
