@ 38400 IN SOA localhost.localdomain. billion 1405999588 10800 3600 604800 38400
@ 38400 IN NS ns1
38400 IN NS ns2
@ 38400 IN MX 10 ASPMX.L.GOOGLE.COM.
38400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
38400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
38400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
38400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
www.lemlit 38400 IN A 103.28.161.5
www.fti 38400 IN A 103.28.161.80
apps 38400 IN A 103.28.161.80
www.ekstensifti 38400 IN A 103.28.161.80
aranyacala 38400 IN A 103.28.161.75
aranyacala 38400 IN MX 10 mail.aranyacala
ftionline 38400 IN A 103.28.161.33
www.fe 38400 IN A 103.28.161.18
mail.multimedia 38400 IN A 103.28.161.80
s2perminyakan 38400 IN A 173.213.83.73
www.tmc 38400 IN A 103.28.161.80
www.test 38400 IN A 103.28.161.80
www.penerbitan 38400 IN A 103.28.161.5
www 38400 IN A 103.28.161.5
www.journal 38400 IN A 103.28.161.80
www.ocs 38400 IN A 103.28.161.80
hosting 38400 IN A 103.28.161.80
www.test1 38400 IN A 103.28.161.80
www.sms.pasca 38400 IN A 103.28.161.79
www.jurnalsipil 38400 IN A 103.28.161.80
www.mrtg 38400 IN A 103.28.161.5
www.pdpt 38400 IN A 103.28.161.75
www.rkti 38400 IN A 103.28.161.5
www.e-learning 38400 IN A 103.28.161.10
www.ukm 38400 IN A 103.28.161.10
www.e-jurnal 38400 IN A 103.28.161.10
mgb 38400 IN A 103.28.161.5
journal.library 38400 IN A 103.28.161.2
tell 38400 IN CNAME www.tell
lemlit 38400 IN A 103.28.161.5
www.spmb 38400 IN A 103.28.161.72
hmtif 38400 IN A 103.28.161.80
fti-new 38400 IN A 103.28.161.5
www.semnassenitradisi.fsrd 38400 IN A 103.28.161.80
www.mm 38400 IN A 103.28.161.80
www.emall 38400 IN A 103.28.161.10
www.osticket 38400 IN A 103.28.161.80
www.otrs 38400 IN A 103.28.161.80
www.loker 38400 IN A 103.28.161.80
www.d4ik 38400 IN A 103.28.161.24
test 38400 IN MX 10 mail.test
ftsponline 38400 IN A 103.28.161.39
www.bsdm 38400 IN A 103.28.161.5
std 38400 IN MX 10 ASPMX.L.GOOGLE.COM.
38400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
38400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
38400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
38400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
std 38400 IN A 118.97.213.79
www.tibs 38400 IN A 103.28.161.5
www.pkm 38400 IN A 103.28.161.10
pasca 38400 IN A 103.28.161.26
humas 38400 IN CNAME www.humas
www.percetakan 38400 IN A 103.28.161.5
www.bppjm 38400 IN A 103.28.161.2
www.ejournalmm 38400 IN A 103.28.161.30
www.uptolahragasenibudaya 38400 IN A 103.28.161.80
ns1 38400 IN A 103.28.161.254
ns2 38400 IN A 118.97.213.79
ns3 38400 IN A 103.28.161.253
www.online.fe 38400 IN A 103.28.161.15
www.bsdmol 38400 IN A 103.28.161.10
www.lombainformatika 38400 IN A 103.28.161.80
online.tell 38400 IN A 103.28.161.28
mail.test 38400 IN A 103.28.161.80
www.isosud.faltl 38400 IN A 103.28.161.80
mail 38400 IN A 103.28.161.100
www.uptkerjasama 38400 IN A 103.28.161.80
www.info 38400 IN A 103.28.161.5
www.krktn.2 38400 IN A 103.28.161.80
www.aranyacala 38400 IN A 103.28.161.80
www.jurnalagora 38400 IN A 103.28.161.80
www.law 38400 IN A 103.28.161.10
www.fk-arsip 38400 IN A 103.28.161.53
www.bama 38400 IN A 103.28.161.80
www.dss 38400 IN A 103.28.161.10
www.hmtif 38400 IN A 103.28.161.80
www.jurnalhukum 38400 IN A 103.28.161.80
www.karyailmiah 38400 IN A 103.28.161.2
online 38400 IN A 103.28.161.10
www.pusatbahasa 38400 IN A 103.28.161.2
blog 38400 IN A 103.28.161.3
www.karir 38400 IN A 103.28.161.2
mail.aranyacala 38400 IN A 103.28.161.80
www.renbang 38400 IN A 103.28.161.10
www.d3pajak.fe 38400 IN A 103.28.161.80
www.eujian 38400 IN A 103.28.161.10
www.lmk 38400 IN A 103.28.161.80
www.fkg 38400 IN A 103.28.161.10
email 38400 IN CNAME mail
www.baum 38400 IN A 103.28.161.80
www.jurnaldimensifsrd 38400 IN A 103.28.161.80
www.pasca 38400 IN CNAME pasca
www.humas 38400 IN A 103.28.161.80
www.sis 38400 IN A 103.28.161.71
www.library 38400 IN A 103.28.161.6
info 38400 IN MX 10 mail.info
www.multimedia 38400 IN A 103.28.161.80
