@ 86400 IN SOA ns tuitdomainadmin 1289777043 10800 3600 604800 10801
@ 86400 IN TXT "v=spf1 +a +mx -all"
@ 86400 IN MX 10 mail
@ 86400 IN A 195.158.2.220
@ 86400 IN NS ns1
86400 IN NS ns2
86400 IN NS ns3
86400 IN NS ns4
eu 86400 IN A 195.158.2.220
laemws 86400 IN A 195.158.2.220
samarkand 86400 IN A 195.158.2.220
economy.tuit.uz 86400 IN A 195.158.2.220
lync 86400 IN A 195.158.2.220
pedagog 86400 IN A 195.158.2.220
kt 86400 IN A 195.158.2.220
sam 86400 IN A 195.158.2.220
ns1 86400 IN A 195.158.2.220
sau 86400 IN A 195.158.2.220
ns2 86400 IN A 195.158.2.220
qrdec 86400 IN A 195.158.2.220
softcenter 86400 IN A 195.158.2.220
www 86400 IN CNAME @
staff 86400 IN A 195.158.2.220
sdo 86400 IN A 195.158.2.220
sher 86400 IN A 195.158.2.220
e 86400 IN A 195.158.2.220
cloud 86400 IN A 195.158.2.220
pmplan 86400 IN A 195.158.2.220
fotokonkurs 86400 IN A 91.188.128.136
algo 86400 IN A 195.158.2.220
t 86400 IN A 172.20.1.3
urgench 86400 IN A 195.158.8.43
sw 86400 IN A 195.158.2.220
rrt 86400 IN A 195.158.2.220
webmail 86400 IN A 195.158.2.220
textile 86400 IN A 195.158.2.220
ehujjat 86400 IN A 195.158.2.220
acm 86400 IN A 195.158.2.220
vu 86400 IN A 195.158.2.220
minfin 86400 IN A 195.158.2.220
cam1 86400 IN A 195.158.2.220
cam2 86400 IN A 195.158.2.220
cam3 86400 IN A 195.158.2.220
cam4 86400 IN A 195.158.2.220
eresms 86400 IN A 195.158.2.220
qosim 86400 IN A 195.158.2.220
amdp 86400 IN A 195.158.2.220
debian 86400 IN A 195.158.2.220
zimbra.tuit.uz 86400 IN A 172.20.1.98
nukus 86400 IN A 195.158.2.220
test 86400 IN A 195.158.2.220
ftp 86400 IN CNAME @
new 86400 IN A 195.158.2.219
euniver 86400 IN A 195.158.2.220
polit 86400 IN A 195.158.2.220
soc-object 86400 IN A 195.158.2.220
akm 86400 IN A 195.158.2.220
oldmail 86400 IN A 172.20.1.254
atdt 86400 IN A 195.158.12.111
akt 86400 IN A 195.158.2.214
olymp 86400 IN A 195.158.2.220
informatika 86400 IN A 195.158.2.220
download 86400 IN A 195.158.2.220
rfip 86400 IN A 195.158.2.220
api 86400 IN A 195.158.2.220
maqola 86400 IN A 195.158.2.220
ns3 86400 IN A 195.158.2.219
ns4 86400 IN A 195.158.2.219
uicit 86400 IN A 195.158.2.220
ibf 86400 IN A 195.158.2.220
sys 86400 IN A 195.158.2.222
software 86400 IN A 195.158.2.220
arm 86400 IN A 195.158.2.220
teach 86400 IN A 195.158.2.220
fizika 86400 IN A 195.158.2.220
ask 86400 IN A 195.158.2.220
atf 86400 IN A 195.158.2.220
ttf 86400 IN A 195.158.2.220
mail 86400 IN A 195.158.2.222
sayohat 86400 IN A 195.158.2.220
avr 86400 IN A 195.158.2.217
stream 86400 IN A 195.158.2.220
conf 86400 IN A 195.158.2.220
mail.tuit.uz 86400 IN A 195.158.2.222
live 86400 IN MX 0 1926589164.mail.outlook.com.
kanet 86400 IN A 195.158.2.220
urg 86400 IN A 195.158.2.220
e-beta 86400 IN A 195.158.2.220
interactive 86400 IN A 195.158.2.220
decanat 86400 IN A 172.20.11.146
dissertat 86400 IN A 195.158.2.220
psy-teach 86400 IN A 195.158.2.220
karmat 86400 IN A 195.158.2.220
itcenter 86400 IN A 195.158.2.220
android 86400 IN A 195.158.2.220
isoft 86400 IN A 195.158.2.220
xodimlar 86400 IN A 195.158.2.220
usit 86400 IN A 195.158.2.220
karshi 86400 IN A 195.158.2.220
kaspiy-talim.tuit.uz 86400 IN A 195.158.2.220
sarvar 86400 IN A 195.158.2.220
cibum 86400 IN A 195.158.2.220
center 86400 IN A 195.158.2.220
jurnal 86400 IN A 195.158.2.220
qabul 86400 IN A 195.158.2.220
fergana 86400 IN A 195.158.2.220
at 86400 IN A 195.158.2.220
talaba 86400 IN A 195.158.2.220
pharmi 86400 IN A 195.158.2.220
kvota 86400 IN A 195.158.2.220
roit 86400 IN A 185.8.212.91
kamolot 86400 IN A 195.158.2.220
dl 86400 IN A 195.158.2.220
