@ 14400 IN SOA uvt dns.antivir2 2015042202 10800 7200 1209600 7200
@ 14400 IN TXT "MS=ms40610414"
@ 14400 IN MX 0 antivir2
@ 14400 IN NS sun.uakom.sk.
14400 IN NS uvt
14400 IN NS vsld
e312-01 14400 IN A 194.160.160.138
d2sdls19 14400 IN A 194.160.161.148
e312-03 14400 IN A 194.160.160.140
e312-04 14400 IN A 194.160.160.141
e312-05 14400 IN A 194.160.160.142
e312-06 14400 IN A 194.160.160.143
d2sdls14 14400 IN A 194.160.161.143
e312-08 14400 IN A 194.160.160.145
e312-09 14400 IN A 194.160.160.146
e312-11 14400 IN A 194.160.160.148
e312-12 14400 IN A 194.160.160.149
crez60 14400 IN A 194.160.171.173
monitor 14440 IN CNAME wm
b1xsb147b 14400 IN A 194.160.166.113
crez62 14400 IN A 194.160.171.175
crez63 14400 IN A 194.160.171.176
e307a 14400 IN A 194.160.160.248
odva 14400 IN A 194.160.169.25
pataky 14400 IN A 194.160.169.170
a5xsa519a 14400 IN A 194.160.165.56
dbtu 14400 IN A 194.160.170.4
a5xsa519b 14400 IN A 194.160.165.57
SWD-FE-E403-018 14400 IN A 194.160.160.20
ila 14400 IN A 194.160.174.14
c3xsc16a 14400 IN A 194.160.171.195
e312-02 14400 IN A 194.160.160.139
a2xsa229a 14400 IN A 194.160.164.143
b429-01 14400 IN A 194.160.115.20
b429-02 14400 IN A 194.160.115.21
b429-03 14400 IN A 194.160.115.22
b429-04 14400 IN A 194.160.115.23
b429-05 14400 IN A 194.160.115.24
b429-06 14400 IN A 194.160.115.25
b429-07 14400 IN A 194.160.115.26
b429-08 14400 IN A 194.160.115.27
b429-09 14400 IN A 194.160.115.28
b429-11 14400 IN A 194.160.115.30
b429-12 14400 IN A 194.160.115.31
crez80 14400 IN A 194.160.171.229
e312-07 14400 IN A 194.160.160.144
crez81 14400 IN A 194.160.171.230
crez82 14400 IN A 194.160.171.231
e312-10 14400 IN A 194.160.160.147
husarova 14400 IN A 194.160.161.72
crez83 14400 IN A 194.160.171.232
dst5 14400 IN A 194.160.162.54
dst6 14400 IN A 194.160.161.20
sulekova 14400 IN A 194.160.169.186
dst7 14400 IN A 194.160.173.207
