@ 86400 IN SOA BGACE4 root.BGACE4 2015042801 10800 3600 1209600 86400
@ 86400 IN MX 10 mail
86400 IN MX 30 server2
@ 86400 IN A 193.108.32.6
@ 86400 IN NS BGACE4
86400 IN NS server2
www.gis 86400 IN CNAME gis
BGACER 86400 IN A 193.108.32.1
archimasters 86400 IN CNAME students
_vlmcs._tcp 86400 IN SRV 0 0 1688 ACTSRV
UIK-Z3 86400 IN A 193.108.32.26
AV-n 86400 IN CNAME licserver
conference2012 86400 IN CNAME server2
web 86400 IN CNAME BGACE4
www.new 86400 IN CNAME BGACE4
FHE1 86400 IN A 193.108.32.40
switch 86400 IN A 193.108.33.16
FHE-route 86400 IN A 193.108.32.21
studentsn 86400 IN A 193.108.33.7
students 86400 IN A 193.108.32.18
far-lic 86400 IN A 193.108.33.135
licserver 86400 IN A 193.108.33.29
PC05 86400 IN A 193.108.32.28
hostels 86400 IN A 193.108.32.25
PC08 86400 IN A 193.108.32.31
PC10 86400 IN A 193.108.32.23
605-1 86400 IN A 193.108.32.130
www.archimasters 86400 IN CNAME students
SWREC 86400 IN A 193.108.32.54
FCEA 86400 IN A 193.108.32.42
86400 IN A 193.108.32.225
ELSE 86400 IN CNAME jepserver
www.fld 86400 IN CNAME FLD-SERVER
StudsysNG 86400 IN A 193.108.32.57
FLD-SERVER 86400 IN A 193.108.32.43
LIB 86400 IN A 193.108.32.27
mail 86400 IN A 193.108.32.3
BGACE4 86400 IN A 193.108.32.6
FGS1 86400 IN A 193.108.32.41
ftp 86400 IN CNAME server2
fce-lic 86400 IN A 193.178.222.129
w3 86400 IN CNAME server2
www 86400 IN CNAME BGACE4
server2 86400 IN A 193.108.32.4
server3 86400 IN A 193.108.32.5
mailn 86400 IN A 193.108.33.5
fivest 86400 IN A 193.108.33.21
FAR1 86400 IN A 193.108.32.34
testux 86400 IN A 193.108.33.20
FCEGATE 86400 IN A 193.108.32.38
proxy 86400 IN A 193.108.32.9
GeneralNG 86400 IN A 193.108.32.22
tensinet2010 86400 IN CNAME server2
videocon 86400 IN A 193.108.32.137
preciz 86400 IN A 193.108.32.56
gis 86400 IN A 193.108.32.146
e-learn 86400 IN A 193.108.32.138
conferencehtf2014 86400 IN CNAME server2
ACTSRV 86400 IN A 193.108.32.47
PC07 86400 IN A 193.108.32.30
jepserver 86400 IN A 193.108.32.10
