@ 86400 IN SOA relayte postmaster 2014072501 28800 14400 3600000 86400
@ 86400 IN NS relayte
@ 86400 IN MX 1 ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 86400 IN A 196.200.152.5
ensate 86400 IN A 196.200.152.230
testlangue 86400 IN A 196.200.152.5
m2i-comptes.m2i 86400 IN A 196.200.152.110
flt 86400 IN A 196.200.152.5
grh 86400 IN A 196.200.152.5
ged 86400 IN A 196.200.152.202
ldap 86400 IN A 196.200.152.9
pki 86400 IN A 196.200.152.13
apps 86400 IN A 196.200.152.33
mdl.m2i 86400 IN A 196.200.152.108
ssh.m2i 86400 IN A 196.200.152.107
www.m2i 86400 IN A 196.200.152.106
pmb1 86400 IN A 196.200.152.5
devenecproject 86400 IN CNAME ghs.googlehosted.COM.
ensadle 86400 IN A 196.200.152.5
appli 86400 IN A 196.200.152.234
biblio 86400 IN A 196.200.152.5
mailte 86400 IN A 196.200.152.6
entest 86400 IN A 196.200.152.117
maarch 86400 IN A 196.200.152.155
pre-inscription 86400 IN A 196.200.152.5
www.intrafp 86400 IN A 196.200.152.5
site 86400 IN A 196.200.152.5
web 86400 IN A 196.200.152.4
moodle 86400 IN A 196.200.152.15
cremarproject 86400 IN CNAME ghs.googlehosted.COM.
webmail 86400 IN A 196.200.152.5
mail 86400 IN A 196.200.152.11
pre-inscription-fpt 86400 IN A 196.200.152.5
auth 86400 IN A 196.200.152.8
tempusrifaines 86400 IN A 196.200.152.5
cri 86400 IN A 196.200.152.30
www.tempusrifaines 86400 IN A 196.200.152.5
vietud 86400 IN A 196.200.152.33
www.ecoleroifahd 86400 IN A 196.200.152.5
sport 86400 IN A 196.200.152.5
ent 86400 IN A 196.200.152.7
sql 86400 IN A 196.200.152.5
ojs 86400 IN A 196.200.152.5
www.flt 86400 IN A 196.200.152.5
cacti 86400 IN A 196.200.152.5
www 86400 IN A 196.200.152.5
ines 86400 IN A 196.200.152.5
Dom0.m2i 86400 IN A 196.200.152.109
docs 86400 IN A 196.200.152.196
pdc 86400 IN A 196.200.152.3
ao 86400 IN A 196.200.152.5
tempus 86400 IN A 196.200.152.5
bibli 86400 IN A 196.200.152.5
e-cedost 86400 IN A 196.200.152.101
mawarid 86400 IN A 196.200.152.5
relayte 86400 IN A 196.200.152.5
w3 86400 IN A 196.200.152.5
www.fp 86400 IN A 196.200.152.5
telecom 86400 IN A 196.200.152.5
e 86400 IN A 196.200.152.33
mde 86400 IN A 196.200.152.30
salaire 86400 IN A 196.200.152.5
ecandidature 86400 IN A 196.200.152.134
hrolerp 86400 IN A 196.200.152.133
www.emiage 86400 IN A 196.200.152.5
doc 86400 IN A 196.200.152.3
per 86400 IN A 196.200.152.5
cionu2008 86400 IN A 196.200.152.5
cv 86400 IN A 196.200.152.5
mrtg 86400 IN A 196.200.152.5
obm 86400 IN A 196.200.152.199
uaegrid 86400 IN A 196.200.152.5
vietudproject 86400 IN CNAME ghs.googlehosted.COM.
momateproject 86400 IN CNAME ghs.googlehosted.COM.
rumiproject 86400 IN CNAME ghs.googlehosted.COM.
c2i 86400 IN A 196.200.152.5
