@ 3600 IN SOA univer adip 2013100327 10800 3600 604800 86400
@ 3600 IN NS ns2
3600 IN NS univer
@ 3600 IN A 193.231.17.20
@ 3600 IN MX 10 mail
xeon 3600 IN A 193.231.17.29
admitere2013 3600 IN A 193.231.17.25
admitere2014 3600 IN A 193.231.17.28
sds2008 3600 IN A 193.231.17.25
vberinde 3600 IN A 85.204.241.130
www.ppop 3600 IN A 85.204.241.130
icam 3600 IN A 85.204.241.130
www.creative-mathematics 3600 IN A 85.204.241.130
bslr 3600 IN A 193.231.17.25
eng 3600 IN A 193.231.17.25
s3 3600 IN A 193.231.17.67
cosmin 3600 IN A 85.204.241.130
wiki 3600 IN A 193.231.17.125
d-ifr 3600 IN A 193.231.17.25
simtech 3600 IN A 193.231.17.25
sds 3600 IN A 193.231.17.25
www.nordtech 3600 IN A 193.231.17.25
chimie-biologie 3600 IN A 193.231.17.25
carpathian 3600 IN A 85.204.241.130
wins 3600 IN A 193.231.17.253
llr 3600 IN A 193.231.17.25
onomastica 3600 IN A 193.231.17.25
sm 3600 IN A 193.231.17.25
creative-mathematics 3600 IN A 85.204.241.130
sim 3600 IN A 193.231.17.25
www.sciences 3600 IN A 85.204.241.130
rrs 3600 IN A 193.231.17.22
webmail 3600 IN A 193.231.17.28
www.stiinte 3600 IN A 85.204.241.130
tas 3600 IN A 193.231.17.25
mim 3600 IN A 193.231.17.25
ceursis 3600 IN A 193.231.17.28
eicu 3600 IN A 193.231.17.25
admitere 3600 IN A 193.231.17.25
www.vberinde 3600 IN A 85.204.241.130
ccimt 3600 IN A 193.231.17.25
test 3600 IN A 192.168.3.35
ppop 3600 IN A 85.204.241.130
fta 3600 IN A 193.231.17.25
ceex-et34 3600 IN A 193.231.17.25
univer 3600 IN A 193.231.17.20
digital 3600 IN A 193.231.17.25
bib-online 3600 IN A 193.231.17.29
hmandrei 3600 IN A 85.204.241.130
frmm 3600 IN A 193.231.17.25
vberinde.sciences 3600 IN A 85.204.241.130
anniversaryconferences 3600 IN A 193.231.17.25
ftp 3600 IN A 193.231.17.25
masterat.mediu 3600 IN A 193.231.17.25
editura 3600 IN A 193.231.17.25
smart 3600 IN A 193.231.17.252
cjece 3600 IN A 193.231.17.25
mail1 3600 IN A 193.231.17.25
www.carpathian 3600 IN A 85.204.241.130
193.231.17.26 3600 IN PTR ns2.ubm.ro
litere 3600 IN A 193.231.17.25
docs.sciences 3600 IN A 85.204.241.130
ns2 3600 IN A 193.231.17.26
amsrei 3600 IN A 193.231.17.25
stiinte 3600 IN A 85.204.241.130
cccp 3600 IN A 193.231.17.25
sps01 3600 IN A 193.231.17.97
mail 3600 IN A 193.231.17.25
cc 3600 IN A 193.231.17.250
cde 3600 IN A 193.231.17.25
econ 3600 IN A 193.231.17.252
eed3 3600 IN A 193.231.17.95
tcgcc2009 3600 IN A 193.231.17.25
ccia 3600 IN A 193.231.17.25
www.hmandrei 3600 IN A 85.204.241.130
nicpop 3600 IN A 85.204.241.130
hotspot 3600 IN A 193.231.17.18
postuniv 3600 IN A 193.231.17.25
baconandgolding 3600 IN A 193.231.17.25
beta 3600 IN A 193.231.17.25
virt02-ora10g 3600 IN A 193.231.17.28
dspp 3600 IN A 193.231.17.25
cs 3600 IN A 193.231.17.25
ipm 3600 IN A 193.231.17.25
www.icam 3600 IN A 85.204.241.130
newweb 3600 IN A 193.231.17.25
curriculum 3600 IN A 193.231.17.243
cee 3600 IN A 193.231.17.25
georgetacornita.litere 3600 IN A 193.231.17.25
nordtech2007 3600 IN A 193.231.17.25
nordtech2008 3600 IN A 193.231.17.25
nordtech2009 3600 IN A 193.231.17.25
nordtech2011 3600 IN A 193.231.17.25
radio 3600 IN A 193.231.17.25
semn 3600 IN A 85.204.241.130
csc 3600 IN A 193.231.17.25
www.studenslator 3600 IN A 193.231.17.25
capimt-2009 3600 IN A 193.231.17.25
dieec 3600 IN A 193.231.17.25
www 3600 IN A 193.231.17.25
cti 3600 IN A 193.231.17.125
e-learning 3600 IN A 193.231.17.253
ece 3600 IN A 193.231.17.25
unbm 3600 IN A 193.231.17.42
biblioteca 3600 IN A 193.231.17.25
inginerie 3600 IN A 193.231.17.25
acpm 3600 IN A 193.231.17.25
ea 3600 IN A 193.231.17.98
sciences 3600 IN A 85.204.241.130
rdi 3600 IN A 193.231.17.24
bpc 3600 IN A 193.231.17.25
