@ 43200 IN SOA ns1 lvizcaya 2015022602 10800 7200 1296000 43200
@ 43200 IN TXT "v=spf1 ip4:150.188.32.9 a mx a:wmail.ubv.edu.ve ~all"
@ 43200 IN A 200.35.95.52
@ 43200 IN NS ns1
@ 43200 IN MX 10 mail
iplac 43200 IN A 150.188.8.212
facenets.mon 43200 IN A 200.35.95.54
comunidad 43200 IN A 200.35.95.54
jornadas.mon 43200 IN A 200.35.95.50
aragua 43200 IN A 150.188.32.25
sicadon.mon 43200 IN A 200.71.150.76
falcon 43200 IN A 150.188.32.25
sipi 43200 IN A 150.188.32.21
vivirviviendo 43200 IN A 150.188.32.25
aulavirtual 43200 IN A 150.188.32.25
cesacodevi 43200 IN A 150.188.32.25
wmail 43200 IN A 150.188.32.9
conea 43200 IN A 150.188.32.25
www.mon 43200 IN A 200.35.95.50
zulia 43200 IN A 150.188.32.25
siscap 43200 IN A 150.188.32.25
sigadprueba 43200 IN A 150.188.32.18
hemmelig 43200 IN A 150.188.32.12
comedor 43200 IN A 150.188.32.21
fas 43200 IN A 150.188.32.25
sisga.mon 43200 IN A 200.35.95.54
localhost 43200 IN A 127.0.0.1
bolivar 43200 IN A 150.188.32.25
barinas 43200 IN A 150.188.32.25
renata 43200 IN A 150.188.32.21
surubvea 43200 IN A 200.35.95.51
quehacer 43200 IN A 200.35.95.51
mail 43200 IN A 150.188.32.9
elac2014 43200 IN A 150.188.32.21
proxmox.mon 43200 IN A 200.35.95.54
webmail 43200 IN A 150.188.32.9
pgadmin.mon 43200 IN A 200.35.95.51
renatta 43200 IN A 150.188.32.21
puppet.mon 43200 IN A 200.35.95.54
monagas 43200 IN A 150.188.32.25
sisbec 43200 IN A 150.188.32.25
congreso 43200 IN A 150.188.32.21
ubvirtual.ccs 43200 IN A 150.188.8.212
tachira 43200 IN A 150.188.32.25
lista 43200 IN A 150.188.32.9
cesyc.mon 43200 IN A 200.35.95.54
sammen 43200 IN A 150.188.32.13
ftp 43200 IN A 200.35.95.51
recibo 43200 IN A 150.188.32.21
grupo 43200 IN A 200.35.95.54
cubavenezuela 43200 IN A 150.188.32.25
ubvirtual 43200 IN A 150.188.32.28
sigad 43200 IN A 150.188.32.17
siscapubv 43200 IN A 200.35.95.50
gitlab 43200 IN A 150.188.32.35
pubvirtual 43200 IN A 150.188.32.24
surubv 43200 IN A 150.188.8.220
koha 43200 IN A 150.188.32.64
nube.mon 43200 IN A 200.35.95.54
www 43200 IN A 150.188.32.21
publicaciones 43200 IN A 150.188.32.21
inventariopoliedro 43200 IN A 150.188.32.25
nuevaesparta 43200 IN A 150.188.32.25
ns1 43200 IN A 200.35.95.52
tertulias 43200 IN A 150.188.32.21
vallesdeltuy 43200 IN A 150.188.32.25
deportes 43200 IN A 150.188.8.212
myadmin.mon 43200 IN A 200.35.95.51
censo 43200 IN A 150.188.32.21
biblioteca 43200 IN A 150.188.32.21
koha-intra 43200 IN A 150.188.32.64
social.mon 43200 IN A 200.35.95.54
salanororiental 43200 IN A 200.35.95.51
dialogosaberes 43200 IN A 150.188.32.25
firewall.mon 43200 IN A 200.35.95.54
nets.mon 43200 IN A 200.35.95.54
intranet 43200 IN A 150.188.32.21
blog.mon 43200 IN A 200.35.95.51
