@ 3600 IN SOA @ serviciosinternet 2014050903 3600 900 1209600 43200
@ 3600 IN MX 10 atenea
3600 IN MX 10 afrodita
@ 3600 IN A 190.5.200.232
@ 3600 IN NS dns1
3600 IN NS dns2
www.pastoral 3600 IN CNAME acuario
www.ricotel 3600 IN CNAME acuario
investigacion 3600 IN CNAME server-vri
qpn 3600 IN CNAME acuario
www.inventariored2 3600 IN CNAME acuario
saj 3600 IN CNAME acuario
www.cita2001 3600 IN CNAME acuario
osimis 3600 IN A 200.21.83.142
www.comunicacionsocial 3600 IN CNAME acuario
www.colonias 3600 IN CNAME acuario
disenografico 3600 IN CNAME acuario
museos 3600 IN CNAME acuario
tampu 3600 IN CNAME acuario
www.facultades 3600 IN CNAME acuario
g 3600 IN A 190.90.112.133
humanidades 3600 IN CNAME acuario
www.fisica 3600 IN CNAME acuario
sia 3600 IN CNAME acuario
poliedro 3600 IN CNAME acuario
www.biblioteca 3600 IN CNAME biblioteca
sip 3600 IN A 200.21.83.83
aprendiendo 3600 IN CNAME acuario
prototipos 3600 IN CNAME acuario
www.edumat 3600 IN CNAME acuario
www.ces 3600 IN CNAME acuario
congresocontaduria 3600 IN CNAME atenea
grupoantropos 3600 IN CNAME acuario
contratacion 3600 IN CNAME acuario
rup 3600 IN CNAME acuario
proyecciones 3600 IN A 200.21.83.124
www.popayan3d 3600 IN CNAME afrodita
antropologia 3600 IN CNAME ceres
www.epiclin 3600 IN CNAME purace
teleeducacion 3600 IN CNAME acuario
mifiet 3600 IN CNAME acuario
egresadosfic 3600 IN CNAME acuario
www.duedores 3600 IN CNAME acuario
intrared 3600 IN A 200.21.83.133
comunicacionsocial 3600 IN CNAME acuario
ariadna 3600 IN A 200.21.83.79
www.scifiet 3600 IN CNAME scifiet
sos 3600 IN CNAME hades
tic 3600 IN CNAME acuario
diseno 3600 IN CNAME acuario
deic 3600 IN A 200.21.83.71
editorial 3600 IN CNAME acuario
congresobotanica 3600 IN CNAME acuario
ftp 3600 IN CNAME odin
www.dcx 3600 IN CNAME acuario
aragon 3600 IN A 190.90.112.87
bimac 3600 IN CNAME acuario
ceres 3600 IN A 190.90.112.148
duelopadres 3600 IN CNAME afrodita
sachawaira 3600 IN CNAME purace
acreditadmon 3600 IN CNAME acuario
www.poliedro 3600 IN CNAME acuario
