@ 1800 IN SOA rubbersoul.pucgoias.edu.br. administrator 2015031201 3600 3600 604800 604800
@ 1800 IN NS rubbersoul.pucgoias.edu.br.
1800 IN NS revolver.pucgoias.edu.br.
@ 1800 IN MX 1 matchbox.pucgoias.edu.br.
1800 IN MX 1 pirita.pucgoias.edu.br.
@ 1800 IN A 200.18.170.245
@ 1800 IN TXT "v=spf1 mx -all:600"
@ 1800 IN SPF "v=spf1 mx -all:600"
guara 1800 IN A 200.18.170.246
sistemas 1800 IN A 200.18.170.245
pucnoticias 1800 IN A 200.18.170.242
noticias 1800 IN A 200.18.170.242
www.cpgss 1800 IN A 200.18.170.245
estudos 1800 IN A 200.18.170.246
transferencias 1800 IN A 200.18.170.242
conferencia 1800 IN A 200.18.170.241
amazonia 1800 IN A 200.18.170.246
diamante 1800 IN A 200.18.170.244
www.ppghis 1800 IN A 200.18.170.245
revistaser 1800 IN A 200.18.170.246
www.projetofeiradalua 1800 IN A 200.18.170.245
www 1800 IN A 200.18.170.245
ns 1800 IN A 187.6.250.187
www.ppgcas 1800 IN A 200.18.170.245
enade 1800 IN A 200.18.170.242
sistema 1800 IN A 200.18.170.245
agata 1800 IN A 200.18.170.245
reitoria 1800 IN A 200.18.170.242
www.biblioteca 1800 IN A 200.18.170.241
geopro 1800 IN A 201.101.120.99
educativa 1800 IN A 200.18.170.246
www.prouni 1800 IN A 200.18.170.242
www.calendario 1800 IN A 200.18.170.242
www.computacao 1800 IN A 200.18.170.242
imagensamazonia 1800 IN A 200.18.170.246
www.ppgac 1800 IN A 200.18.170.245
www.egepro 1800 IN A 200.18.170.245
licfis 1800 IN A 200.18.170.242
moodle 1800 IN A 200.18.170.240
sol 1800 IN A 200.18.170.247
www.ppgcr 1800 IN A 200.18.170.245
www.idiomas 1800 IN A 200.18.170.245
www.amazonia 1800 IN A 200.18.170.246
video 1800 IN A 200.18.170.240
www.professor 1800 IN A 200.18.170.237
www.agencia 1800 IN A 200.18.170.242
www2 1800 IN A 200.18.170.242
revistas 1800 IN A 200.18.170.246
www.prodin 1800 IN A 200.18.170.245
vestibular 1800 IN A 200.18.170.242
www.reitoria 1800 IN A 200.18.170.242
prouni 1800 IN A 200.18.170.242
sites 1800 IN A 200.18.170.242
ns2 1800 IN A 200.18.170.251
www.ppgpsi 1800 IN A 200.18.170.245
www.ppgedu 1800 IN A 200.18.170.245
tede.biblioteca 1800 IN A 200.18.170.246
www.25rbagoiania 1800 IN A 200.18.170.245
www.enade 1800 IN A 200.18.170.242
mail 1800 IN A 200.18.170.244
www.cpgls 1800 IN A 200.18.170.245
www.ppgdri 1800 IN A 200.18.170.245
www.ppgtf 1800 IN A 200.18.170.245
pergamum 1800 IN A 200.18.170.241
idiomas 1800 IN A 200.18.170.245
www.ppglet 1800 IN A 200.18.170.245
www.ppgenps 1800 IN A 200.18.170.245
www.ppgene 1800 IN A 200.18.170.245
www.paroquiauniversitaria 1800 IN A 200.18.170.242
seer 1800 IN A 200.18.170.246
cipa 1800 IN A 200.18.170.237
agencia 1800 IN A 200.18.170.242
prodin 1800 IN A 200.18.170.245
intranet 1800 IN A 200.18.170.243
www.ppgeps 1800 IN A 200.18.170.245
www.catolicadigital 1800 IN A 200.18.170.245
www.ppgser 1800 IN A 200.18.170.245
mosaico 1800 IN A 200.18.170.246
caminhos 1800 IN A 200.18.170.246
fragmentos 1800 IN A 200.18.170.246
sitedesign 1800 IN A 200.18.170.245
cead 1800 IN A 200.18.170.237
www.vestibular 1800 IN A 200.18.170.242
www.ppgadm 1800 IN A 200.18.170.245
css 1800 IN A 200.18.170.245
pesquisa 1800 IN A 200.18.170.245
inscricaovestibular 1800 IN A 200.18.170.236
www.proafro 1800 IN A 200.18.170.245
habitus 1800 IN A 200.18.170.246
biblioteca 1800 IN A 200.18.170.241
professor 1800 IN A 200.18.170.237
ppgcr 1800 IN A 200.18.170.245
www.transferencias 1800 IN A 200.18.170.242
calendario 1800 IN A 200.18.170.242
computacao 1800 IN A 200.18.170.242
