@ 86400 IN SOA dns1.amnetsal.com. soporte.amnetsal.com. 2015022300 10800 3600 804600 3600
@ 86400 IN NS dns1.amnetsal.com.
86400 IN NS dns2.amnetsal.com.
@ 86400 IN A 200.30.138.227
@ 86400 IN MX 30 mail
@ 86400 IN TXT " v=spf1 a mx ~all"
directorioe 86400 IN A 200.30.138.227
videoconf 10800 IN A 200.30.179.35
soporteit 86400 IN A 200.30.153.242
postgrados 86400 IN A 200.30.138.227
nube 86400 IN A 200.30.153.242
bvs 86400 IN A 200.30.138.226
gestiones 86400 IN A 200.30.138.230
radio 86400 IN A 168.243.112.132
mail 86400 IN A 200.30.138.228
campusv 10800 IN A 200.30.179.37
intrauees 86400 IN A 200.30.138.229
ftp 86400 IN A 200.30.138.228
ojs 86400 IN A 200.30.153.242
www 86400 IN A 200.30.138.227
fivirtual 86400 IN A 168.243.112.130
corriendoporlasalud 86400 IN A 200.30.138.227
correo 86400 IN A 200.30.138.228
biblioteca 86400 IN A 200.30.138.227
sernovell 86400 IN A 200.30.138.229
wsclass 86400 IN A 200.30.138.229
class 10800 IN A 200.30.138.229
siab 86400 IN A 200.30.138.227
