@ 10800 IN SOA lupus dns 2015041807 10800 3600 604800 3600
@ 10800 IN MX 10 ASPMX.L.GOOGLE.COM.
10800 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
10800 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
10800 IN MX 30 ASPMX2.L.GOOGLE.COM.
10800 IN MX 30 ASPMX3.L.GOOGLE.COM.
10800 IN MX 30 ASPMX4.L.GOOGLE.COM.
10800 IN MX 30 ASPMX5.L.GOOGLE.COM.
@ 10800 IN NS dns
10800 IN NS lupus
tanenbaum 10800 IN A 200.128.81.24
ppgecea 10800 IN CNAME aquarios
srv-web3 10800 IN A 200.128.81.5
cesic 10800 IN CNAME aquarios
n1 10800 IN A 200.128.81.12
andromeda 10800 IN A 200.128.81.10
prosel 10800 IN CNAME aquarios
portaldachapada 10800 IN A 200.128.81.37
noticias 10800 IN A 200.128.81.14
iniciacaocientifica 10800 IN CNAME aquarios
cris 10800 IN CNAME srv-web4
odontosis 10800 IN NS lupus
www.pppg 10800 IN CNAME srv-web3
imsear 10800 IN CNAME aquarios
#dfis 10800 IN CNAME aquarios
tede 10800 IN A 200.128.81.40
ecompjr 10800 IN CNAME aquarios
www.grh 10800 IN CNAME srv-web3
legimsear 10800 IN CNAME aquarios
www 10800 IN CNAME lupus
asplan 10800 IN CNAME aquarios
googled9eb9872bff6407.ecomp 10800 IN CNAME google.com.
argo 10800 IN A 200.128.81.31
srv-web4 10800 IN A 200.128.81.11
srv-web5 10800 IN A 200.128.81.4
daengal 10800 IN CNAME aquarios
bibuefs 10800 IN CNAME aquarios
gemini 10800 IN A 200.128.81.27
ppgm 10800 IN A 200.128.81.33
academico2 10800 IN A 200.128.81.20
academico3 10800 IN A 200.128.81.20
saude 10800 IN CNAME aquarios
touro 10800 IN A 200.128.81.19
ppbio 10800 IN A 200.128.81.39
website 10800 IN A 200.128.81.40
www.ppgbot 10800 IN CNAME srv-web3
herbario 10800 IN CNAME aquarios
cassiopeia 10800 IN A 200.128.81.18
floradabahia 10800 IN CNAME aquarios
jornada 10800 IN CNAME aquarios
aeri 10800 IN CNAME aquarios
aquila 10800 IN A 200.128.81.13
prograd 10800 IN CNAME argo
moodle 10800 IN CNAME aquarios
espacomatematica 10800 IN A 200.128.81.57
engetec 10800 IN CNAME aquarios
spo 10800 IN CNAME aquarios
ftp 10800 IN CNAME aquarios
siscontroleiu 10800 IN CNAME aquarios
sitiens 10800 IN A 200.128.81.41
localhost 10800 IN A 127.0.0.1
serpens 10800 IN A 200.128.81.41
epibot 10800 IN A 200.128.81.49
www2 10800 IN CNAME aquarios
ieee 10800 IN A 200.128.81.24
www4 10800 IN CNAME srv-web4
www5 10800 IN CNAME srv-web5
estagioundec 10800 IN CNAME aquarios
editora 10800 IN CNAME aquarios
natprodb 10800 IN A 200.128.81.49
mail2 10800 IN CNAME ghs.google.com.
tvolhosdagua 10800 IN CNAME srv-web4
graco 10800 IN CNAME aquarios
sites 10800 IN A 200.128.81.14
planejamentoestrategico 10800 IN CNAME aquarios
ns1 10800 IN CNAME andromeda
Palma 10800 IN A 200.128.81.44
pegasus 10800 IN A 200.128.81.35
lupus 10800 IN A 200.128.81.45
uefsaei3 10800 IN CNAME aquarios
sigma 10800 IN A 200.128.81.15
periodicos 10800 IN A 200.128.81.56
listimsear 10800 IN CNAME aquarios
dfis 10800 IN A 200.128.81.23
encobio 10800 IN CNAME aquarios
mail 10800 IN CNAME ghs.google.com.
webmail 10800 IN CNAME ghs.google.com.
pg-astro 10800 IN CNAME aquarios
leguaemeia 10800 IN CNAME aquarios
pfuefs 10800 IN A 200.128.81.8
volans 10800 IN A 200.128.81.32
lacad 10800 IN A 200.128.81.49
uefseditora 10800 IN CNAME aquarios
abruem 10800 IN CNAME aquarios
erbase2014 10800 IN CNAME ghs.google.com.
dexa 10800 IN CNAME aquarios
www.ppbio 10800 IN CNAME srv-web3
ieps 10800 IN CNAME aquarios
semiarido 10800 IN CNAME aquarios
pgca 10800 IN CNAME ghs.google.com.
laph1 10800 IN CNAME aquarios
geotec 10800 IN CNAME aquarios
cabine 10800 IN CNAME aquarios
fungosdosemiarido 10800 IN CNAME aquarios
intec 10800 IN CNAME ghs.google.com.
netmedia 10800 IN CNAME srv-web4
treinamento 10800 IN A 200.128.81.51
patrimonio 10800 IN CNAME aquarios
xiwfme 10800 IN CNAME ghs.google.com.
pkp 10800 IN A 200.128.81.56
revistabiologia 10800 IN CNAME aquarios
aquarios 10800 IN A 200.128.81.16
adam 10800 IN A 200.128.81.59
vpn 10800 IN A 200.128.81.17
plantasdabahia 10800 IN CNAME aquarios
civil 10800 IN CNAME aquarios
www.chapada 10800 IN CNAME srv-web3
academico 10800 IN CNAME cassiopeia
homologacao 10800 IN A 200.128.81.34
ecomp 10800 IN NS lupus
ariel 10800 IN A 200.128.81.20
moodleuefs 10800 IN A 200.128.81.13
biblioteca 10800 IN CNAME aquarios
eea 10800 IN CNAME aquarios
portal 10800 IN A 200.187.20.65
dns 10800 IN A 200.128.81.12
elabora 10800 IN A 200.128.81.36
equipamentos 10800 IN CNAME aquarios
