@ 86400 IN SOA svr1 prayitna.yahoo.com. 2015020302 86400 7200 3600000 86400
@ 14400 IN MX 10 new.mailgateway
@ 86400 IN NS svr1
86400 IN NS svr2
@ 14400 IN A 202.162.37.148
svr1 14400 IN A 202.162.34.53
svr2 14400 IN A 202.162.37.165
svr3 14400 IN A 202.162.37.164
cpanel4 14400 IN A 202.162.37.164
meeting 14400 IN A 202.162.37.147
kompetensi 14400 IN A 202.162.37.147
ejournal 14400 IN A 202.162.37.147
moodle 14400 IN A 202.162.37.147
pop3 14400 IN A 202.162.37.77
kpi 14400 IN A 202.162.37.147
dokumentasi 14400 IN A 202.162.37.147
me 14400 IN A 202.162.37.164
renstra 14400 IN A 202.162.37.147
simta 14400 IN A 202.162.37.147
zabbix 14400 IN A 202.162.37.147
www 14400 IN CNAME @
localhost 14400 IN A 127.0.0.1
cpanel1 14400 IN A 202.162.37.164
cpanel2 14400 IN A 202.162.37.164
cpanel3 14400 IN A 202.162.37.164
imap 14400 IN A 202.162.37.77
bi 14400 IN A 202.162.37.147
tracer 14400 IN A 202.162.37.147
oai.webservice 14400 IN A 202.162.37.148
svn 14400 IN A 202.162.37.147
smtp 14400 IN A 202.162.37.77
registrasi 14400 IN A 202.162.37.147
