@ 38400 IN SOA tyrano root.tyrano.uis.edu.co 2015043000 10800 3600 604800 38400
@ 38400 IN MX 0 uis-edu-co.mail.protection.outlook.com.
38400 IN MX 15 correo-uis-edu-co.mail.protection.outlook.com.
38400 IN MX 25 aplicaciones
@ 3600 IN TXT "MS=ms15592679"
3600 IN TXT "MS=ms86263398"
3600 IN TXT "v=spf1 a mx include:spf.masterbase.com include:aplicaciones.uis.edu.co include:spf.protection.outlook.com ~all"
@ 38400 IN A 200.16.118.113
@ 38400 IN NS tyrano
quetzal 38400 IN A 200.16.117.54
fm 38400 IN A 200.16.118.65
cormoran 38400 IN CNAME calumet02uis.cloudapp.net.
orca 38400 IN A 200.16.117.29
corrosion 38400 IN A 200.16.118.24
profesor 38400 IN CNAME reyezuelo
cecam 38400 IN CNAME cenivam
hdruis 38400 IN A 200.16.118.22
cienTIC 38400 IN A 200.16.118.123
revistafuentes 38400 IN CNAME revistas
autodiscover.correo 3600 IN CNAME autodiscover.outlook.com.
VCsala2CenticP4 38400 IN A 200.16.117.42
200.16.118.3 38400 IN PTR tyrano
labenfer 38400 IN A 200.16.117.118
200.16.118.6 38400 IN PTR condor
200.16.118.8 38400 IN PTR copeton
quimica1 38400 IN A 200.16.117.66
__sip._tls.correo 3600 IN SRV 100 1 443 sipdir.online.lync.com.
disindustrial 38400 IN CNAME calumet13uis.cloudapp.net.
iq 38400 IN CNAME calumet19uis.cloudapp.net.
CamaraSegGrSIMON 38400 IN A 200.16.117.55
VCsala3CenticP4 38400 IN A 200.16.119.53
VCsocorro 38400 IN A 200.16.118.148
anhftp 38400 IN A 200.16.119.34
alcatraz 38400 IN A 200.16.118.76
VCbarranca 38400 IN A 200.16.118.150
VCmalaga 38400 IN A 200.16.118.149
200.16.117.44 38400 IN PTR pelicano
buho 38400 IN TXT "v=spf1 a mx all"
buho 38400 IN A 200.16.119.38
carreraatletica 38400 IN A 200.16.119.118
TestDirectoWan 38400 IN AAAA 2801:0:280::3
TestDirectoWan 38400 IN A 200.16.119.70
revistasaluduis 38400 IN CNAME revistas
diamante 38400 IN A 200.16.119.63
e3t 38400 IN CNAME calumet04uis.cloudapp.net.
simposioe3t60 38400 IN CNAME pinguino
ocw 38400 IN CNAME diamante
www.cps 38400 IN CNAME pinguino
sealion 38400 IN A 200.16.117.82
200.16.118.105 38400 IN PTR bdii
200.16.118.106 38400 IN PTR wms
centicRenataAud 38400 IN A 190.15.19.15
msoid 3600 IN CNAME clientconfig.microsoftonline-p.net.
evolucion.simon 38400 IN A 200.16.117.80
AcademCISCO3 38400 IN A 200.16.119.64
AcademCISCO4 38400 IN A 200.16.119.65
sshipv6 38400 IN AAAA 2801:0:280::4
editorial 38400 IN A 200.16.118.113
metalurgia 38400 IN CNAME calumet17uis.cloudapp.net.
caluwebapp 38400 IN A 200.16.117.77
AAEHD2 38400 IN A 200.16.117.37
200.16.118.123 38400 IN PTR cienTIC
catedralibre 38400 IN CNAME catedralibreuis.cloudapp.net.
archaeopterix 38400 IN A 200.16.119.43
petroleos 38400 IN CNAME calumet06uis.cloudapp.net.
cromatografia 38400 IN CNAME cenivam
mba 38400 IN NS ns1.bluehost.com.
forge 38400 IN A 200.16.119.99
cededuis 38400 IN CNAME ced19
turing.simon 38400 IN A 200.16.117.80
era 38400 IN CNAME pinguino
condorito 38400 IN A 200.16.119.41
200.16.118.142 38400 IN PTR revistas
VCbarbosa 38400 IN A 200.16.118.151
www 38400 IN CNAME aguila
matematicas 38400 IN CNAME copeton
frontend-leac 38400 IN A 200.16.119.60
aguila 38400 IN A 200.16.118.113
proinapsa 38400 IN A 200.16.119.32
wn01 38400 IN A 200.16.117.38
halley 38400 IN CNAME halleyuis.cloudapp.net.
CamrWebMantenPF 38400 IN A 200.16.119.69
forge.sc3 38400 IN A 200.16.119.113
MonicaHerreraTESOR 38400 IN A 200.16.119.56
garza 38400 IN A 200.16.117.61
garza 38400 IN MX 51 ASPMX.L.GOOGLE.com.
se 38400 IN A 200.16.118.173
gcb-ce 38400 IN A 200.16.118.66
200.16.118.168 38400 IN PTR ui
200.16.118.169 38400 IN PTR ce
200.16.118.171 38400 IN PTR lfc
salaCPIP 38400 IN CNAME default-yax8n3n
200.16.118.173 38400 IN PTR se
vcAudLCG 38400 IN A 200.16.118.130
delfin 38400 IN A 200.16.117.28
ipred250 38400 IN A 200.16.119.84
200.16.118.181 38400 IN PTR grid
200.16.118.182 38400 IN PTR gcb-cli
camaraVigFinan 38400 IN A 200.16.117.57
vcAudLeonardoA 38400 IN A 200.16.119.51
exyen 38400 IN A 200.16.117.27
cardenal 38400 IN A 200.16.119.81
sistemas2 38400 IN CNAME orca
kiwi 38400 IN A 200.16.117.24
icaro 38400 IN A 200.16.118.45
ui 38400 IN A 200.16.118.168
ruby.simon 38400 IN A 200.16.117.80
