@ 3600 IN SOA ns1 lmedina 2007112393 10800 3600 1209600 3600
@ 3600 IN NS ns1
3600 IN NS ns2
3600 IN NS guadiana
@ 3600 IN A 200.23.125.48
@ 3600 IN MX 10 aspmx.l.google.com.
3600 IN MX 20 alt1.aspmx.l.google.com.
3600 IN MX 20 alt2.aspmx.l.google.com.
3600 IN MX 30 apsmx3.googlemail.com.
3600 IN MX 30 aspmx2.googlemail.com.
3600 IN MX 30 aspmx4.googlemail.com.
3600 IN MX 30 aspmx5.googlemail.com.
comunicacion 3600 IN A 200.23.125.48
www.estadistica 3600 IN CNAME estadistica
www.nocturna 3600 IN CNAME vhosting
www.escolares 3600 IN A 200.23.125.48
congresoOE2012 3600 IN A 200.23.125.48
correosimg 3600 IN A 200.23.125.48
congresooe2014 3600 IN A 200.23.125.48
enlacesacademicos 3600 IN A 200.23.125.48
www.prueba 3600 IN A 200.23.125.48
difusion 3600 IN CNAME vhosting
www.fts 3600 IN CNAME vhosting
hospitalvet 3600 IN CNAME hosting
suv.basicas 3600 IN A 200.23.125.58
www.karate 3600 IN CNAME karate
evaluarte-v2 3600 IN A 200.23.125.97
dpda 3600 IN A 192.168.10.22
apcam 3600 IN A 200.23.125.48
servicios 3600 IN A 200.23.125.48
www.forestales 3600 IN CNAME hosting
im 3600 IN A 200.23.125.36
agenda 3600 IN A 200.23.125.48
fca 3600 IN CNAME vhosting
fcb 3600 IN A 200.23.125.48
www.expresa 3600 IN CNAME vhosting
carenae 3600 IN A 200.23.125.48
www.bcf 3600 IN CNAME hosting
faz 3600 IN CNAME vhosting
www.suv.virtual 3600 IN A 200.23.125.58
www.digital 3600 IN A 200.23.125.61
guadiana 3600 IN A 200.23.125.34
www.lenguas2 3600 IN CNAME lenguas2
computacioncch 3600 IN CNAME vhosting
fcq 3600 IN CNAME vhosting
www.siia 3600 IN CNAME siia
postgradofca 3600 IN A 200.23.125.36
sitios 3600 IN CNAME ghs.google.com.
