@ 3600 IN SOA MailBox Yangbo.MailBox 2007052310 7200 3000 720000 36000
@ 3600 IN MX 1 email
3600 IN MX 2 mail
@ 3600 IN A 124.133.254.51
@ 3600 IN AAAA 2001:da8:7005:1::1
@ 3600 IN NS DNS
3600 IN NS WWW
3600 IN NS MailBox
iplat 3600 IN CNAME virtualhost3
virtualhost2 3600 IN A 218.98.129.18
virtualhost3 3600 IN A 124.133.254.44
Star 3600 IN A 211.64.95.2
xxqn 3600 IN CNAME webgate
tc3000 3600 IN CNAME tc3000-node5
jdjhsz 3600 IN CNAME webgate
uslab 3600 IN CNAME virtualhost
yuanyt 3600 IN A 202.194.72.117
qllt 3600 IN CNAME virtualhost3
powder-cn 3600 IN A 202.194.70.150
sce 3600 IN A 211.144.146.61
tjpx 3600 IN CNAME virtualhost
sjc 3600 IN CNAME virtualhost
chem-eng 3600 IN A 202.194.70.126
hqc179 3600 IN A 202.194.73.179
clkx 3600 IN CNAME virtualhost3
Madlab-phone7960 3600 IN A 202.194.68.14
jdxyh 3600 IN CNAME virtualhost
Account 3600 IN A 202.194.64.66
sep 3600 IN CNAME virtualhost
Lydia 3600 IN A 202.194.75.199
c 3600 IN CNAME virtualhost3
nic3000 3600 IN A 202.194.68.12
Jack 3600 IN A 202.194.79.1
recc 3600 IN CNAME virtualhost
jxyk 3600 IN A 202.194.72.10
rsc 3600 IN CNAME virtualhost
sdtd2 3600 IN CNAME zyxw
taf 3600 IN CNAME virtualhost3
skc 3600 IN CNAME virtualhost
CB7000 3600 IN A 202.194.68.21
jwgl2 3600 IN CNAME webgate
cieeapp 3600 IN CNAME webgate
jwgl4 3600 IN CNAME webgate
mirlabs 3600 IN A 124.133.254.45
jwgl5 3600 IN CNAME webgate
nicop1 3600 IN A 202.194.68.52
lifx 3600 IN A 202.194.72.116
nicop8 3600 IN A 202.194.68.137
socpar11 3600 IN A 124.133.254.45
sce-bi 3600 IN A 211.144.146.61
SUN 3600 IN A 202.194.64.16
OpenBase 3600 IN A 202.194.64.129
stusvc 3600 IN CNAME virtualhost3
NetStaff 3600 IN A 202.194.75.213
codev 3600 IN CNAME virtualhost
lijun 3600 IN A 202.194.72.142
ybwillow 3600 IN A 202.194.69.8
sdswe 3600 IN CNAME virtualhost
flswzx 3600 IN CNAME virtualhost
wlhx 3600 IN CNAME virtualhost3
CB3500 3600 IN A 202.194.68.20
mail 3600 IN A 124.133.254.40
huaying 3600 IN A 202.194.74.70
xiaoban 3600 IN CNAME virtualhost
jcib 3600 IN CNAME virtualhost
jcysh 3600 IN CNAME webgate
C4006Router 3600 IN A 202.194.64.20
imap 3600 IN A 124.133.254.38
zhangfj 3600 IN A 202.194.73.147
dgdz 3600 IN CNAME virtualhost3
cmamt2009 3600 IN CNAME virtualhost
tzb 3600 IN CNAME virtualhost
isda2006 3600 IN CNAME virtualhost
jdda 3600 IN CNAME virtualhost
NL100R 3600 IN CNAME proxy1
liyi 3600 IN A 202.194.68.51
jdcw 3600 IN A 202.194.72.228
E250 3600 IN CNAME DNS
tsjy 3600 IN CNAME virtualhost3
wap 3600 IN CNAME WWW
Pro16A 3600 IN A 202.194.75.252
marj 3600 IN A 202.194.73.131
jdfz 3600 IN CNAME webgate
marx 3600 IN CNAME virtualhost
math 3600 IN CNAME webgate
jdgx 3600 IN CNAME virtualhost
jsjcq 3600 IN CNAME webgate
wen 3600 IN CNAME webgate
