@ 86400 IN SOA ns1 hostmaster 2015012936 3600 1800 604800 86400
@ 86400 IN SPF "v=spf1 include:_spf.google.com ~all"
@ 86400 IN A 193.140.245.211
@ 2592000 IN LOC 40 13 33.390 N 28 52 24.088 W 0.00m 1.00m 10000.00m 10.00m
@ 86400 IN TXT "Uludag University Name Server"
86400 IN TXT "v=spf1 a mx include:_spf.google.com ~all"
@ 86400 IN NS ns1
86400 IN NS ns2
86400 IN NS ns3
@ 86400 IN MX 10 ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
rec 86400 IN A 193.140.245.160
uait 86400 IN CNAME homepage
onkoday 86400 IN CNAME homepage
uludagkdm 86400 IN CNAME homepage
uu245-224 86400 IN A 193.140.245.224
uu245-50 86400 IN A 193.140.245.50
pwm 86400 IN A 194.27.115.100
fenbilimleri 86400 IN A 193.140.245.9
uu245-225 86400 IN A 193.140.245.225
iibf 86400 IN CNAME homepage
cocukurolojisi 86400 IN CNAME homepage
www20.bim 86400 IN CNAME homepage
uzok 86400 IN CNAME homepage
nukleer-tip 86400 IN CNAME homepage
uu245-78 86400 IN A 193.140.245.78
biyoistatistik 86400 IN CNAME homepage
pym 86400 IN CNAME homepage
telefonucretleri 86400 IN CNAME homepage
uu245-228 86400 IN A 193.140.245.228
esis 86400 IN A 194.27.120.22
ekders 86400 IN A 193.140.245.23
uu245-229 86400 IN A 193.140.245.229
satinalma 86400 IN A 194.27.120.21
umast 86400 IN CNAME homepage
armeniandiaspora 86400 IN CNAME homepage
sensorinside 86400 IN A 193.140.245.127
uu245-232 86400 IN A 193.140.245.232
acil-yardim 86400 IN CNAME homepage
uu245-220 86400 IN A 193.140.245.220
etby 86400 IN CNAME homepage
sas 86400 IN CNAME homepage
uu245-177 86400 IN A 193.140.245.177
uu245-235 86400 IN A 193.140.245.235
anesteziyoloji 86400 IN CNAME homepage
lojman 86400 IN A 194.27.120.21
uugdm 86400 IN CNAME homepage
rit-kys 86400 IN CNAME homepage
connect2 86400 IN A 193.140.245.25
tbgrafik 86400 IN CNAME homepage
mennanpasinli 86400 IN A 193.140.245.9
dentam 86400 IN CNAME homepage
butce 86400 IN CNAME homepage
ubit 86400 IN CNAME homepage
kln-bakt-enf-hast 86400 IN CNAME homepage
suam 86400 IN CNAME homepage
uu245-240 86400 IN A 193.140.245.240
ickontrol 86400 IN CNAME homepage
kps4 86400 IN A 194.27.120.21
sgb 86400 IN A 193.140.245.130
j 86400 IN A 194.27.115.59
kimya 86400 IN CNAME homepage
kulturmerkezi 86400 IN CNAME homepage
sts4 86400 IN CNAME homepage
uu245-243 86400 IN A 193.140.245.243
uu245-90 86400 IN A 193.140.245.90
uu245-1 86400 IN A 193.140.245.1
uu245-2 86400 IN A 193.140.245.2
uu245-3 86400 IN A 193.140.245.3
uu245-4 86400 IN A 193.140.245.4
uu245-5 86400 IN A 193.140.245.5
personel 86400 IN A 193.140.245.211
uu245-7 86400 IN A 193.140.245.7
uu245-8 86400 IN A 193.140.245.8
uu245-9 86400 IN A 193.140.245.9
strplan 86400 IN A 193.140.245.23
uu245-246 86400 IN A 193.140.245.246
philosophy 86400 IN CNAME homepage
muhendisligegiris 86400 IN CNAME homepage
veteriner 86400 IN CNAME homepage
insaat 86400 IN CNAME homepage
dunyadiliturkce2013 86400 IN CNAME homepage
radyasyon-onk 86400 IN CNAME homepage
mailman 86400 IN CNAME mail
tbk 86400 IN CNAME homepage
uu245-250 86400 IN A 193.140.245.250
likad 86400 IN CNAME homepage
sinavgorevlendirme 86400 IN A 194.27.112.10
radonk 86400 IN CNAME homepage
tekongre 86400 IN CNAME homepage
tde 86400 IN CNAME homepage
tby 86400 IN CNAME homepage
tbys 86400 IN A 194.27.115.2
ucir 86400 IN CNAME homepage
agam 86400 IN CNAME homepage
udam 86400 IN A 193.140.245.9
etos 86400 IN A 194.27.120.21
bilgiislem 86400 IN A 193.140.245.211
ichastaliklari 86400 IN CNAME homepage
usat 86400 IN CNAME homepage
uu245-120 86400 IN A 193.140.245.120
ulugida 86400 IN CNAME homepage
sot 86400 IN CNAME homepage
orgmyo 86400 IN CNAME homepage
munazara 86400 IN CNAME homepage
pedkard 86400 IN CNAME homepage
ogis 86400 IN A 194.27.120.133
kizilay 86400 IN CNAME homepage
isoqlog 86400 IN A 193.140.245.222
genctema 86400 IN CNAME homepage
jbes 86400 IN CNAME homepage
sso 86400 IN A 193.140.245.94
uas 86400 IN A 194.27.120.22
ubm 86400 IN CNAME homepage
karacabey 86400 IN CNAME homepage
nidetr 86400 IN CNAME homepage
btsrv 86400 IN A 172.20.1.43
ubt 86400 IN CNAME homepage
stu 86400 IN MX 20 1879031866.mail.outlook.com.
ulurtv 86400 IN CNAME homepage
performans 86400 IN A 194.27.112.10
mernisara 86400 IN A 194.27.120.21
ekalip 86400 IN CNAME homepage
onerimerkezi 86400 IN A 193.140.245.211
uu245-108 86400 IN A 193.140.245.108
ijsi 86400 IN CNAME homepage
ekranlar 86400 IN A 193.140.245.9
bilisim 86400 IN A 193.140.245.23
ulutek 86400 IN CNAME homepage
oryantiring 86400 IN CNAME homepage
myok 86400 IN CNAME homepage
anketiibf 86400 IN CNAME homepage
karmaogrenme 86400 IN CNAME homepage
lb 60 IN A 194.27.113.4
60 IN A 194.27.113.5
matbaa 86400 IN A 194.27.120.21
demo2 86400 IN CNAME homepage
kazananlar 86400 IN A 194.27.120.21
bap 86400 IN A 193.140.245.199
kureseldergi 86400 IN CNAME homepage
femed 86400 IN A 194.27.120.22
uu245-206 86400 IN A 193.140.245.206
udos 86400 IN A 193.140.245.232
soap.ssfe 86400 IN A 194.27.115.57
organikhk 86400 IN CNAME homepage
mail 86400 IN MX 50 mail
mail 86400 IN A 193.140.245.221
oidb 86400 IN A 193.140.245.211
labtakip 86400 IN A 194.27.120.21
usem 86400 IN A 193.140.245.9
list 86400 IN CNAME mail
mtayar 86400 IN CNAME homepage
ufit 86400 IN CNAME homepage
ulusut 86400 IN CNAME homepage
spormerkezi 86400 IN A 194.27.120.21
umt 86400 IN CNAME homepage
erman.sites 86400 IN CNAME ghs.googlehosted.com.
ufat 86400 IN CNAME homepage
imap 86400 IN CNAME imap.gmail.com.
tarih 86400 IN CNAME homepage
kariyer2011 86400 IN CNAME homepage
medikososyal 86400 IN CNAME homepage
kariyer2013 86400 IN CNAME homepage
projeatolyesi 86400 IN CNAME homepage
uu245-10 86400 IN A 193.140.245.10
mysql 86400 IN CNAME homepage
uuo 86400 IN CNAME homepage
dav.ssfe 86400 IN A 194.27.115.57
mail.ogr 86400 IN CNAME ghs.googlehosted.com.
www20 86400 IN CNAME homepage
airwave 86400 IN A 193.140.245.238
uusporkulubu 86400 IN CNAME homepage
ufet 86400 IN CNAME homepage
genelsekreter 86400 IN CNAME homepage
deniz 86400 IN A 172.20.2.18
dsersay 86400 IN CNAME homepage
endustri 86400 IN CNAME homepage
enerjik 86400 IN CNAME homepage
ebilgi 86400 IN CNAME homepage
arkeoloji 86400 IN CNAME homepage
ekomer 86400 IN CNAME homepage
kstb 86400 IN CNAME homepage
uu245-17 86400 IN A 193.140.245.17
uu245-200 86400 IN A 193.140.245.200
pacs 86400 IN A 95.0.132.40
sakurdok2 86400 IN A 193.140.246.194
meyokogrenci 86400 IN CNAME homepage
sbmyo 86400 IN CNAME homepage
uu245-18 86400 IN A 193.140.245.18
imid.intranet 86400 IN A 172.20.0.2
uakbisara 86400 IN A 193.140.245.23
ziraat 86400 IN CNAME homepage
aiit 86400 IN CNAME homepage
immunoloji 86400 IN CNAME homepage
uu245-20 86400 IN A 193.140.245.20
kultursanat 86400 IN CNAME homepage
yerleske 86400 IN CNAME homepage
vpn 86400 IN A 193.140.245.7
smaas 86400 IN A 194.27.120.21
mailuser 86400 IN A 194.27.120.21
yurtbasvuru 86400 IN A 194.27.120.22
uu245-23 86400 IN A 193.140.245.23
uu245-201 86400 IN A 193.140.245.201
hadyek 86400 IN CNAME homepage
*.home 14400 IN A 193.140.245.7
ogrencikonseyi 86400 IN CNAME homepage
sertifika 86400 IN CNAME homepage
uged 86400 IN CNAME homepage
uu245-25 86400 IN A 193.140.245.25
yayinara 86400 IN A 193.140.245.23
devrimtarihi 86400 IN CNAME homepage
uykubozuklugu 86400 IN CNAME homepage
connect 86400 IN A 193.140.245.24
stuweb 86400 IN A 193.140.245.77
uu245-30 86400 IN A 193.140.245.30
tibbio 86400 IN CNAME homepage
uu245-36 86400 IN A 193.140.245.36
sbmyo001 86400 IN CNAME homepage
euproffice 86400 IN CNAME homepage
metem 86400 IN CNAME homepage
intoffice 86400 IN CNAME homepage
uu245-32 86400 IN A 193.140.245.32
erasmus 86400 IN A 194.27.120.21
uu245-33 86400 IN A 193.140.245.33
genelcerrahi 86400 IN CNAME homepage
gemini4 86400 IN A 193.140.245.4
inif 86400 IN A 94.73.147.229
uu245-34 86400 IN A 193.140.245.34
bursa2011 86400 IN CNAME homepage
mail2 86400 IN MX 20 mail2
mail2 86400 IN A 193.140.245.223
pedgastro 86400 IN CNAME homepage
personeldb 86400 IN A 194.27.120.21
dersmatik 86400 IN A 193.140.245.23
vpn3cyb 86400 IN A 194.27.115.61
uu245-223 86400 IN A 193.140.245.223
aile-hekimligi 86400 IN CNAME homepage
aruba-master 86400 IN A 194.27.124.62
uhavk 86400 IN CNAME homepage
ulrad 86400 IN A 194.27.119.2
posta 86400 IN CNAME ghs.googlehosted.com.
uu245-40 86400 IN A 193.140.245.40
ilcin 86400 IN CNAME homepage
fltmovieproject 86400 IN CNAME homepage
etikkurul 86400 IN CNAME homepage
edsoy 86400 IN CNAME homepage
edincsoy 86400 IN CNAME homepage
pakturk2012 86400 IN CNAME homepage
uu245-42 86400 IN A 193.140.245.42
mmfdergi 86400 IN A 193.140.98.172
sualtigunleri 86400 IN A 193.140.245.7
radtv 86400 IN CNAME homepage
tarama 86400 IN A 193.140.245.220
uu245-205 86400 IN A 193.140.245.205
bedenegitimi 86400 IN CNAME homepage
aegee 86400 IN CNAME homepage
ulutekcip 86400 IN CNAME homepage
demovpn 86400 IN A 194.27.115.61
nucl 86400 IN CNAME homepage
sorubankasi 86400 IN A 172.20.2.13
uu245-47 86400 IN A 193.140.245.47
bordro 86400 IN A 193.140.245.2
uze 86400 IN CNAME homepage
uu245-49 86400 IN A 193.140.245.49
kullanicigirisi 86400 IN A 193.140.245.94
