@ 43200 IN SOA ns1 hostmaster 4120150410 28800 7200 604800 86400
@ 43200 IN MX 10 iron2
43200 IN MX 20 iron1
@ 43200 IN NS ns
43200 IN NS ns1
43200 IN NS sun.uakom.sk.
43200 IN NS decsys.vsb.cz.
m150.rekt 43200 IN A 194.160.39.150
c238.eduroam 43200 IN A 192.108.133.238
c34.eduroam 43200 IN A 192.108.133.34
m196.rekt 43200 IN A 194.160.39.196
matematika.fpv 43200 IN CNAME web2
mailbox1 43200 IN A 194.160.45.245
s35.rekt 43200 IN A 194.160.39.35
c93.eduroam 43200 IN A 192.108.133.93
m136.rekt 43200 IN A 194.160.39.136
c144.eduroam 43200 IN A 192.108.133.144
m240.rekt 43200 IN A 194.160.39.240
umbfs 43200 IN A 194.160.44.7
rfz 43200 IN CNAME www2.fhv
m236.rekt 43200 IN A 194.160.39.236
c213.eduroam 43200 IN A 192.108.133.213
s2.rekt 43200 IN A 194.160.39.2
m212.rekt 43200 IN A 194.160.39.212
www.platby 43200 IN CNAME web2
c67.eduroam 43200 IN A 192.108.133.67
s41.rekt 43200 IN A 194.160.39.41
m216.rekt 43200 IN A 194.160.39.216
c118.eduroam 43200 IN A 192.108.133.118
c133.eduroam 43200 IN A 192.108.133.133
m206.rekt 43200 IN A 194.160.39.206
c177.eduroam 43200 IN A 192.108.133.177
m186.rekt 43200 IN A 194.160.39.186
s7.rekt 43200 IN A 194.160.39.7
ubytovanie 43200 IN CNAME web2
c246.eduroam 43200 IN A 192.108.133.246
m217.rekt 43200 IN A 194.160.39.217
c42.eduroam 43200 IN A 192.108.133.42
c40.eduroam 43200 IN A 192.108.133.40
s46.rekt 43200 IN A 194.160.39.46
m147.rekt 43200 IN A 194.160.39.147
umbre 43200 IN A 194.160.44.2
c178.eduroam 43200 IN A 192.108.133.178
acc.grid 43200 IN A 194.160.44.235
c152.eduroam 43200 IN A 192.108.133.152
m156.rekt 43200 IN A 194.160.39.156
c179.eduroam 43200 IN A 192.108.133.179
c221.eduroam 43200 IN A 192.108.133.221
c16.eduroam 43200 IN A 192.108.133.16
m223.rekt 43200 IN A 194.160.39.223
c249.eduroam 43200 IN A 192.108.133.249
s52.rekt 43200 IN A 194.160.39.52
c75.eduroam 43200 IN A 192.108.133.75
www.ccv 43200 IN CNAME web1
mail.studenti 43200 IN CNAME files.studenti
c185.eduroam 43200 IN A 192.108.133.185
fs1.studenti 43200 IN A 194.160.44.46
forum.fpv 43200 IN CNAME sparc.fpv
m228.rekt 43200 IN A 194.160.39.228
c254.eduroam 43200 IN A 192.108.133.254
c50.eduroam 43200 IN A 192.108.133.50
m158.rekt 43200 IN A 194.160.39.158
c101.eduroam 43200 IN A 192.108.133.101
www.projektycpp 43200 IN A 212.5.218.8
profin 43200 IN A 194.160.44.57
c160.eduroam 43200 IN A 192.108.133.160
c228.eduroam 43200 IN A 192.108.133.228
c200.eduroam 43200 IN A 192.108.133.200
c24.eduroam 43200 IN A 192.108.133.24
vzdelavanie 43200 IN CNAME www.uvv
s63.rekt 43200 IN A 194.160.39.63
s101.rekt 43200 IN A 194.160.39.101
m164.rekt 43200 IN A 194.160.39.164
c191.eduroam 43200 IN A 192.108.133.191
c83.eduroam 43200 IN A 192.108.133.83
msoid.studenti 43200 IN CNAME clientconfig.microsoftonline-p.net.
c149.eduroam 43200 IN A 192.108.133.149
c134.eduroam 43200 IN A 192.108.133.134
c192.eduroam 43200 IN A 192.108.133.192
c203.eduroam 43200 IN A 192.108.133.203
m239.rekt 43200 IN A 194.160.39.239
japp 43200 IN A 194.160.44.31
c204.eduroam 43200 IN A 192.108.133.204
s68.rekt 43200 IN A 194.160.39.68
s106.rekt 43200 IN A 194.160.39.106
m169.rekt 43200 IN A 194.160.39.169
c57.eduroam 43200 IN A 192.108.133.57
c195.eduroam 43200 IN A 192.108.133.195
www.cpp 43200 IN CNAME web2
c108.eduroam 43200 IN A 192.108.133.108
mailhub.fpv 43200 IN CNAME sparc.fpv
www.virtualnadss 43200 IN CNAME staryweb.ef
c167.eduroam 43200 IN A 192.108.133.167
c207.eduroam 43200 IN A 192.108.133.207
m245.rekt 43200 IN A 194.160.39.245
c236.eduroam 43200 IN A 192.108.133.236
s74.rekt 43200 IN A 194.160.39.74
c32.eduroam 43200 IN A 192.108.133.32
evis 43200 IN A 194.160.44.19
m175.rekt 43200 IN A 194.160.39.175
ftp.studenti 43200 IN CNAME files.studenti
c210.eduroam 43200 IN A 192.108.133.210
s14.rekt 43200 IN A 194.160.39.14
c14.eduroam 43200 IN A 192.108.133.14
sd3-kam 43200 IN A 194.160.44.94
c91.eduroam 43200 IN A 192.108.133.91
s118.rekt 43200 IN A 194.160.39.118
c142.eduroam 43200 IN A 192.108.133.142
www.forum.fpv 43200 IN CNAME sparc.fpv
m202.rekt 43200 IN A 194.160.39.202
c113.eduroam 43200 IN A 192.108.133.113
m251.rekt 43200 IN A 194.160.39.251
c211.eduroam 43200 IN A 192.108.133.211
s79.rekt 43200 IN A 194.160.39.79
s117.rekt 43200 IN A 194.160.39.117
testef 43200 IN CNAME web2
www.projekty 43200 IN CNAME shp2013
m181.rekt 43200 IN A 194.160.39.181
www.servicelearning 43200 IN CNAME web3
c8.eduroam 43200 IN A 192.108.133.8
c65.eduroam 43200 IN A 192.108.133.65
c116.eduroam 43200 IN A 192.108.133.116
c20.eduroam 43200 IN A 192.108.133.20
kma.pdf 43200 IN A 194.160.44.118
c166.eduroam 43200 IN A 192.108.133.166
m152.rekt 43200 IN A 194.160.39.152
m145.rekt 43200 IN A 194.160.39.145
c175.eduroam 43200 IN A 192.108.133.175
km.fpv 43200 IN CNAME web2
m142.rekt 43200 IN A 194.160.39.142
s85.rekt 43200 IN A 194.160.39.85
s123.rekt 43200 IN A 194.160.39.123
c244.eduroam 43200 IN A 192.108.133.244
www.rekt 43200 IN CNAME web1
c39.eduroam 43200 IN A 192.108.133.39
m198.rekt 43200 IN A 194.160.39.198
s25.rekt 43200 IN A 194.160.39.25
c218.eduroam 43200 IN A 192.108.133.218
c229.eduroam 43200 IN A 192.108.133.229
c98.eduroam 43200 IN A 192.108.133.98
