@ 7200 IN SOA ns1 admin 2010120852 2000 900 36000 3600
@ 7200 IN TXT "Universitatea de Medicina si Farmacie"
@ 7200 IN NS ns1
7200 IN NS ns2
@ 7200 IN MX 1 ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
7200 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX4.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX5.GOOGLEMAIL.COM.
@ 7200 IN A 193.230.232.65
srorlp 7200 IN CNAME atlas
moodle-bddcaec 7200 IN CNAME atlas
emediqual-moodle 7200 IN A 193.230.232.63
ref 7200 IN CNAME atlas
pius_branzeu_center 7200 IN CNAME atlas
csoti-hpv 7200 IN CNAME atlas
atlas-gw-roedu 7200 IN A 193.230.232.9
atlas 7200 IN A 193.230.232.66
anuar 7200 IN CNAME atlas
phare 7200 IN CNAME atlas
www.histo 7200 IN A 193.230.232.59
umft-roedu-gw 7200 IN A 193.230.232.8
www.dim 7200 IN A 193.230.232.62
www.moodle 7200 IN A 193.230.232.60
hurodocs 7200 IN CNAME atlas
hu.emediqual 7200 IN A 193.230.232.61
congresanatomie2013 7200 IN CNAME atlas
prevalerg 7200 IN CNAME atlas
fiziologie 7200 IN CNAME atlas
elearning 7200 IN A 193.230.232.64
fff 7200 IN CNAME atlas
ns2 7200 IN A 85.186.35.206
maxilofaciale 7200 IN A 80.96.191.38
pediatrie1 7200 IN A 80.96.191.54
pediatrie2 7200 IN A 80.96.191.42
pediatrie3 7200 IN A 80.96.191.74
helios 7200 IN A 193.230.232.65
www 7200 IN A 193.230.232.65
atlas-gw-maxilofaciale 7200 IN A 80.96.191.37
rezidentiat 7200 IN CNAME atlas
adipo 7200 IN CNAME atlas
atlas-gw-cardiologie 7200 IN A 80.96.191.45
revista_fiziologia 7200 IN CNAME atlas
www.medinfo 7200 IN CNAME atlas
sgi 7200 IN A 80.96.191.199
www.emediqual-moodle-sandbox 7200 IN A 193.230.232.60
cardiologie 7200 IN A 80.96.191.46
evb 7200 IN CNAME atlas
reconos 7200 IN CNAME atlas
