@ 86400 IN SOA ns1 helmy 2011071001 3600 1800 604800 86400
@ 86400 IN NS ns1
86400 IN NS ns2
@ 86400 IN MX 1 aspmx.l.google.com.
86400 IN MX 5 alt1.aspmx.l.google.com.
86400 IN MX 5 alt2.aspmx.l.google.com.
86400 IN MX 10 aspmx2.googlemail.com.
86400 IN MX 10 aspmx3.googlemail.com.
@ 86400 IN A 222.124.3.203
fk 86400 IN A 222.124.3.203
tryout 86400 IN A 222.124.3.203
ns2 86400 IN A 222.124.3.204
ns1 86400 IN A 222.124.3.203
fatek 86400 IN A 222.124.3.203
mahasiswa.images 86400 IN A 222.124.3.203
rss 86400 IN A 222.124.3.203
conference 86400 IN A 222.124.3.203
registrasi 86400 IN A 222.124.3.203
spp 86400 IN A 222.124.3.203
fai 86400 IN A 222.124.3.203
faperta 86400 IN A 222.124.3.203
jurnal2 86400 IN A 222.124.3.203
moodle25 86400 IN A 222.124.3.203
p3m 86400 IN A 222.124.3.203
pustaka 86400 IN A 222.124.3.203
moodle28 86400 IN A 222.124.3.203
fisip 86400 IN A 222.124.3.203
pendaftaran 86400 IN A 222.124.3.203
lpkp 86400 IN A 222.124.3.203
moodle 86400 IN A 222.124.3.203
block 86400 IN A 222.124.3.203
oif 86400 IN A 222.124.3.203
akademik 86400 IN A 222.124.3.203
pushak 86400 IN A 222.124.3.203
digilib.fk 86400 IN A 222.124.8.82
infoakademik 86400 IN A 222.124.3.203
mail 86400 IN CNAME ghs.googlehosted.com.
i3ee6uwd3wtk.elearning 86400 IN CNAME gv-sl544fszy2rxb2.dv.googlehosted.com.
ppm 86400 IN A 222.124.3.203
fahum 86400 IN A 222.124.3.203
siakad 86400 IN A 222.124.3.203
jurnal 86400 IN A 222.124.3.203
pmb 86400 IN A 222.124.3.203
penmaru 86400 IN A 222.124.3.203
kemahasiswaan 86400 IN A 222.124.3.203
www 86400 IN A 222.124.3.203
bpm 86400 IN A 222.124.3.203
simpegdos 86400 IN A 222.124.3.203
alumni 86400 IN A 222.124.3.203
portal 86400 IN A 222.124.3.203
phpmyadmin 86400 IN A 222.124.3.203
digilib.pascasarjana 86400 IN A 222.124.8.82
elearning 86400 IN A 222.124.3.203
pascasarjana 86400 IN A 222.124.3.203
fkip 86400 IN A 222.124.3.203
fekon 86400 IN A 222.124.3.203
tvmu 86400 IN A 222.124.3.203
img 86400 IN A 222.124.3.203
spmi 86400 IN A 222.124.3.203
download 86400 IN A 222.124.3.203
digilib 86400 IN A 222.124.3.203
wisuda 86400 IN A 222.124.3.203
blogagribisnis 86400 IN A 222.124.3.203
