@ 3600 IN SOA dns dcampos 2015042001 10800 3600 604800 86400
@ 3600 IN NS dns
@ 3600 IN MX 1 ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX5.GOOGLEMAIL.COM.
@ 3600 IN A 200.116.126.99
hydra 3600 IN A 200.116.126.99
consulta 3600 IN A 200.116.126.99
svga 3600 IN A 200.116.126.101
investigar 3600 IN A 200.116.126.101
slies 3600 IN A 200.116.126.101
amigosecreto 3600 IN A 200.116.126.101
referidos 3600 IN A 200.116.126.101
sionupdate 3600 IN A 200.116.126.99
3600 IN A 200.116.126.101
sieteplus 3600 IN A 200.116.126.101
virtual 3600 IN A 200.116.126.99
donacionesv6 3600 IN AAAA 2001:13f8:7130:1::200:2
dsi 3600 IN A 200.116.126.101
musica 3600 IN A 200.116.126.101
pages 3600 IN CNAME ghs.google.com.
dvrdos 3600 IN A 200.116.126.98
reacad 3600 IN A 200.116.126.101
felisa4 3600 IN A 200.116.126.101
matricula 3600 IN A 200.116.126.101
multas 3600 IN A 200.116.126.101
wiki-gnuhealth 3600 IN A 200.116.126.101
iwillgotoo 3600 IN A 200.116.126.101
calendar 3600 IN CNAME ghs.google.com.
pop 3600 IN CNAME pop.gmail.com.
actualidad 3600 IN A 200.116.126.101
orfeo 3600 IN A 200.116.126.101
dvruno 3600 IN A 200.116.126.98
radio 3600 IN A 200.116.126.101
moodle 3600 IN A 200.116.126.101
suiteve 3600 IN A 200.116.126.99
mail 3600 IN CNAME ghs.google.com.
sionweb 3600 IN A 200.116.126.101
soporte 3600 IN A 200.116.126.99
pagonline 3600 IN A 200.116.126.101
registrodedispositivos 3600 IN A 200.116.126.101
www.iwillgotoo.unac.edu.co 3600 IN A 200.116.126.101
moodlep 3600 IN A 200.116.126.101
felisa4ejemplo 3600 IN A 200.116.126.101
inscripcion 3600 IN A 200.116.126.101
portal-tfs 3600 IN A 200.116.126.101
reflexiones 3600 IN A 200.116.126.99
donaciones 3600 IN A 200.116.126.101
ad 3600 IN A 200.116.126.101
start 3600 IN CNAME ghs.google.com.
ipv6 3600 IN AAAA 2001:13f8:7130:1::200:1
promesa 3600 IN A 200.116.126.101
docs 3600 IN CNAME ghs.google.com.
svgap 3600 IN A 200.116.126.101
votacion 3600 IN A 200.116.126.101
acms 3600 IN A 200.116.126.101
iglesia 3600 IN A 200.116.126.101
correo 3600 IN A 200.116.126.99
egresados 3600 IN A 200.116.126.99
biblioteca 3600 IN A 200.116.126.101
idiomastmp 3600 IN A 200.116.126.101
contactenos 3600 IN A 200.116.126.101
finanzas 3600 IN A 200.116.126.101
sugarcrm 3600 IN A 200.116.126.101
www 3600 IN A 200.116.126.101
ns 3600 IN A 200.116.126.99
matriculaidiomas 3600 IN A 200.116.126.101
planeacion 3600 IN A 200.116.126.101
opsview-appliance 3600 IN A 200.116.126.101
campamentos 3600 IN A 200.116.126.101
revistas 3600 IN A 200.116.126.101
catalogo8 3600 IN A 200.116.126.101
catalogo9 3600 IN A 200.116.126.101
colportores 3600 IN A 200.116.126.101
dns 3600 IN A 200.116.126.99
alfresco 3600 IN A 200.116.126.101
repository 3600 IN A 200.116.126.101
accessdenied 3600 IN A 200.116.126.101
smtp 3600 IN CNAME smtp.gmail.com.
orion 3600 IN A 200.116.126.99
