@ 10800 IN SOA ns1 master 2014052601 10800 3600 777600 3600
@ 10800 IN NS ns1
10800 IN NS ns2
@ 10800 IN MX 1 ASPMX.L.GOOGLE.COM.
10800 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
10800 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
10800 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
10800 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 10800 IN A 190.102.130.3
fipa 10800 IN A 190.102.130.3
oagra 10800 IN A 190.102.130.6
admision 10800 IN A 190.102.130.8
ns1 10800 IN A 190.102.130.3
ns2 10800 IN A 190.102.130.3
ccom 10800 IN A 190.102.130.3
fcnm 10800 IN A 190.102.130.3
repositorio 10800 IN A 190.102.130.5
sip 10800 IN A 190.102.130.11
fiee 10800 IN A 190.102.130.3
fca 10800 IN A 190.102.130.12
fcc 10800 IN A 190.102.130.3
fce 10800 IN A 190.102.130.3
fcs 10800 IN A 190.102.130.3
cepre 10800 IN A 190.102.130.3
fiarn 10800 IN A 190.102.130.3
spgfiis 10800 IN A 207.7.84.66
icepu 10800 IN A 190.102.130.3
www 10800 IN A 190.102.130.3
fiis 10800 IN A 198.136.56.2
ecampus 10800 IN A 190.102.130.10
biblioteca 10800 IN A 190.102.130.7
ecosoft 10800 IN A 190.102.130.9
posgrado 10800 IN A 190.102.130.3
fiq 10800 IN A 190.102.130.3
fime 10800 IN A 190.102.130.3
