@ 86400 IN SOA dns hostmaster.dns 2015042200 600 7200 604800 3600
@ 86400 IN MX 10 mx0
86400 IN MX 20 dreki
86400 IN MX 30 fundinn.rhnet.is.
@ 86400 IN NS dns
86400 IN NS dns2
86400 IN NS dvalinn.rhnet.is.
@ 3600 IN TXT "MS=ms52387524"
3600 IN TXT "BC2cz7mOvza+GC1hYkelYS5UUgJkwxA58DB0CmyRrevuXhKJw7GjxDXePmKY8H1kHfZY+OURRAj6ZxC4VKb+KA=="
@ 30 IN A 130.208.224.102
vel-712 86400 IN A 130.208.226.202
www.nome 300 IN CNAME nome
vel-346 86400 IN A 130.208.225.91
vel-744 86400 IN A 130.208.226.234
vel-757 86400 IN A 130.208.226.247
vel-658 86400 IN A 130.208.226.148
fjar-125 86400 IN A 130.208.228.125
CISCO-CAPWAP-CONTROLLER 86400 IN A 130.208.224.77
vel-350 86400 IN A 130.208.225.95
vel-580 86400 IN A 130.208.226.70
vel-626 86400 IN A 130.208.226.116
monitor 86400 IN A 130.208.224.9
vel-227157 86400 IN A 130.208.227.157
stef 300 IN CNAME spider
vel-714 86400 IN A 130.208.226.204
vel-470 86400 IN A 130.208.225.215
ibm-san1-1 86400 IN A 130.208.224.164
ibm-san1-2 86400 IN A 130.208.224.165
vel-745 86400 IN A 130.208.226.235
san35002 86400 IN A 130.208.224.184
vel-672 86400 IN A 130.208.226.162
vel-326 86400 IN A 130.208.225.71
vel-659 86400 IN A 130.208.226.149
vel-308 86400 IN A 130.208.225.53
vel-227213 86400 IN A 130.208.227.213
vel-227159 86400 IN A 130.208.227.159
vefpostur 300 IN CNAME ex2
vel-488 86400 IN A 130.208.225.233
vel-683 86400 IN A 130.208.226.173
vel-705 86400 IN A 130.208.226.195
vel-327 86400 IN A 130.208.225.72
vel-746 86400 IN A 130.208.226.236
vel-227163 86400 IN A 130.208.227.163
vel-720 86400 IN A 130.208.226.210
vel-410 86400 IN A 130.208.225.155
vel-359 86400 IN A 130.208.225.104
vel-227165 86400 IN A 130.208.227.165
staff 300 IN CNAME fs1
vel-500 86400 IN A 130.208.225.245
posi-afgr 86400 IN A 130.208.228.130
vel-227166 86400 IN A 130.208.227.166
vel-362 86400 IN A 130.208.225.107
virt-013 86400 IN A 130.208.228.23
vel-414 86400 IN A 130.208.225.159
vel-687 86400 IN A 130.208.226.177
cisco-sol-bok2 86400 IN A 130.208.224.90
vel-363 86400 IN A 130.208.225.108
vel-747 86400 IN A 130.208.226.237
_sip._tls 300 IN SRV 0 0 443 sip
vel-364 86400 IN A 130.208.225.109
vel-305 86400 IN A 130.208.225.50
esx1 86400 IN A 130.208.224.171
esx2 86400 IN A 130.208.224.181
esx3 86400 IN A 130.208.224.155
86400 IN A 130.208.224.180
xanadu-old 86400 IN A 130.208.224.152
vel-227171 86400 IN A 130.208.227.171
husstjorn2 86400 IN A 130.208.224.245
simakerfi 86400 IN A 130.208.228.128
skolathroun 300 IN CNAME @
vel-329 86400 IN A 130.208.225.74
vel-227032 86400 IN A 130.208.227.32
vel-227174 86400 IN A 130.208.227.174
sip 86400 IN A 130.208.224.216
vel-369 86400 IN A 130.208.225.114
oddfellow 86400 IN A 130.208.228.78
skolathroun16 300 IN CNAME @
vel-371 86400 IN A 130.208.225.116
vel-227176 86400 IN A 130.208.227.176
nome 300 IN A 157.157.147.157
vel-461 86400 IN A 130.208.225.206
vel-340 86400 IN A 130.208.225.85
print 86400 IN A 130.208.224.10
hyperv0-imm 86400 IN A 130.208.224.206
vel-331 86400 IN A 130.208.225.76
vel-749 86400 IN A 130.208.226.239
vel-227180 86400 IN A 130.208.227.180
vel-758 86400 IN A 130.208.226.248
vel-689 86400 IN A 130.208.226.179
vel-153 86400 IN A 130.208.224.153
vel-572 86400 IN A 130.208.226.62
vel-376 86400 IN A 130.208.225.121
virt-029 86400 IN A 130.208.228.29
outlook 300 IN CNAME ex2
vel-493 86400 IN A 130.208.225.238
vel-227183 86400 IN A 130.208.227.183
vel-704 86400 IN A 130.208.226.194
vel-227184 86400 IN A 130.208.227.184
vel-379 86400 IN A 130.208.225.124
vel-751 86400 IN A 130.208.226.241
cisco-l-hus 86400 IN A 130.208.224.92
vel-673 86400 IN A 130.208.226.163
vel-227186 86400 IN A 130.208.227.186
dmz-232 86400 IN A 130.208.228.232
dmz-233 86400 IN A 130.208.228.233
dmz-234 86400 IN A 130.208.228.234
dmz-235 86400 IN A 130.208.228.235
dmz-236 86400 IN A 130.208.228.236
dmz-237 86400 IN A 130.208.228.237
dmz-238 86400 IN A 130.208.228.238
dmz-239 86400 IN A 130.208.228.239
vel-227188 86400 IN A 130.208.227.188
fisheries 300 IN CNAME vefur
cisco-POE1 86400 IN A 130.208.224.82
cisco-POE2 86400 IN A 130.208.224.84
vel-418 86400 IN A 130.208.225.163
vel-227190 86400 IN A 130.208.227.190
vel-333 86400 IN A 130.208.225.78
vel-752 86400 IN A 130.208.226.242
vel-666 86400 IN A 130.208.226.156
vel-550 86400 IN A 130.208.226.40
vel-227193 86400 IN A 130.208.227.193
fjar-120 86400 IN A 130.208.228.120
vel-227194 86400 IN A 130.208.227.194
suse 86400 IN A 130.208.226.13
vel-306 86400 IN A 130.208.225.51
virt-014 86400 IN A 130.208.228.24
print-001 86400 IN A 130.208.227.2
print-002 86400 IN A 130.208.227.3
print-003 86400 IN A 130.208.227.4
cisco-wireless2 86400 IN A 130.208.224.79
print-005 86400 IN A 130.208.227.6
print-006 86400 IN A 130.208.227.7
print-007 86400 IN A 130.208.227.8
print-008 86400 IN A 130.208.227.9
print-009 86400 IN A 130.208.227.10
office 300 IN CNAME hysing
print-012 86400 IN A 130.208.227.13
print-013 86400 IN A 130.208.227.14
print-014 86400 IN A 130.208.227.15
print-015 86400 IN A 130.208.227.16
print-016 86400 IN A 130.208.227.17
canon-skrifst 86400 IN A 130.208.224.231
cerespro 300 IN A 157.157.147.155
print-019 86400 IN A 130.208.227.20
print-021 86400 IN A 130.208.227.22
print-022 86400 IN A 130.208.227.23
cisco-ahus-austur-3 86400 IN A 130.208.224.76
print-024 86400 IN A 130.208.227.25
print-025 86400 IN A 130.208.227.26
print-026 86400 IN A 130.208.227.27
print-027 86400 IN A 130.208.227.28
print-028 86400 IN A 130.208.227.29
print-029 86400 IN A 130.208.227.30
vel-227061 86400 IN A 130.208.227.61
vel-227062 86400 IN A 130.208.227.62
vel-227063 86400 IN A 130.208.227.63
vel-227064 86400 IN A 130.208.227.64
dreki3 86400 IN A 130.208.224.60
vel-227066 86400 IN A 130.208.227.66
vel-227067 86400 IN A 130.208.227.67
vel-227068 86400 IN A 130.208.227.68
vel-227069 86400 IN A 130.208.227.69
www.english 300 IN CNAME vefur
vel-227072 86400 IN A 130.208.227.72
heima-festa 86400 IN A 130.208.228.80
vel-227074 86400 IN A 130.208.227.74
vel-227075 86400 IN A 130.208.227.75
heima-stefjo 86400 IN A 130.208.228.89
vel-227077 86400 IN A 130.208.227.77
vel-227078 86400 IN A 130.208.227.78
vel-227079 86400 IN A 130.208.227.79
fjar-197 86400 IN A 130.208.228.197
vel-227082 86400 IN A 130.208.227.82
vel-227083 86400 IN A 130.208.227.83
nemar 300 IN CNAME fs4
vel-227085 86400 IN A 130.208.227.85
vel-227086 86400 IN A 130.208.227.86
vel-227087 86400 IN A 130.208.227.87
vel-227088 86400 IN A 130.208.227.88
vel-227089 86400 IN A 130.208.227.89
vel-227091 86400 IN A 130.208.227.91
vel-227092 86400 IN A 130.208.227.92
vel-227093 86400 IN A 130.208.227.93
vel-227094 86400 IN A 130.208.227.94
vel-227095 86400 IN A 130.208.227.95
vel-227096 86400 IN A 130.208.227.96
vel-227097 86400 IN A 130.208.227.97
vel-227098 86400 IN A 130.208.227.98
vel-227099 86400 IN A 130.208.227.99
spserver 86400 IN A 130.208.228.61
mail 300 IN CNAME ex2
vel-227113 86400 IN A 130.208.227.113
vel-227114 86400 IN A 130.208.227.114
solarwinds 86400 IN A 130.208.224.251
vel-227116 86400 IN A 130.208.227.116
vel-227117 86400 IN A 130.208.227.117
vel-227118 86400 IN A 130.208.227.118
vel-227119 86400 IN A 130.208.227.119
vel-227121 86400 IN A 130.208.227.121
vel-670 86400 IN A 130.208.226.160
vel-227123 86400 IN A 130.208.227.123
vel-227124 86400 IN A 130.208.227.124
vel-227125 86400 IN A 130.208.227.125
vel-227126 86400 IN A 130.208.227.126
vel-227129 86400 IN A 130.208.227.129
vel-227131 86400 IN A 130.208.227.131
vel-227132 86400 IN A 130.208.227.132
vel-227133 86400 IN A 130.208.227.133
vel-227134 86400 IN A 130.208.227.134
vel-227135 86400 IN A 130.208.227.135
vel-227136 86400 IN A 130.208.227.136
vel-227137 86400 IN A 130.208.227.137
vel-227138 86400 IN A 130.208.227.138
vel-227139 86400 IN A 130.208.227.139
fsha 86400 IN A 130.208.224.182
vel-227142 86400 IN A 130.208.227.142
vel-227143 86400 IN A 130.208.227.143
vel-227144 86400 IN A 130.208.227.144
vel-227145 86400 IN A 130.208.227.145
vel-227146 86400 IN A 130.208.227.146
vel-227147 86400 IN A 130.208.227.147
vel-227148 86400 IN A 130.208.227.148
vel-227149 86400 IN A 130.208.227.149
vel-227151 86400 IN A 130.208.227.151
vel-227152 86400 IN A 130.208.227.152
unak-w81-gopro 86400 IN A 130.208.224.22
vel-227154 86400 IN A 130.208.227.154
vel-227155 86400 IN A 130.208.227.155
vel-227156 86400 IN A 130.208.227.156
fjar-210 86400 IN A 130.208.228.210
vel-227158 86400 IN A 130.208.227.158
cisco-borgirt-3h-2 86400 IN A 130.208.224.95
vel-227161 86400 IN A 130.208.227.161
vel-227162 86400 IN A 130.208.227.162
admin 86400 IN A 130.208.224.99
vel-227164 86400 IN A 130.208.227.164
brick 86400 IN A 130.208.224.57
hulk 86400 IN A 130.208.224.98
vel-227167 86400 IN A 130.208.227.167
vel-227168 86400 IN A 130.208.227.168
vel-227169 86400 IN A 130.208.227.169
print-GW 86400 IN A 130.208.228.193
