@ 86400 IN SOA ns1 soporte 1406011 21600 120 604800 86400
@ 86400 IN NS ns1
86400 IN NS ns2
86400 IN NS ns3
@ 86400 IN TXT "v=spf1 include:_spf.google.com ~all"
@ 86400 IN A 150.187.12.72
@ 86400 IN MX 10 ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
irecur 86400 IN A 150.187.12.73
iprestodesarrollo 86400 IN A 150.187.12.76
vc 86400 IN A 201.248.71.219
ns1 86400 IN A 150.187.12.2
ns2 86400 IN A 201.248.71.217
ns3 86400 IN A 150.187.181.5
nomina-prueba 86400 IN A 150.187.12.68
sicdi 86400 IN A 150.187.12.73
caos 86400 IN A 150.187.117.40
prueba 86400 IN A 150.187.12.72
socpr 86400 IN A 150.187.12.73
sed 86400 IN A 150.187.12.67
socpt 86400 IN A 150.187.12.73
luke.poz 86400 IN A 150.187.181.3
sitios 86400 IN CNAME ghs.google.com.
grupos 86400 IN CNAME ghs.google.com.
virtual 86400 IN A 201.248.68.99
btouvs02 86400 IN A 150.187.12.10
scce 86400 IN A 150.187.12.73
pop3 86400 IN CNAME pop.gmail.com.
mail 86400 IN CNAME pop.gmail.com.
svracad 86400 IN A 150.187.12.73
webonline 86400 IN A 150.187.117.80
www.chv 86400 IN A 200.44.158.148
sunrh 86400 IN A 150.187.12.73
moderador 86400 IN CNAME ghs.google.com.
camara-ccps 86400 IN A 150.187.12.66
ccs 86400 IN A 190.15.186.4
ead 86400 IN A 150.187.12.73
sistema.vracad 86400 IN A 150.187.12.73
www.virtual 86400 IN A 201.248.68.99
eventosdip 86400 IN A 150.187.12.72
pop 86400 IN CNAME pop.gmail.com.
ftp 86400 IN CNAME ftp.el.bqto
ftp1 86400 IN CNAME caos
ftp2 86400 IN CNAME zeus
secretaria 86400 IN A 150.187.12.72
ocpt 86400 IN A 150.187.12.72
www 86400 IN A 150.187.12.72
glpi 86400 IN A 150.187.12.70
surrh 86400 IN A 150.187.12.73
imap 86400 IN CNAME zeus
correo 86400 IN CNAME ghs.google.com.
desarrollo 86400 IN A 150.187.12.76
portal-unexpo-prueba 86400 IN A 150.187.12.72
www-cake 86400 IN A 150.187.12.72
av 86400 IN A 150.187.12.73
www1 86400 IN CNAME webonline
centralvoip 86400 IN A 150.187.12.66
sgc 86400 IN A 150.187.12.73
todo 86400 IN CNAME ghs.google.com.
smtp 86400 IN CNAME smtp.gmail.com.
sensor1 86400 IN A 150.187.12.32
www.cenipro 86400 IN A 150.187.12.12
zeus 86400 IN A 150.187.117.2
www.vracad 86400 IN A 150.187.12.72
2001 86400 IN A 150.187.117.40
ipresto 86400 IN A 150.187.12.73
estadisticas 86400 IN A 150.187.12.72
prensa 86400 IN A 150.187.12.72
ipersonal 86400 IN A 150.187.12.76
iplan 86400 IN A 150.187.12.73
documentos 86400 IN CNAME ghs.google.com.
calendario 86400 IN CNAME ghs.google.com.
www.carora 86400 IN A 200.44.149.177
