@ 3600 IN SOA ns1 postmaster.ns1 2015042001 3600 1800 604800 3600
@ 3600 IN TXT "v=spf1 mx:email.unimap.edu.my ip4:58.27.57.24 ~all"
@ 3600 IN MX 0 email
@ 3600 IN NS ns1
3600 IN NS ns2
3600 IN NS ns1193.dns.dyn.com.
mazelan 3600 IN A 58.27.57.36
security 3600 IN A 58.27.57.54
ealumni2 3600 IN A 58.27.57.77
ecareer 3600 IN A 1.9.65.85
murugappan 3600 IN A 58.27.57.36
nemsin 3600 IN A 58.27.57.36
badrul 3600 IN A 58.27.57.36
norfaezah 3600 IN A 58.27.57.36
shayfull 3600 IN A 58.27.57.36
ppem2015 3600 IN A 58.27.57.36
ikhmar 3600 IN A 58.27.57.36
unisense 3600 IN A 58.27.57.38
e-cip 3600 IN A 58.27.57.36
iusstaff 3600 IN A 58.27.57.72
latifahmunirah 3600 IN A 58.27.57.36
zakariajasin 3600 IN A 58.27.57.36
workshopgu8 3600 IN A 58.27.57.36
eclinicpanel 3600 IN A 58.27.57.75
manufacturing 3600 IN A 58.27.57.36
auditdalam 3600 IN A 58.27.57.36
nabilkhalil 3600 IN A 58.27.57.36
onlineresult 3600 IN A 58.27.57.55
shaifulaziz 3600 IN A 58.27.57.36
elearning 3600 IN A 58.27.57.51
ihopes 3600 IN A 58.27.57.82
intpuspek 3600 IN A 58.27.57.76
afendirojan 3600 IN A 58.27.57.36
mucet2012 3600 IN A 58.27.57.36
juhairi 3600 IN A 58.27.57.36
hamzahsakeran 3600 IN A 58.27.57.36
iushrm 3600 IN A 1.9.65.71
rnd 3600 IN A 1.9.65.75
faradilla 3600 IN A 58.27.57.36
noorhafiza 3600 IN A 58.27.57.36
vpnpauh 3600 IN A 1.9.65.5
epic2 3600 IN A 58.27.57.82
konvokesyen 3600 IN A 58.27.57.36
mnazri 3600 IN A 58.27.57.36
shahadah 3600 IN A 58.27.57.36
mfareq 3600 IN A 58.27.57.36
unimapfm 3600 IN A 58.27.57.36
she 3600 IN A 1.9.65.77
ijbt 3600 IN A 58.27.57.36
syamsul 3600 IN A 58.27.57.36
careerfair 3600 IN A 58.27.57.36
searchstudent 3600 IN A 58.27.57.78
ahmadkadri 3600 IN A 58.27.57.36
hariyanti 3600 IN A 58.27.57.36
david 3600 IN A 58.27.57.36
potensi 3600 IN A 58.27.57.36
jkncr 3600 IN A 58.27.57.36
studentmail 3600 IN A 58.27.57.21
splka 3600 IN A 58.27.57.72
afif 3600 IN A 58.27.57.36
eroom 3600 IN A 1.9.65.77
jamilahhanim 3600 IN A 58.27.57.36
webserver 3600 IN A 103.18.244.44
nizar 3600 IN A 58.27.57.36
coeuas 3600 IN A 58.27.57.36
dagangkampus 3600 IN A 58.27.57.36
ppiptlib 3600 IN A 58.27.57.45
hazry 3600 IN A 58.27.57.36
spd 3600 IN A 1.9.65.53
hudson 3600 IN A 58.27.57.36
researchmylib 3600 IN A 58.27.57.45
spl 3600 IN A 58.27.57.77
masturah 3600 IN A 58.27.57.36
rizalafande 3600 IN A 58.27.57.36
zakimuin 3600 IN A 58.27.57.36
humaizi 3600 IN A 58.27.57.36
sistemsukanun8 3600 IN A 58.27.57.75
