@ 3600 IN SOA ns1 postmaster.ns1 2015042701 1200 400 1209600 3600
@ 3600 IN NS ns1
3600 IN NS ns2
@ 3600 IN A 200.129.142.16
@ 3600 IN MX 1 aspmx.l.google.com.
3600 IN MX 5 alt1.aspmx.l.google.com.
3600 IN MX 5 alt2.aspmx.l.google.com.
3600 IN MX 10 aspmx2.googlemail.com.
3600 IN MX 10 aspmx3.googlemail.com.
moodleuab 3600 IN A 200.129.142.77
www.deprocacoal 3600 IN CNAME server4
www.biologia 3600 IN CNAME server4
www.nct 3600 IN CNAME server4
_sip._tcp 3600 IN SRV 1 1 5060 voip1
www.prograd 3600 IN CNAME server4
mepe 3600 IN CNAME server4
www.panamazonico 3600 IN CNAME server4
www.andrea.cattaneo 3600 IN CNAME server4
srvsipag 3600 IN A 200.129.142.34
www.wanderson.araujo 3600 IN CNAME server4
www.clesiaoliveira 3600 IN CNAME server4
www.dmejp 3600 IN CNAME server4
www.liliane 3600 IN CNAME server4
mestradoeducacao 3600 IN CNAME server4
lucas 3600 IN CNAME server4
www.hermeneuticadopresente 3600 IN CNAME server4
www.eletrica 3600 IN CNAME server4
www.dimensionamento 3600 IN CNAME server4
www.dell 3600 IN CNAME server4
veredasamazonicas 3600 IN CNAME server4
www.ari 3600 IN CNAME server4
www.labictio 3600 IN CNAME server4
www.sipag 3600 IN CNAME srvsipag
www.denf 3600 IN CNAME server4
_sip._udp 3600 IN SRV 1 1 5060 voip1
www.fisica 3600 IN CNAME server4
www.tenorio 3600 IN CNAME server4
www.campusguajara 3600 IN CNAME server4
www.esporteelazer 3600 IN CNAME server4
www.portalderevistas 3600 IN CNAME server4
www.lojaedufro 3600 IN CNAME server4
www.ci1 3600 IN CNAME server4
www.ci2 3600 IN CNAME server4
www.ava 3600 IN CNAME ava
www.alfam 3600 IN CNAME server4
www.mapsi 3600 IN CNAME server4
www.geal 3600 IN CNAME server4
www.civil 3600 IN CNAME server4
www.cei 3600 IN CNAME server4
www.angeliete 3600 IN CNAME server4
www.desc 3600 IN CNAME server4
www.jmarcelo 3600 IN CNAME server4
