@ 3600 IN SOA nsroot admin 2970631820 14400 1200 1209600 3600
@ 3600 IN NS nsroot
@ 3600 IN MX 10 mail
3600 IN MX 20 pasca
fk 3600 IN A 202.150.151.122
siakad.fk 3600 IN A 202.150.151.122
prosiding 3600 IN A 202.150.151.118
kedokteran 3600 IN A 202.150.151.103
ns2 3600 IN A 202.150.151.100
spamfe 3600 IN A 202.150.151.117
nsroot 3600 IN A 202.150.151.110
*.staff 3600 IN A 202.150.151.103
planologi 3600 IN A 202.150.151.103
view 3600 IN A 202.150.151.104
earsip.fk 3600 IN A 202.150.151.122
proceeding 3600 IN A 202.150.151.118
kerjasama 3600 IN A 202.150.151.120
sipak 3600 IN A 202.150.151.121
db 3600 IN A 202.150.142.98
uscd 3600 IN A 202.150.151.103
teknik 3600 IN A 202.150.151.103
lsi 3600 IN A 202.150.151.103
statistika 3600 IN A 202.150.151.112
ekonomi 3600 IN A 202.150.151.103
tarbiyah 3600 IN A 202.150.151.103
matematika 3600 IN A 202.150.151.103
pmb 3600 IN A 202.150.151.123
ejournal 3600 IN A 202.150.151.118
elibrary 3600 IN A 202.150.151.105
kmti 3600 IN A 202.150.151.103
dakwah 3600 IN A 202.150.151.103
mail 3600 IN A 202.150.151.99
yayasan 3600 IN A 202.150.151.103
kemah 3600 IN A 202.150.151.102
multimedia.fikom 3600 IN A 202.150.151.103
mining 3600 IN A 202.150.151.102
jadwal 3600 IN A 202.150.142.99
elearning 3600 IN A 202.150.151.118
prosiding.lppm 3600 IN A 202.150.151.103
www.ibeconf 3600 IN A 202.150.151.103
situ 3600 IN A 202.150.151.121
kepegawaian.fk 3600 IN A 202.150.151.122
alumni 3600 IN A 202.150.151.102
farmasi 3600 IN A 202.150.151.112
www 3600 IN A 202.150.151.101
proceconomic 3600 IN A 202.150.151.118
syariah 3600 IN A 202.150.151.103
staff 3600 IN A 202.150.151.103
fikom 3600 IN A 202.150.151.103
elearning2 3600 IN A 202.150.151.102
lppm 3600 IN A 202.150.151.103
karyailmiah.fikom 3600 IN A 202.150.151.118
manajemen 3600 IN A 202.150.151.103
p2tlh 3600 IN A 202.150.151.103
ibeconf 3600 IN A 202.150.151.103
bpm 3600 IN A 202.150.151.117
ilmuekonomi 3600 IN A 202.150.151.103
psikologi 3600 IN A 202.150.151.103
komunitas 3600 IN A 202.150.151.102
karyailmiah 3600 IN A 202.150.151.118
akuntansi 3600 IN A 202.150.151.103
registrasi.fk 3600 IN A 202.150.151.122
pasca 3600 IN A 202.150.151.102
library 3600 IN A 202.150.151.102
mipa 3600 IN A 202.150.151.103
semtek 3600 IN A 202.150.151.117
perpustakaan.fk 3600 IN A 202.150.151.122
psw 3600 IN A 202.150.151.103
fkk 3600 IN A 202.150.151.103
support 3600 IN A 202.150.151.102
kuesioner.fk 3600 IN A 202.150.151.122
repository 3600 IN A 202.150.151.113
hukum 3600 IN A 202.150.151.103
bem 3600 IN A 202.150.151.112
ti 3600 IN A 202.150.151.117
siaa 3600 IN A 202.150.151.121
research 3600 IN A 202.150.151.103
