@ 604800 IN SOA ns1 admin 31 604800 86400 2419200 604800
@ 3600 IN MX 1 ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 604800 IN A 219.83.45.3
@ 604800 IN NS ns1
journalfe 604800 IN A 219.83.45.3
fp 604800 IN A 219.83.45.3
lemlit 604800 IN A 219.83.45.3
fs 604800 IN A 219.83.45.3
dpam 604800 IN A 219.83.45.6
kerjasama 604800 IN A 219.83.45.3
blog 604800 IN A 219.83.45.3
ns4 604800 IN A 219.83.45.6
amiq 604800 IN A 219.83.45.3
baak 604800 IN A 219.83.45.3
simawa 604800 IN A 219.83.45.6
ns1 604800 IN A 219.83.45.3
qa 604800 IN A 219.83.45.3
diriku 604800 IN A 219.83.45.3
trial 604800 IN A 219.83.45.3
lpppi 604800 IN A 219.83.45.3
ns3 604800 IN A 219.83.45.3
router 604800 IN A 219.83.45.2
ejournal 604800 IN A 219.83.45.3
calendar 3600 IN CNAME ghs.google.com.
tryout 604800 IN A 219.83.45.3
mrtg 604800 IN A 219.83.45.3
jserver 604800 IN A 219.83.45.4
mail 3600 IN CNAME ghs.google.com.
lambang 604800 IN A 219.83.45.3
kepegawaian 604800 IN A 219.83.45.3
teknik 604800 IN A 219.83.45.3
lpm 604800 IN A 219.83.45.3
pmbonline 604800 IN A 219.83.45.3
elearning 604800 IN A 219.83.45.3
ugame 604800 IN A 219.83.45.3
lib 604800 IN A 219.83.45.3
praktikum 604800 IN A 219.83.45.2
lik 604800 IN A 219.83.45.6
labinformatika 604800 IN A 219.83.45.3
ftp 604800 IN A 219.83.45.3
student 604800 IN A 219.83.45.4
dartoirawan 604800 IN A 219.83.45.3
message 604800 IN A 219.83.45.3
lppm 604800 IN A 219.83.45.3
itklinik 604800 IN A 219.83.45.3
docs 3600 IN CNAME ghs.google.com.
ft 604800 IN A 219.83.45.3
sastra 604800 IN A 219.83.45.3
fikom 604800 IN A 219.83.45.3
fia 604800 IN A 219.83.45.3
dosen 604800 IN A 219.83.45.3
bemft.unitomo.ac.id 604800 IN A 219.83.45.3
fakultas 604800 IN A 219.83.45.3
www 604800 IN A 219.83.45.3
ulul 604800 IN A 219.83.45.3
digicom 604800 IN A 219.83.45.3
alumni 604800 IN A 219.83.45.3
pasca 604800 IN A 219.83.45.3
ifrd.unitomo.ac.id 604800 IN A 219.83.45.3
bursakerja 604800 IN A 219.83.45.3
journal 604800 IN A 219.83.45.3
galeri 604800 IN A 219.83.45.3
new 604800 IN A 219.83.45.3
seminas 604800 IN A 219.83.45.3
dapenpcu 604800 IN A 219.83.45.3
fkip 604800 IN A 219.83.45.3
unetc 604800 IN A 219.83.45.3
labinfor 604800 IN A 219.83.45.3
maba 604800 IN A 219.83.45.3
fe 604800 IN A 219.83.45.3
digilib 604800 IN A 219.83.45.3
demo 604800 IN A 219.83.45.3
fh 604800 IN A 219.83.45.3
itclinic 604800 IN A 219.83.45.3
