@ 604800 IN SOA serivera admin 28 39 8642 2419200 360
@ 604800 IN MX 10 serivera
604800 IN MX 15 mailaka
@ 604800 IN NS serivera
@ 604800 IN A 192.139.15.34
www.portailsarsi 604800 IN A 192.139.15.38
difp 604800 IN A 192.139.15.38
web 604800 IN CNAME serivera
misa 604800 IN A 192.139.15.38
cicm 604800 IN CNAME serivera
fw 604800 IN A 192.139.15.33
mailaka 604800 IN A 192.139.15.38
math 604800 IN CNAME science
courrier 604800 IN CNAME serivera
flsh 604800 IN CNAME serivera
pop 604800 IN CNAME serivera
serivera 604800 IN A 192.139.15.34
labinfo 604800 IN CNAME serivera
unisciel 604800 IN CNAME serivera
presidence 604800 IN CNAME serivera
bacc 604800 IN CNAME serivera
theses.bu 604800 IN CNAME bu
vol 604800 IN CNAME serivera
debian 604800 IN A 192.139.15.38
ciram 604800 IN CNAME serivera
moodle 604800 IN CNAME serivera
mail 604800 IN A 192.139.15.38
cybertheses.bu 604800 IN CNAME bu
rict 604800 IN CNAME serivera
wiki 604800 IN A 172.16.85.85
agro 604800 IN A 192.139.15.38
www.vpript 604800 IN A 41.242.98.50
www.bu 604800 IN A 192.139.15.36
confucius 604800 IN CNAME serivera
dtic 604800 IN A 10.8.0.50
ftp 604800 IN CNAME serivera
degs 604800 IN CNAME serivera
rict2 604800 IN CNAME serivera
moodle2 604800 IN CNAME serivera
www 604800 IN A 192.139.15.38
espa 604800 IN CNAME serivera
coopuniv 604800 IN CNAME serivera
cours 604800 IN A 192.139.15.38
crefediv 604800 IN CNAME serivera
remia 604800 IN CNAME serivera
dmi 604800 IN A 192.139.15.38
bu 604800 IN A 192.139.15.36
sist 604800 IN A 192.139.15.35
www2 604800 IN CNAME serivera
tice 604800 IN CNAME serivera
sarima 604800 IN CNAME serivera
cref 604800 IN A 41.204.109.109
taratasy 604800 IN A 192.139.15.38
science 604800 IN A 192.139.15.37
qs07 604800 IN CNAME serivera
logiciels 604800 IN A 10.8.0.50
smtp 604800 IN CNAME serivera
intranet 604800 IN A 172.16.254.254
uel 604800 IN CNAME serivera
