@ 43200 IN SOA ServerName webmaster.mail 2011083117 3600 15 1209600 43200
@ 43200 IN NS ServerName
@ 43200 IN MX 10 mail
digitallibrary 43200 IN A 193.194.69.54
cecs2010 43200 IN A 193.194.69.34
ubatna 43200 IN A 193.194.69.34
aaecb 43200 IN A 193.194.69.34
biblio-agrovet 43200 IN A 193.194.69.34
economie 43200 IN A 193.194.69.34
new-univ 43200 IN A 193.194.69.34
unsat 43200 IN A 193.194.69.41
ub17 43200 IN A 193.194.69.34
univ 43200 IN A 193.194.69.34
ub27 43200 IN A 193.194.69.34
cpo 43200 IN A 193.194.69.38
accueil 43200 IN A 193.194.69.34
ihsi 43200 IN A 193.194.69.34
elearning 43200 IN A 193.194.69.35
technologies-old 43200 IN A 193.194.69.34
entreprenariat 43200 IN A 193.194.69.34
www 43200 IN CNAME univ
pharmacie 43200 IN A 193.194.69.34
sem 43200 IN A 193.194.69.34
cee2012 43200 IN A 193.194.69.34
witam2015 43200 IN A 193.194.69.34
rd 43200 IN A 193.194.69.48
hydraulique 43200 IN A 193.194.69.34
sd 43200 IN A 193.194.69.42
sg 43200 IN A 193.194.69.34
application 43200 IN A 193.194.69.47
chariaa 43200 IN A 193.194.69.34
formation 43200 IN A 193.194.69.34
fac-technologie 43200 IN A 193.194.69.34
medecine 43200 IN A 193.194.69.34
siazasem 43200 IN A 193.194.69.41
fac-shss-islamique 43200 IN A 193.194.69.34
ub1 43200 IN A 193.194.69.34
moodle 43200 IN A 193.194.69.38
vrp 43200 IN A 193.194.69.34
fse 43200 IN A 193.194.69.34
economie2 43200 IN A 193.194.69.34
archive 43200 IN A 193.194.69.34
test 43200 IN A 193.194.69.34
mail 43200 IN A 193.194.69.43
droit 43200 IN A 193.194.69.34
vrpg 43200 IN A 193.194.69.34
gire2013 43200 IN A 193.194.69.41
sri 43200 IN A 193.194.69.34
localhost 43200 IN A 127.0.0.1
revues 43200 IN A 193.194.69.34
fac-hsi 43200 IN A 193.194.69.34
forum 43200 IN A 193.194.69.47
ste 43200 IN A 193.194.69.34
socio 43200 IN A 193.194.69.34
entre 43200 IN A 193.194.69.34
smart 43200 IN A 193.194.69.40
cee2010 43200 IN A 193.194.69.34
inst-va 43200 IN A 193.194.69.34
bibliomedecine 43200 IN A 193.194.69.34
cee2014 43200 IN A 193.194.69.34
bibliotheque25 43200 IN A 193.194.69.34
gire 43200 IN A 193.194.69.34
ossol 43200 IN A 193.194.69.34
iciem2012 43200 IN A 193.194.69.34
fac-ingenieur 43200 IN A 193.194.69.34
iciem2014 43200 IN A 193.194.69.34
fac-lettre 43200 IN A 193.194.69.34
ubar25 43200 IN A 193.194.69.34
audio-visuel 43200 IN A 193.194.69.34
site 43200 IN A 193.194.69.34
aub 43200 IN A 193.194.69.34
architecture 43200 IN A 193.194.69.34
bibarab 43200 IN A 193.194.69.34
joom 43200 IN A 193.194.69.34
conf 43200 IN A 193.194.69.34
elearn 43200 IN A 193.194.69.61
incubateur 43200 IN A 193.194.69.34
witam 43200 IN A 193.194.69.41
bibliotheque 43200 IN A 193.194.69.34
vrelex 43200 IN A 193.194.69.34
iciem2 43200 IN A 193.194.69.41
jcmv 43200 IN A 193.194.69.34
intranet 43200 IN A 193.194.69.34
vet 43200 IN A 193.194.69.34
biblio-sciences 43200 IN A 193.194.69.34
fac-sciences 43200 IN A 193.194.69.34
press 43200 IN A 193.194.69.34
biblio-islamique 43200 IN A 193.194.69.34
ibdaa 43200 IN A 193.194.69.34
fac-islamique 43200 IN A 193.194.69.34
iciem3 43200 IN A 193.194.69.41
biblio-economie 43200 IN A 193.194.69.34
associations 43200 IN A 193.194.69.34
fac-shss-islamiques-ar 43200 IN A 193.194.69.34
english 43200 IN A 193.194.69.34
social 43200 IN A 193.194.69.34
crs 43200 IN A 193.194.69.34
cte 43200 IN A 193.194.69.34
inst-gha 43200 IN A 193.194.69.34
doubb 43200 IN A 193.194.69.34
publications 43200 IN A 193.194.69.34
sport 43200 IN A 193.194.69.58
ar 43200 IN A 193.194.69.47
entrepreneuriat 43200 IN A 193.194.69.34
ServerName 43200 IN A 193.194.69.36
lab 43200 IN A 193.194.69.58
theses 43200 IN A 193.194.69.58
