@ 300 IN SOA @ webadmin 2010232 604800 86400 2419200 300
@ 300 IN TXT "v=spf1 mx mx:mail.univ-mosta.dz -all"
@ 300 IN NS dns
@ 300 IN MX 10 mail
attanafous 300 IN A 193.194.86.117
fr 300 IN A 193.194.86.112
iconahesub 300 IN A 193.194.86.122
fsecsg 300 IN A 193.194.86.116
transfert-bac 300 IN A 193.194.86.114
englishonline 300 IN A 193.194.86.106
biblio1 300 IN A 193.194.86.117
blocked 300 IN A 193.194.86.99
ecp3m 300 IN A 193.194.86.116
steva 300 IN A 193.194.86.116
conahe 300 IN A 193.194.86.117
lmpc 300 IN A 193.194.86.117
epsnv 300 IN A 193.194.86.112
ispa2010sub 300 IN A 193.194.86.122
sg1 300 IN A 193.194.86.116
eng 300 IN A 193.194.86.116
ldi2d 300 IN A 193.194.86.116
site23 300 IN A 193.194.86.117
landcops 300 IN A 193.194.86.117
www 300 IN A 193.194.86.112
lbces 300 IN A 193.194.86.116
ancien 300 IN A 193.194.86.117
ieps-eng 300 IN A 193.194.86.117
lmpa 300 IN A 193.194.86.117
ieps-prod 300 IN A 193.194.86.116
maharadata 300 IN A 193.194.86.116
mdc 300 IN A 193.194.86.116
transfertonline 300 IN A 193.194.86.114
lmnepm 300 IN A 193.194.86.116
lstpa 300 IN A 193.194.86.117
vrpe 300 IN A 193.194.86.117
med 300 IN A 193.194.86.116
vrpg 300 IN A 193.194.86.117
fla 300 IN A 193.194.86.117
poidex 300 IN A 193.194.86.116
transfert 300 IN A 193.194.86.114
sif 300 IN A 193.194.86.113
annales 300 IN A 193.194.86.117
ieps-ar 300 IN A 193.194.86.117
tan 300 IN A 193.194.86.116
lpv 300 IN A 193.194.86.117
idea 300 IN A 193.194.86.106
fdsp 300 IN A 193.194.86.116
cvddsub 300 IN A 193.194.86.122
soft 300 IN A 193.194.86.99
lmbafs 300 IN A 193.194.86.117
lss 300 IN A 193.194.86.117
site2 300 IN A 193.194.86.117
feng 300 IN A 193.194.86.116
ieps-fr 300 IN A 193.194.86.117
peoles 300 IN A 193.194.86.118
site5 300 IN A 193.194.86.117
lvm 300 IN A 193.194.86.117
fss 300 IN A 193.194.86.117
fst 300 IN A 193.194.86.116
lpaa 300 IN A 193.194.86.117
cnpa2012 300 IN A 193.194.86.116
eoles 300 IN A 193.194.86.118
site4 300 IN A 193.194.86.117
inscription 300 IN A 193.194.86.114
site7 300 IN A 193.194.86.117
site8 300 IN A 193.194.86.117
drfe 300 IN A 193.194.86.117
lpap 300 IN A 193.194.86.116
reinscription 300 IN A 193.194.86.114
vrdpo 300 IN A 193.194.86.117
iepsgal 300 IN A 193.194.86.117
lctpe 300 IN A 193.194.86.117
labopaps 300 IN A 193.194.86.116
fmed 300 IN A 193.194.86.116
site10 300 IN A 193.194.86.117
cvp-eval 300 IN A 193.194.86.116
platech 300 IN A 193.194.86.117
site11 300 IN A 193.194.86.117
msi 300 IN A 193.194.86.116
ang 300 IN A 193.194.86.112
csys 300 IN A 193.194.86.122
ciav 300 IN A 193.194.86.112
ldap 300 IN A 193.194.86.111
spip 300 IN A 193.194.86.117
coursonline 300 IN A 193.194.86.117
dynamecs 300 IN A 193.194.86.116
bib 300 IN A 193.194.86.109
univ-fr 300 IN A 193.194.86.112
conahesub 300 IN A 193.194.86.122
biblio 300 IN A 193.194.86.116
ispaconf 300 IN A 193.194.86.116
articc 300 IN A 193.194.86.118
revue-staps 300 IN A 193.194.86.117
site12 300 IN A 193.194.86.117
cvdd 300 IN A 193.194.86.117
site14 300 IN A 193.194.86.117
site15 300 IN A 193.194.86.117
fiches 300 IN A 193.194.86.117
site18 300 IN A 193.194.86.117
site19 300 IN A 193.194.86.117
site21 300 IN A 193.194.86.117
mahara 300 IN A 193.194.86.116
mail 300 IN A 193.194.86.122
site25 300 IN A 193.194.86.116
site27 300 IN A 193.194.86.116
site28 300 IN A 193.194.86.116
enfumades 300 IN A 193.194.86.112
ispa2012 300 IN A 193.194.86.116
ieps 300 IN A 193.194.86.117
admin 300 IN A 193.194.86.106
ispa2012sub 300 IN A 193.194.86.122
wordpress-fr 300 IN A 193.194.86.112
formulaires 300 IN A 193.194.86.114
sjjar 300 IN A 193.194.86.116
lpsh 300 IN A 193.194.86.116
diacicult-ar 300 IN A 193.194.86.117
c2i 300 IN A 193.194.86.118
wordpress 300 IN A 193.194.86.112
cnpa2012sub 300 IN A 193.194.86.122
eda2010 300 IN A 193.194.86.117
site24 300 IN A 193.194.86.117
leil 300 IN A 193.194.86.116
jsdgesub 300 IN A 193.194.86.122
seam2 300 IN A 193.194.86.117
galerie 300 IN A 193.194.86.112
ispa2009sub 300 IN A 193.194.86.122
vrp 300 IN A 193.194.86.125
leog 300 IN A 193.194.86.116
medinnoall 300 IN A 193.194.86.117
publications 300 IN A 193.194.86.116
ispa2009 300 IN A 193.194.86.117
cvp 300 IN A 193.194.86.116
diacicult 300 IN A 193.194.86.116
sesnv 300 IN A 193.194.86.117
zmail 300 IN A 193.194.86.108
ispa2015sub 300 IN A 193.194.86.122
site1 300 IN A 193.194.86.117
woc 300 IN A 193.194.86.117
dns 300 IN A 193.194.86.99
vrcc 300 IN A 193.194.86.116
iconahe 300 IN A 193.194.86.100
l3 300 IN A 193.194.86.118
