@ 604800 IN SOA ns root 2014070801 10800 3600 604800 3600
@ 604800 IN NS ns.ucad.sn.
604800 IN NS ns
@ 604800 IN A 41.214.20.91
@ 28800 IN MX 1 ASPMX.L.GOOGLE.COM.
28800 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
28800 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
28800 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
28800 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 604800 IN TXT "google-site-verification=gCVavjZSM3SPlbHgFq3M2mtLtlHXGR99UR6jjvRH9jo"
gdg 10800 IN CNAME ghs.google.com.
gtug 10800 IN CNAME ghs.google.com.
sites 10800 IN CNAME ghs.google.com.
jst 604800 IN A 41.214.20.91
fad 604800 IN A 41.214.20.91
labo 604800 IN A 41.214.20.91
agenda 10800 IN CNAME ghs.google.com.
labs 604800 IN A 41.214.20.91
isfar 604800 IN A 41.214.20.91
ns 604800 IN A 41.214.20.91
sife 604800 IN A 41.214.20.91
groups 10800 IN CNAME ghs.google.com.
mail 10800 IN CNAME ghs.google.com.
si 604800 IN A 41.214.20.91
support 10800 IN CNAME ghs.google.com.
www.bu 604800 IN A 41.214.20.91
iut 604800 IN A 41.214.20.91
crefat 604800 IN A 41.214.20.91
jsut 604800 IN A 41.214.20.91
www 604800 IN A 41.214.20.91
docs 10800 IN CNAME ghs.google.com.
sante 604800 IN A 41.214.20.91
samapc 604800 IN A 41.214.20.91
ensa 604800 IN A 41.214.20.91
bibli 604800 IN A 41.214.20.91
google546788ad392ea79d 10800 IN CNAME google.com.
ses 604800 IN A 41.214.20.91
set 604800 IN A 41.214.20.91
bu 604800 IN A 41.214.20.91
intranetbu 604800 IN A 41.214.20.91
scserver 604800 IN A 41.214.20.89
mdsarr 10800 IN CNAME ghs.google.com.
