@ 85400 IN SOA dns1 root.dns1 2015042303 42200 7100 2419200 86300
@ 85400 IN NS dns1
@ 85400 IN A 193.194.92.34
85400 IN A 193.194.92.53
@ 85400 IN MX 0 mail
85400 IN MX 50 pauwes-mail
85400 IN MX 100 pauwes
@ 85400 IN TXT "v=spf1   mx -all"
dou 85400 IN A 193.194.92.76
lamaabe 85400 IN A 193.194.92.76
lab-cancer 85400 IN A 193.194.92.76
fs 85400 IN A 193.194.92.76
averroes 85400 IN A 193.194.92.76
ldc 85400 IN A 193.194.92.76
vrex 85400 IN A 193.194.92.76
lcsco 85400 IN A 193.194.92.76
ETAP 85400 IN A 193.194.92.76
serveur 85400 IN A 176.66.160.59
dimaf 85400 IN A 193.194.92.76
faclettre 85400 IN A 193.194.92.74
lat 85400 IN A 193.194.92.76
nawdmpv2014 85400 IN A 193.194.92.76
www.pauwes 85400 IN A 193.194.92.52
iscsc 85400 IN A 193.194.92.76
ent 85400 IN A 193.194.92.91
sda 85400 IN A 193.194.92.53
rectorat 85400 IN A 193.194.92.90
www 85400 IN A 193.194.92.53
clust 85400 IN A 193.194.92.83
MECAS 85400 IN A 193.194.92.53
mantisigne 85400 IN A 193.194.92.62
vufind 85400 IN A 193.194.92.58
maghnia 85400 IN A 193.194.92.76
gbm 85400 IN A 193.194.92.76
laepo 85400 IN A 193.194.92.76
cruc 85400 IN A 193.194.92.54
facsite 85400 IN A 193.194.92.46
lata2m 85400 IN A 193.194.92.76
e-cruo 85400 IN A 193.194.92.54
ged 85400 IN A 193.194.92.43
cruo 85400 IN A 193.194.92.76
dylandimed 85400 IN A 193.194.92.76
dzwebdays 85400 IN A 193.194.92.76
lpt 85400 IN A 193.194.92.76
crsic-cruo 85400 IN A 193.194.92.42
fdsp 85400 IN A 193.194.92.76
lamej 85400 IN A 193.194.92.53
melt 85400 IN A 193.194.92.76
lab-cae 85400 IN A 193.194.92.76
istemag 85400 IN A 193.194.92.76
auth-zcs 85400 IN A 193.194.92.59
labo-drcbm 85400 IN A 193.194.92.76
ltt 85400 IN A 193.194.92.76
snv 85400 IN A 193.194.92.76
fsi 85400 IN A 193.194.92.76
ltsp 85400 IN A 193.194.92.76
lrappa 85400 IN A 193.194.92.76
pauwes 85400 IN A 193.194.92.52
fseg 85400 IN A 193.194.92.76
activcompte 85400 IN A 193.194.92.45
fondation 85400 IN A 193.194.92.76
dspace 85400 IN A 193.194.92.94
forum 85400 IN A 193.194.92.62
vrdpo 85400 IN A 193.194.92.53
bibfac 85400 IN A 193.194.92.35
lab-e2id 85400 IN A 193.194.92.76
ppabionut 85400 IN A 193.194.92.76
fmed 85400 IN A 193.194.92.75
www1 85400 IN A 193.194.92.53
www2 85400 IN A 193.194.92.46
tutorat 85400 IN A 193.194.92.54
risam 85400 IN A 193.194.92.76
lanlma 85400 IN A 193.194.92.76
code 85400 IN A 193.194.92.76
fshs 85400 IN A 193.194.92.76
lcie 85400 IN A 193.194.92.76
edx 85400 IN A 193.194.92.50
labo-DHLF 85400 IN A 193.194.92.53
crue 85400 IN A 193.194.92.54
labo-vah 85400 IN A 193.194.92.53
publications 85400 IN A 193.194.92.76
MIFMA 85400 IN A 193.194.92.76
ocs 85400 IN A 193.194.92.78
ICOSIP2015 85400 IN A 193.194.92.76
signes 85400 IN A 193.194.92.76
cimpa 85400 IN A 193.194.92.76
larmho 85400 IN A 193.194.92.76
gprod 85400 IN A 193.194.92.53
ltala 85400 IN A 193.194.92.76
bulletin 85400 IN A 193.194.92.76
tempus 85400 IN A 193.194.92.78
harvester 85400 IN A 193.194.92.85
idp 85400 IN A 193.194.92.93
cas 85400 IN A 193.194.92.82
mail 85400 IN A 193.194.92.44
mail 85400 IN TXT "v=spf1 a  -all"
tlemcen2011 85400 IN A 193.194.92.53
hpc 85400 IN A 193.194.92.76
bleu 85400 IN A 193.194.92.36
mecacomp 85400 IN A 193.194.92.76
iscl 85400 IN A 193.194.92.76
ojs 85400 IN A 193.194.92.78
pauwes-mail 85400 IN A 193.194.92.60
elearn 85400 IN A 193.194.92.90
biomolim 85400 IN A 193.194.92.76
toximed 85400 IN A 193.194.92.53
bibmed 85400 IN A 193.194.92.37
omp 85400 IN A 193.194.92.84
vietudiant 85400 IN A 193.194.92.76
fseg2 85400 IN A 193.194.92.76
bu 85400 IN A 193.194.92.76
www3 85400 IN A 193.194.92.76
LDMT 85400 IN A 193.194.92.76
c2i 85400 IN A 193.194.92.76
is2m 85400 IN A 193.194.92.76
vrpgrs 85400 IN A 193.194.92.76
labstic 85400 IN A 193.194.92.76
Nutrition 85400 IN A 193.194.92.74
labo-LRM 85400 IN A 193.194.92.76
cimip2014 85400 IN A 193.194.92.76
eacp08 85400 IN A 193.194.92.53
link-up 85400 IN A 193.194.92.36
urmer 85400 IN A 193.194.92.76
Hollande-UABT 85400 IN A 193.194.92.76
cri 85400 IN A 193.194.92.76
vrp 85400 IN A 193.194.92.76
labo-sps 85400 IN A 193.194.92.53
CTE 85400 IN A 193.194.92.76
dns1 85400 IN A 193.194.92.34
lasnabio 85400 IN A 193.194.92.76
vivo 85400 IN A 193.194.92.86
news 85400 IN A 193.194.92.53
poldeva 85400 IN A 193.194.92.76
labo-lamaabe 85400 IN A 193.194.92.53
aourag 85400 IN A 193.194.92.76
heberge 85400 IN A 193.194.92.53
mgiar 85400 IN A 193.194.92.74
cma2014 85400 IN A 193.194.92.76
Univ-Ete 85400 IN A 193.194.92.76
ella 85400 IN A 193.194.92.74
channel-u 85400 IN A 193.194.92.76
theses 85400 IN A 193.194.92.53
ceil 85400 IN A 193.194.92.53
