@ 86400 IN SOA @ pulsar 2015043017 21600 3600 3600000 172800
@ 86400 IN MX 0 titan
86400 IN MX 0 pulsar
@ 86400 IN A 193.50.192.9
@ 86400 IN NS titan
86400 IN NS pulsar
86400 IN NS reserv1.univ-lille1.fr.
86400 IN NS proxy1-rech
pcbuetu35-12 86400 IN A 192.168.9.126
pcbuetu35-13 86400 IN A 192.168.9.127
hp2420b006 86400 IN A 192.168.8.181
borne-mace-burz 86400 IN A 195.221.187.29
pc-dsi-f4f4f4 86400 IN A 193.50.195.28
apipremium1 86400 IN A 192.168.5.223
apipremium2 86400 IN A 192.168.5.224
apipremium4 86400 IN A 192.168.5.226
pcbuetu35-16 86400 IN A 192.168.9.130
pc7-115t 86400 IN A 192.168.11.204
pccontrech02 86400 IN A 193.50.195.116
pccontrech03 86400 IN A 193.50.195.135
pccontrech04 86400 IN A 193.50.195.200
pccontrech05 86400 IN A 192.168.195.64
pcbuetu35-17 86400 IN A 192.168.9.131
pccontrech07 86400 IN A 192.168.195.193
pccontrech08 86400 IN A 192.168.195.15
pccontrech09 86400 IN A 193.50.195.128
pcfllashderuy 86400 IN A 195.221.190.135
pc-salle-metrologie 86400 IN A 192.168.7.89
sp-pemas1 86400 IN A 192.168.2.47
sp-pemas2 86400 IN A 192.168.2.51
sp-pemas3 86400 IN A 192.168.2.59
sp-pemas4 86400 IN A 192.168.2.69
fexvm 86400 IN A 193.50.192.142
ensi-pedago01 86400 IN A 192.168.19.29
ensi-pedago02 86400 IN A 192.168.19.53
ensi-pedago03 86400 IN A 192.168.19.27
ensi-pedago04 86400 IN A 192.168.19.145
pc-fbechet-2-wifi 86400 IN A 192.168.36.91
ramdam3 86400 IN A 193.50.194.34
ramdam4 86400 IN A 193.50.194.3
2960-24-c3t-ext 86400 IN A 192.168.20.119
cap3702-istv1-rdc 86400 IN A 192.168.29.199
onduleur-istv2 86400 IN A 192.168.20.182
dell2135 86400 IN A 192.168.2.30
elitebook8570p-wifi 86400 IN A 192.168.36.12
web2vm 86400 IN A 193.50.192.139
zmta1 86400 IN A 193.50.192.52
pc113tistv3-01-pxe 86400 IN A 192.168.17.168
dell-ic 86400 IN A 192.168.191.64
imp-tctd1 86400 IN A 192.168.10.41
imp-tctd3 86400 IN A 192.168.10.42
pc112tistv3-01-pxe 86400 IN A 192.168.17.155
pc113tistv3-06-pxe 86400 IN A 192.168.17.173
pccontrech06 86400 IN A 193.50.195.159
zimbra8vm 86400 IN A 193.50.192.49
pc111tistv3-01-pxe 86400 IN A 192.168.17.180
ensi-serveur-sima 86400 IN A 192.168.25.77
cam-tc-vostro4-wifi 86400 IN A 192.168.35.22
pc112tistv3-06-pxe 86400 IN A 192.168.17.160
c3t-model2 86400 IN A 192.168.8.192
sp-pb-tahon-psi 86400 IN A 192.168.2.102
ensi-pc-secdir 86400 IN A 193.50.197.29
pc113tistv3-12-pxe 86400 IN A 192.168.17.179
ap1130-technopole 86400 IN A 192.168.29.138
pc111tistv3-06-pxe 86400 IN A 192.168.17.185
portable-richard-wifi 86400 IN A 192.168.28.147
port-gauthier 86400 IN A 192.168.194.19
impistv3-010t-01 86400 IN A 192.168.5.248
pc108tistv3-01-pxe 86400 IN A 192.168.17.232
cap2602-carpeaux-fsms 86400 IN A 192.168.29.205
pc112tistv3-12-pxe 86400 IN A 192.168.17.166
pc109tistv3-06-pxe 86400 IN A 192.168.17.92
ap1200-cisit-dir 86400 IN A 192.168.29.90
mphtools 86400 IN A 195.221.189.195
imp-tctp1 86400 IN A 192.168.10.40
