@ 3600 IN SOA @ hostmaster 2006012436 1800 900 604800 3600
@ 3600 IN NS fw
3600 IN NS www
@ 3600 IN MX 0 mail
3600 IN MX 5 mail2
@ 3600 IN A 200.54.148.71
comunicaciones 3600 IN A 200.54.148.73
mag-politicasociales 3600 IN A 200.54.148.73
economia 3600 IN A 200.54.148.73
cpeda 3600 IN A 200.54.148.73
investigacion 3600 IN A 200.54.148.73
dgrafico 3600 IN A 200.54.148.73
estudiosculturales 3600 IN A 200.54.148.73
historia 3600 IN A 200.54.148.73
arcispais 3600 IN A 200.54.148.73
periodismo 3600 IN A 200.54.148.73
fea 3600 IN A 200.54.148.73
ns1 3600 IN A 200.54.148.72
eparvularia 3600 IN A 200.54.148.73
ex-alumnos 3600 IN A 200.54.148.73
claustro2005 3600 IN A 200.54.148.73
www 3600 IN A 200.54.148.71
fw 3600 IN A 200.54.148.72
gforge 3600 IN A 200.54.148.73
vepi 3600 IN A 200.54.148.73
memoriacolectiva 3600 IN A 200.54.148.73
federarcis 3600 IN A 200.54.148.73
teatro 3600 IN A 200.54.148.73
vrpd 3600 IN A 200.54.148.73
utopias 3600 IN A 200.54.148.73
sociologia 3600 IN A 200.54.148.73
danza 3600 IN A 200.54.148.73
psicsocial 3600 IN A 200.54.148.73
sedearauco 3600 IN A 200.54.148.78
dae 3600 IN A 200.54.148.73
academicos 3600 IN A 200.54.148.73
pbasica 3600 IN A 200.54.148.73
extension 3600 IN A 200.54.148.73
redesci 3600 IN A 200.54.148.73
test 3600 IN A 200.54.148.73
mparvularia 3600 IN A 200.54.148.73
ftp 3600 IN A 200.54.148.73
archivo 3600 IN A 200.54.148.73
becasvalech 3600 IN A 200.54.148.73
fotografia 3600 IN A 200.54.148.73
estadisticas 3600 IN A 200.54.148.73
cabrero 3600 IN A 200.54.148.73
tsocial 3600 IN A 200.54.148.73
psicologia 3600 IN A 200.54.148.73
deriva 3600 IN A 200.54.148.73
capa 3600 IN A 200.54.148.73
sedecabrero 3600 IN A 200.54.148.73
portezuelo 3600 IN A 200.54.148.73
amt 3600 IN A 200.54.148.73
biblioteca2 3600 IN A 200.54.148.73
admision 3600 IN A 200.54.148.71
canete 3600 IN A 200.54.148.73
libreria 3600 IN A 200.54.148.73
ns2 3600 IN A 200.54.148.76
magdis 3600 IN A 200.54.148.73
deptoingles 3600 IN A 200.54.148.73
audiovisual 3600 IN A 200.54.148.73
musica 3600 IN A 200.54.148.71
sibarc 3600 IN A 200.54.148.73
cbbaa 3600 IN A 200.54.148.73
magisterhistoria 3600 IN A 200.54.148.73
magsociologia 3600 IN A 200.54.148.73
mail 3600 IN A 200.54.148.72
rootos 3600 IN A 200.54.148.73
filosofia 3600 IN A 200.54.148.73
cpoliticas 3600 IN A 200.54.148.73
patagonia 3600 IN A 200.54.148.73
paritario 3600 IN A 200.54.148.73
capsyg 3600 IN A 200.54.148.73
bellasartes 3600 IN A 200.54.148.73
adserver 3600 IN A 200.54.148.78
cine 3600 IN A 200.54.148.73
laboratorios 3600 IN A 200.54.148.73
valparaiso 3600 IN A 200.54.148.71
elecciones 3600 IN A 200.54.148.73
ingcom 3600 IN A 200.54.148.73
arquitectura 3600 IN A 200.54.148.73
intranet 3600 IN A 200.54.148.73
derecho 3600 IN A 200.54.148.73
secestudios 3600 IN A 200.54.148.73
soporte 3600 IN A 200.54.148.73
deptomatematicas 3600 IN A 200.54.148.73
doctorado 3600 IN A 200.54.148.73
pruebas 3600 IN A 200.54.148.71
sedevalparaiso 3600 IN A 200.54.148.73
diplomados 3600 IN A 200.54.148.73
feducacion 3600 IN A 200.54.148.73
ccsoc 3600 IN A 200.54.148.73
biblioteca 3600 IN A 200.54.148.78
arcismatico 3600 IN A 200.54.148.73
magallanes 3600 IN A 200.54.148.73
infacad 3600 IN A 200.54.148.73
ingles 3600 IN A 200.54.148.73
matematica 3600 IN A 200.54.148.73
