@ 38400 IN SOA ns admin 1328376570 10800 3600 604800 38400
@ 38400 IN MX 10 mail
@ 38400 IN NS ns1
thpproduction 38400 IN A 180.250.214.34
fisika.fkip 38400 IN A 180.250.214.34
ns1 38400 IN A 118.97.45.50
flipmasgamalama 38400 IN A 180.250.214.34
kimia.fkip 38400 IN A 180.250.214.34
app 38400 IN A 118.97.45.54
geografi.fkip 38400 IN A 180.250.214.34
if 38400 IN A 180.250.214.34
ejournal.fkip 38400 IN A 180.250.214.34
mukhlis 38400 IN A 180.250.214.34
himi 38400 IN A 180.250.214.34
io 38400 IN A 180.250.214.34
ekonomi 38400 IN A 180.250.214.34
sofyansamad 38400 IN A 180.250.214.34
biologi.fkip 38400 IN A 180.250.214.34
ejournal 38400 IN A 180.250.214.34
elibrary 38400 IN A 49.50.8.90
assafarief 38400 IN A 180.250.214.34
santo 38400 IN A 180.250.214.34
plt 38400 IN A 180.250.214.34
ekonsul 38400 IN A 180.250.214.34
pkn.fkip 38400 IN A 180.250.214.34
feb 38400 IN A 180.250.214.34
aseng 38400 IN A 180.250.214.34
vps 38400 IN A 180.250.214.38
perikanan 38400 IN A 180.250.214.34
bahasaindonesia.fkip 38400 IN A 180.250.214.34
elektro 38400 IN A 180.250.214.34
abdurahmanhoda 38400 IN A 180.250.214.34
simakft 38400 IN A 180.250.214.34
teknik 38400 IN A 180.250.214.34
mail 38400 IN A 180.250.214.38
ppm 38400 IN A 103.11.74.25
bahasainggris.fkip 38400 IN A 180.250.214.34
dns1 38400 IN A 180.250.214.34
dns2 38400 IN A 180.250.214.34
jamalun 38400 IN A 180.250.214.34
labkomft 38400 IN A 49.50.10.117
38400 IN A 180.250.214.38
pps 38400 IN A 180.250.214.34
paud.fkip 38400 IN A 180.250.214.34
miftah 38400 IN A 180.250.214.34
lppm 38400 IN A 180.250.214.34
economics.feb 38400 IN A 180.250.214.34
arsitektur 38400 IN A 180.250.214.34
labdas 38400 IN A 180.250.214.34
sipil 38400 IN A 180.250.214.34
pertanian 38400 IN A 180.250.214.34
muliadi 38400 IN A 180.250.214.34
www 38400 IN A 180.250.214.34
kadridaud 38400 IN A 180.250.214.34
journal 38400 IN A 180.250.214.34
elearning 38400 IN A 180.250.214.34
snmptn 38400 IN A 180.250.214.34
pgsd.fkip 38400 IN A 180.250.214.34
fkip 38400 IN A 180.250.214.34
matematika.fkip 38400 IN A 180.250.214.34
hosting 38400 IN A 180.250.214.34
hukum 38400 IN A 180.250.214.34
karfapala 38400 IN A 180.250.214.34
jamil 950 IN A 180.250.214.34
sastra 38400 IN A 180.250.214.34
