@ 3600 IN SOA ns1 andi 2015041701 14400 3600 604800 600
@ 3600 IN TXT "google-site-verification=RPGBxvIKds8KB_sjA4GIPZJZCLMBjWbNsWvMPKXkbkY"
@ 3600 IN MX 10 mailprotection1.excellent.co.id.
3600 IN MX 20 mailprotection2.excellent.co.id.
@ 3600 IN NS ns1
3600 IN NS ns2
3600 IN NS ns3
3600 IN NS ns4
@ 3600 IN A 103.10.169.245
fk 3600 IN A 103.10.169.176
plo 3600 IN A 103.10.169.247
zeus 3600 IN A 103.10.169.194
si-alumni 3600 IN A 103.10.169.65
eros 3600 IN A 103.10.169.247
kajianbudaya 3600 IN A 103.10.169.82
unrites3 3600 IN A 103.10.169.246
fira 3600 IN A 103.10.169.131
fmipa 3600 IN A 103.10.169.111
lppm 3600 IN A 103.10.169.82
sia-blok 3600 IN A 103.10.169.65
qa 3600 IN A 103.10.169.199
rutc 3600 IN A 103.10.169.254
urtube 3600 IN A 103.10.169.95
jurusan 3600 IN A 103.10.169.199
plt 3600 IN A 103.10.169.4
rayon5 3600 IN A 103.10.169.101
sireg-deve 3600 IN A 103.10.169.3
portalalumni-deve 3600 IN A 103.10.169.3
sikap 3600 IN A 103.10.169.254
pop3 3600 IN A 103.10.169.61
selene 3600 IN A 103.10.169.234
portalsia-deve 3600 IN A 103.10.169.3
blade1 3600 IN A 103.10.169.202
blade2 3600 IN A 103.10.169.203
serenity 3600 IN A 103.10.169.242
pasca-fisika 3600 IN A 103.10.169.82
elearning 3600 IN A 103.10.169.93
blade7 3600 IN A 103.10.169.204
blade9 3600 IN A 103.10.169.205
mm 3600 IN A 103.10.169.199
um1 3600 IN A 103.10.169.200
penelitian 3600 IN A 103.10.169.65
portalriset-deve 3600 IN A 103.10.169.3
apolo 3600 IN A 103.10.169.198
3600 IN A 103.10.169.235
www 3600 IN CNAME @
krs 3600 IN A 103.10.169.68
unrites4 3600 IN A 103.10.169.224
staff 3600 IN A 103.10.169.83
staff 3600 IN NS ns1.staff
ukt 3600 IN A 103.10.169.66
pasca-pe 3600 IN A 103.10.169.82
seraya 3600 IN A 103.10.169.224
kui 3600 IN A 103.10.169.176
ruedc 3600 IN A 103.10.169.83
portal-sdm 3600 IN A 103.10.169.65
simlppmpur 3600 IN A 49.128.177.74
gaia 3600 IN A 103.10.169.233
cloud 3600 IN A 103.10.169.95
fkip 3600 IN A 103.10.169.101
pbud 3600 IN A 103.10.169.200
siriset-deve 3600 IN A 103.10.169.3
sia 3600 IN A 103.10.169.65
sidss-deve 3600 IN A 103.10.169.3
repository 3600 IN A 103.10.169.96
sie 3600 IN A 103.10.169.65
sig 3600 IN A 103.10.169.2
digilib 3600 IN A 103.10.169.95
rsa 3600 IN A 103.10.169.176
hera 3600 IN A 103.10.169.250
imaps 3600 IN A 103.10.169.61
icose 3600 IN A 103.10.169.83
crypton 3600 IN A 103.10.169.197
arch-e 3600 IN A 103.10.169.199
webmail 3600 IN A 103.10.169.61
um 3600 IN A 103.10.169.200
riset 3600 IN A 103.10.169.65
lppmp 3600 IN A 103.10.169.83
keuangan 3600 IN A 103.10.169.65
pplh 3600 IN A 103.10.169.254
freejournal 3600 IN A 103.10.169.97
mes1 3600 IN A 103.10.169.161
manajemenfe 3600 IN A 103.10.169.199
bahanaonline 3600 IN A 103.10.169.199
portalsdm-deve 3600 IN A 103.10.169.3
biologi-fkip 3600 IN A 103.10.169.199
portallama 3600 IN A 103.10.169.200
pembayaran 3600 IN A 103.10.169.65
psil 3600 IN A 103.10.169.199
bauk 3600 IN A 103.10.169.246
faperta 3600 IN NS ns1.faperta
simak 3600 IN A 103.10.169.242
sms 3600 IN A 103.10.169.65
ilmuekonomife 3600 IN A 103.10.169.199
kelautan 3600 IN A 103.10.169.199
lecturer 3600 IN NS ns1.lecturer
sympa 3600 IN A 103.10.169.63
hilwan 3600 IN A 103.10.169.199
simaset 3600 IN A 103.10.169.65
unrites 3600 IN A 103.10.169.246
spm 3600 IN A 103.10.169.254
up2b 3600 IN A 103.10.169.199
urnews 3600 IN A 103.10.169.100
math-fkip 3600 IN A 103.10.169.199
test 3600 IN A 103.10.169.245
mail 3600 IN A 103.10.169.61
mail 3600 IN NS ns1.mail
3600 IN NS ns2.mail
booble 3600 IN A 103.10.169.93
ppse 3600 IN A 103.10.169.246
localhost 3600 IN A 127.0.0.1
poseidon 3600 IN A 103.10.169.236
unrites1 3600 IN A 103.10.169.246
ppru 3600 IN A 103.10.169.254
pasca-agribisnis 3600 IN A 103.10.169.82
bem-eng 3600 IN A 103.10.169.199
sifinans-deve 3600 IN A 103.10.169.3
old-webmail 3600 IN A 103.10.169.201
tik 3600 IN A 103.10.169.83
d3fe 3600 IN A 103.10.169.246
sialumni-deve 3600 IN A 103.10.169.3
smtp 3600 IN A 103.10.169.61
sikeu-deve 3600 IN A 103.10.169.3
ulp 3600 IN A 103.10.169.84
mrtg 3600 IN A 103.10.169.194
me 3600 IN A 103.10.169.199
andi 3600 IN A 103.10.169.199
pasca-ia 3600 IN A 103.10.169.82
portal-stifar 3600 IN A 103.10.169.200
sapphire 3600 IN A 103.10.169.191
faperika 3600 IN A 103.10.169.141
bem 3600 IN A 103.10.169.199
3600 IN A 103.11.74.134
pasca-mp 3600 IN A 103.10.169.82
