@ 38400 IN SOA dns1 dnsadmin 1290651913 10800 3600 604800 38400
@ 38400 IN MX 10 usmmx
38400 IN MX 15 mx2
38400 IN MX 25 mx
@ 38400 IN NS ns1
38400 IN NS dns1
38400 IN NS dns2
@ 38400 IN TXT "MS=ms83502896"
38400 IN TXT "v=spf1 ip4:168.96.255.165 ip4:200.45.170.30 ip4:200.45.170.12 -all"
38400 IN TXT "google-site-verification=eRbqbhTMDhiXcZxXQCv6pA_ZXhjO7GRXXskHmUK0eYY"
@ 38400 IN A 168.96.255.169
www.tarea 38400 IN CNAME www
investigacion 38400 IN CNAME www
www.def-2009 38400 IN CNAME www
www.cepel.posgrado 38400 IN CNAME www
www.soporte 38400 IN CNAME webnew
smtp587 38400 IN A 168.96.255.165
www.icamdc 38400 IN CNAME www
funitec 38400 IN CNAME webnew
www.innovacion 38400 IN CNAME www
www.revistadesvios 38400 IN CNAME www
planeseeyn 38400 IN CNAME webnew
brucella 38400 IN CNAME rho.iib
www.democ 38400 IN CNAME www
monitor 38400 IN A 200.45.170.30
seuintranet 38400 IN A 200.32.110.35
siseeyn 38400 IN CNAME webnew
www.coopint 38400 IN CNAME www3
www.cerps 38400 IN CNAME www
ema 38400 IN A 200.32.110.39
nt-server-1 38400 IN A 170.210.48.97
www.cooperacion 38400 IN CNAME webnew
pop1 38400 IN CNAME pop
www.arte 38400 IN CNAME www
www.e-mag.posgrado 38400 IN CNAME www
miradorturistico 38400 IN CNAME www
bibliotecacentral 38400 IN CNAME www
vpn 38400 IN A 170.210.48.20
www.lecturamundi 38400 IN CNAME www
eeyn 38400 IN CNAME www
www.luisalbertoromero 38400 IN CNAME www
ceps 38400 IN CNAME www
www.cajachica 38400 IN A 200.45.170.28
noticias 38400 IN CNAME webnew
www.filosofiaidealismo 38400 IN CNAME www3
cepel 38400 IN CNAME www
moodle2 38400 IN CNAME webnew
tolkien 38400 IN A 170.210.48.4
www.consejosuperior 38400 IN CNAME webnew
wap 38400 IN CNAME webnew
ram2009 38400 IN CNAME www
humanidadesdigital 38400 IN CNAME www
revistadesvios 38400 IN CNAME www
pruebapilaga 38400 IN CNAME webnew
www 38400 IN A 168.96.255.169
www 38400 IN TXT "google-site-verification=eRbqbhTMDhiXcZxXQCv6pA_ZXhjO7GRXXskHmUK0eYY"
adunsam 38400 IN CNAME www
campy 38400 IN CNAME rho.iib
www.politicaygobierno 38400 IN CNAME www
convenios 38400 IN CNAME webnew
nomada 38400 IN A 200.32.110.35
www.extension 38400 IN CNAME www
humanidades 38400 IN CNAME www
fusionimagenes 38400 IN CNAME www
medieval 38400 IN CNAME webextranets
agrobiotecnologia 38400 IN A 190.183.61.30
www.ideas 38400 IN CNAME www
sgr 38400 IN CNAME webnew
www.oia 38400 IN CNAME www
ppp-server 38400 IN A 170.210.48.90
www.biblioteca 38400 IN CNAME webextranets
smtp 38400 IN CNAME usmmx
comdoc 38400 IN CNAME www2
idaes 38400 IN CNAME www.idaes.edu.ar.
campusvirtual 38400 IN A 190.210.73.237
www.ced 38400 IN CNAME www
lecturamundi 38400 IN CNAME www
gibs 38400 IN CNAME www2
