@ 38400 IN SOA ns3 admin 2015042600 10800 3600 604800 38400
@ 38400 IN MX 10 mail
@ 38400 IN TXT "v=spf1 a mx include:mail.unsri.ac.id ~all"
@ 38400 IN NS ns3
38400 IN NS ns1
38400 IN NS ns2
38400 IN NS archery
@ 38400 IN A 103.241.4.11
rcu 38400 IN A 103.241.4.33
reg 38400 IN A 103.241.4.35
pengadaan 38400 IN A 103.241.4.40
driver 38400 IN A 103.241.4.42
anggrek 38400 IN A 103.241.4.44
lecturer 38400 IN A 103.241.4.11
satan 38400 IN A 103.241.4.43
www.jaji 38400 IN CNAME jaji
ebrary 38400 IN A 103.241.4.76
sman9plg 38400 IN A 103.241.4.40
henny 38400 IN A 103.241.4.44
bundaharini 38400 IN A 103.241.4.44
bowok-nagoya 38400 IN A 103.241.4.43
zimbra 38400 IN A 103.241.5.9
pur-plso 38400 IN A 103.241.4.40
elearning 38400 IN A 103.241.4.18
elearning 38400 IN MX 10 elearning
www.lpmgs 38400 IN CNAME lpmgs
www.bem 38400 IN CNAME bem
www.semnaslahansuboptimal 38400 IN CNAME semnaslahansuboptimal
www.beasiswa 38400 IN CNAME beasiswa
inherent 38400 IN A 103.241.4.43
upm 38400 IN A 103.241.4.69
kntia 38400 IN A 103.241.4.41
hosting 38400 IN A 103.241.4.40
adios 38400 IN A 103.241.4.44
status 38400 IN A 103.241.4.71
obets 38400 IN A 103.241.4.44
forum.inherent 38400 IN CNAME inherent
kalidoni 38400 IN A 103.241.4.66
suci 38400 IN A 103.241.4.44
www.iconcse 38400 IN CNAME iconcse
www.transportasi 38400 IN CNAME transportasi
s 38400 IN A 103.241.4.36
hotspot 38400 IN A 103.241.4.110
www.bkp 38400 IN CNAME bkp
www.cdc 38400 IN CNAME cdc
dropbox 38400 IN A 103.241.4.42
lemlit 38400 IN A 103.241.4.69
www.warta 38400 IN CNAME warta
www.aug17 38400 IN CNAME aug17
wikisriwijaya 38400 IN A 103.241.4.43
pilrek 38400 IN A 103.241.4.14
sitiherlinda 38400 IN A 103.241.4.44
keuangan 38400 IN A 103.241.4.51
www.suliet 38400 IN CNAME suliet
pembayaran 38400 IN A 103.241.4.51
www.android 38400 IN CNAME android
dosenfavorit 38400 IN A 103.241.4.41
elearning.baitullah 38400 IN A 103.241.4.40
witafarla 38400 IN A 103.241.4.44
jaji 38400 IN A 103.241.4.44
medusa 38400 IN A 103.241.4.44
www.hasbi 38400 IN CNAME hasbi
spi 38400 IN A 103.241.4.69
comnets 38400 IN A 103.241.4.41
avoer2012 38400 IN A 103.241.4.43
www.pur-plso 38400 IN CNAME pur-plso
documents 38400 IN A 103.241.4.43
downno 38400 IN A 103.241.4.44
gafur 38400 IN A 103.241.4.44
www.rusnas 38400 IN CNAME rusnas
nadwah 38400 IN A 103.241.4.41
boombaru 38400 IN A 103.241.4.77
deriss 38400 IN A 103.241.4.44
iwans 38400 IN A 103.241.4.44
sman12plg 38400 IN A 103.241.4.40
kslsolusi 38400 IN A 103.241.4.43
www.kemahasiswaan 38400 IN CNAME kemahasiswaan
syslog 38400 IN A 103.241.4.52
m12n4 38400 IN A 103.241.4.44
www.baak 38400 IN CNAME baak
portal.fk 38400 IN A 103.241.4.47
link 38400 IN A 103.241.4.42
dwimirani 38400 IN A 103.241.4.44
paperless 38400 IN A 103.241.4.11
elearning.davidbahrin 38400 IN A 103.241.4.40
aslamiarosa 38400 IN A 103.241.4.44
presensi 38400 IN A 103.241.4.89
batumulia 60 IN NS batumulia
www.pusbangdik 38400 IN CNAME pusbangdik
fandy 38400 IN A 103.241.4.11
julian 38400 IN A 103.241.4.44
mail 38400 IN A 103.241.4.9
www.pmutu 38400 IN CNAME pmutu
specimen 38400 IN A 103.241.4.44
komunitas 38400 IN A 103.241.4.43
reza 38400 IN A 103.241.4.44
dayat 38400 IN A 103.241.4.11
blog 38400 IN A 103.241.4.101
eprint 38400 IN CNAME eprints
cacti 38400 IN A 103.241.4.42
anitarahmiwati 38400 IN A 103.241.4.44
sriwijayacms 38400 IN A 103.241.4.44
sman1plg 38400 IN A 103.241.4.40
dempo 38400 IN A 103.241.4.47
imhere 38400 IN A 103.241.4.41
elearning.al-anthony 38400 IN A 103.241.4.40
sman20plg 38400 IN A 103.241.4.40
akademik.fk 38400 IN A 103.241.4.47
url 38400 IN A 103.241.4.42
yulisman 38400 IN A 103.241.4.44
usm 3600 IN A 103.241.4.36
nurhasan 38400 IN A 103.241.4.44
rsieem 38400 IN A 103.241.4.41
asterisk 38400 IN A 103.241.4.49
joomla 38400 IN A 103.241.4.44
robcont 38400 IN A 103.241.4.41
www.rini 38400 IN CNAME rini
generic 38400 IN A 103.241.4.39
baak 38400 IN A 103.241.4.69
www.robcont 38400 IN CNAME robcont
www.it-helpdesk 38400 IN CNAME it-helpdesk
android 38400 IN A 103.241.4.44
cakephp 38400 IN A 103.241.4.101
www.sikd 38400 IN CNAME sikd
vpn 38400 IN A 103.241.4.102
kepegawaian 38400 IN A 103.241.4.101
maya 38400 IN A 103.241.4.44
yulinar 38400 IN A 103.241.4.44
www.irmawan 38400 IN CNAME irmawan
baginda 38400 IN A 103.241.4.44
tasmi 38400 IN A 103.241.4.44
hudaubaya 38400 IN A 103.241.4.43
www.bengtutuko 38400 IN CNAME bambangtutuko
rezafm 38400 IN A 103.241.4.44
www.bayu 38400 IN CNAME bayu
kule 38400 IN A 103.241.4.44
risfidianmohadi 38400 IN A 103.241.4.44
www.lemlit 38400 IN CNAME lemlit
www.video 38400 IN CNAME video
www.pilrek 38400 IN CNAME pilrek
www.rsieem 38400 IN CNAME rsieem
jlsuboptimal 38400 IN A 103.241.4.39
nenitriana 38400 IN A 103.241.4.44
amkai 38400 IN A 103.241.4.41
padangselasa 38400 IN A 203.130.206.180
fmipa 38400 IN CNAME mipa
ekofitrianto 38400 IN A 103.241.4.44
www.ibcseminar2014 38400 IN CNAME ibcseminar2014
rini 38400 IN A 103.241.4.44
www.ipmr 38400 IN CNAME ipmr
mail.anggrek 38400 IN A 103.241.4.44
bentengkutobesak 38400 IN A 103.241.4.71
www.pengawas 38400 IN CNAME pengawas
www.hariskurniawan 38400 IN CNAME hariskurniawan
cantilever 38400 IN A 103.241.4.83
baitullah 38400 IN A 103.241.4.44
netmon 38400 IN A 103.241.4.2
bauk 38400 IN A 103.241.4.69
www 38400 IN CNAME @
sman3plg 38400 IN A 103.241.4.40
www.bauk 38400 IN CNAME bauk
elearning.rezafm 38400 IN A 103.241.4.40
elearning.candra 38400 IN A 103.241.4.40
bayu 38400 IN A 103.241.4.44
klinik 38400 IN A 103.241.4.71
rcu12 38400 IN A 103.241.4.222
gmail 38400 IN A 103.241.4.40
www.aslamiarosa 38400 IN CNAME aslamiarosa
apitf 38400 IN A 103.241.4.41
freeradius 38400 IN A 103.241.4.101
www.lowland 38400 IN CNAME lowland
www.jikm 38400 IN CNAME jikm
rifkie 38400 IN A 103.241.4.43
ahmadrifai 38400 IN A 103.241.4.44
deris 38400 IN A 103.241.4.44
ipmr 38400 IN A 103.241.4.41
logs 38400 IN A 103.241.4.11
proxmox 38400 IN A 103.241.4.42
nandangheryana 38400 IN A 103.241.4.44
www.uread 38400 IN CNAME u-read
bbb 38400 IN A 103.241.4.4
paqsi 38400 IN A 103.241.4.41
www.imhere 38400 IN CNAME imhere
proxy 38400 IN A 103.241.4.101
bbt 38400 IN A 103.241.4.11
farry 38400 IN A 103.241.4.44
erwin 38400 IN A 103.241.4.11
cinde 38400 IN A 180.250.242.71
bem 38400 IN A 103.241.4.40
bem 38400 IN MX 10 mail.student
mediapaud 38400 IN A 103.241.4.43
iconcse 38400 IN A 103.241.5.105
serdos 38400 IN A 103.241.4.17
diesemas 38400 IN A 103.241.4.41
davidbahrin 38400 IN A 103.241.4.44
lemabang 38400 IN A 103.241.5.12
www.kntia 38400 IN CNAME kntia
hosting1 38400 IN A 103.241.4.40
hosting2 38400 IN A 103.241.4.41
hosting3 38400 IN A 103.241.4.66
hosting4 38400 IN A 103.241.4.71
www.wikisriwijaya 38400 IN CNAME wikisriwijaya
www.adios 38400 IN CNAME adios
www.obets 38400 IN CNAME obets
www.jpt 38400 IN CNAME jpt
piwik 38400 IN A 203.130.206.180
bkp 38400 IN A 103.241.4.41
www.bniserv 38400 IN CNAME bniserv
bkstm9 38400 IN A 103.241.4.41
www.simkug 38400 IN CNAME simkug
jikm 38400 IN A 103.241.4.39
cdn 38400 IN A 103.241.4.71
www.vegitya 38400 IN CNAME vegitya
mariana 38400 IN A 103.241.4.94
langgeng 38400 IN A 103.241.4.44
dc1 38400 IN A 103.241.4.77
dc2 38400 IN A 103.241.5.12
samsuryadi 38400 IN A 103.241.4.44
www.ldb 38400 IN CNAME ldb
aneka 38400 IN A 103.241.4.43
cfp 38400 IN A 103.241.4.44
www.kepegawaian 38400 IN CNAME kepegawaian
www.rezafm 38400 IN CNAME rezafm
usm2 38400 IN A 103.241.4.53
www.fotografi 38400 IN CNAME fotografi
lpse 38400 IN A 103.241.4.13
archery 38400 IN A 103.241.4.11
www.phki 38400 IN CNAME phki
e-nurisman 38400 IN A 103.241.4.44
passarellarossi 38400 IN A 103.241.4.44
kissel 38400 IN A 103.241.4.74
www.crisu-cupt2011 38400 IN CNAME crisu-cupt2011
ncce2011 38400 IN A 103.241.4.41
arthafebri 38400 IN A 103.241.4.44
mail.student 38400 IN A 103.241.4.70
www.hendri 38400 IN CNAME hendri
www.mca 38400 IN CNAME mca
