@ 86400 IN SOA ns mail 30 86400 180 2419200 10800
@ 86400 IN NS ns
@ 86400 IN TXT "v=sfp1 a mx ip4:200.31.178.117 mx.mail.unssa.edu.sv -all"
@ 86400 IN A 200.31.178.117
test 86400 IN A 200.31.178.117
webmail 86400 IN A 200.31.178.117
centrocomputo 86400 IN A 200.31.178.117
proyeccion 86400 IN A 200.31.178.117
www 86400 IN A 200.31.178.117
ns 86400 IN A 200.31.178.117
mail 86400 IN A 200.31.172.251
mail 86400 IN MX 1 mail
tes 86400 IN A 200.31.178.117
prueba 86400 IN A 200.31.178.117
aulavirtual 86400 IN A 200.31.178.117
siab 86400 IN A 200.31.178.117
