@ 604800 IN SOA pi root 2006020201 604800 86400 2419200 604800
@ 604800 IN NS pi
@ 604800 IN MX 10 zmail
@ 604800 IN A 80.65.65.222
su 604800 IN A 80.65.65.222
am 604800 IN A 80.65.65.222
tu1100 604800 IN A 192.168.1.129
emfm 604800 IN A 80.65.65.222
pomacom 604800 IN A 80.65.65.222
miz 604800 IN A 195.222.48.133
lecad 604800 IN A 80.65.65.222
odrzavanje 604800 IN A 80.65.65.222
zf 604800 IN A 80.65.65.222
mail 604800 IN A 80.65.65.222
kpi 604800 IN A 80.65.65.210
autodiscover 604800 IN CNAME autodiscover.exchangelabs.com
_sipfederationtls._tcp.student 604800 IN SRV 10 2 5061 federation.messenger.msn.com
mf 604800 IN A 80.65.65.222
imail 604800 IN A 192.168.1.3
mf2 604800 IN A 80.65.65.222
ftp 604800 IN A 80.65.65.222
isss 604800 IN A 80.65.65.221
www 604800 IN A 80.65.65.222
pf 604800 IN A 80.65.65.222
prf 604800 IN A 80.65.65.222
pi 604800 IN A 80.65.65.222
cc 604800 IN A 80.65.65.222
turbulence 604800 IN A 80.65.65.222
gomez 604800 IN A 80.65.65.222
famm 604800 IN A 80.65.65.222
zmail 604800 IN A 80.65.65.217
sc 604800 IN A 80.65.65.222
zeus 604800 IN A 80.65.65.222
quality 604800 IN A 80.65.65.222
ef 604800 IN A 80.65.65.222
cip 604800 IN A 80.65.65.222
student 604800 IN TXT "v=spf1" "include:exchangelabs.com" "~all"
ff 604800 IN A 80.65.65.222
tmt 604800 IN A 80.65.65.222
