@ 86400 IN SOA dns root 2015022501 28800 7200 604800 86400
@ 86400 IN NS dns
86400 IN NS nsa.ces.net.
@ 86400 IN MX 20 mx1
86400 IN MX 10 mx2
@ 86400 IN TXT "MS=ms49747165"
86400 IN TXT "z9XtVkk6F+RWhPP55j6EFwpBHxyulZw2e8ZC14ZeMYkpbSmi7ioQHTRsOlJdDxQdMJO9HtsUF3uPQIqG6vz/CQ=="
@ 86400 IN A 195.113.124.185
pc151-188 86400 IN A 78.128.151.188
pc151-191 86400 IN A 78.128.151.191
pc149-202 86400 IN A 78.128.149.202
pc151-193 86400 IN A 78.128.151.193
pc151-194 86400 IN A 78.128.151.194
pc151-195 86400 IN A 78.128.151.195
pc151-189 86400 IN A 78.128.151.189
pc151-197 86400 IN A 78.128.151.197
pc151-198 86400 IN A 78.128.151.198
pc151-199 86400 IN A 78.128.151.199
pc151-211 86400 IN A 78.128.151.211
pc151-212 86400 IN A 78.128.151.212
pc151-201 86400 IN A 78.128.151.201
pc151-214 86400 IN A 78.128.151.214
pc151-215 86400 IN A 78.128.151.215
pc151-216 86400 IN A 78.128.151.216
pc151-217 86400 IN A 78.128.151.217
pc150-169 86400 IN A 78.128.150.169
pc151-192 86400 IN A 78.128.151.192
pc151-221 86400 IN A 78.128.151.221
pc151-222 86400 IN A 78.128.151.222
pc151-223 86400 IN A 78.128.151.223
pc151-224 86400 IN A 78.128.151.224
pc151-225 86400 IN A 78.128.151.225
pc151-203 86400 IN A 78.128.151.203
pc151-227 86400 IN A 78.128.151.227
pc151-228 86400 IN A 78.128.151.228
pc151-229 86400 IN A 78.128.151.229
pc151-231 86400 IN A 78.128.151.231
pc151-232 86400 IN A 78.128.151.232
pc151-204 86400 IN A 78.128.151.204
pc151-234 86400 IN A 78.128.151.234
pc128-49 86400 IN A 195.113.127.49
pc151-236 86400 IN A 78.128.151.236
pc151-237 86400 IN A 78.128.151.237
pc151-238 86400 IN A 78.128.151.238
pc151-205 86400 IN A 78.128.151.205
pc151-241 86400 IN A 78.128.151.241
pc151-242 86400 IN A 78.128.151.242
pc151-243 86400 IN A 78.128.151.243
pc151-244 86400 IN A 78.128.151.244
pc151-245 86400 IN A 78.128.151.245
pc151-196 86400 IN A 78.128.151.196
pc151-247 86400 IN A 78.128.151.247
pc150-59 86400 IN A 78.128.150.59
pc151-249 86400 IN A 78.128.151.249
pc150-209 86400 IN A 78.128.150.209
pc151-252 86400 IN A 78.128.151.252
pc151-207 86400 IN A 78.128.151.207
pc151-254 86400 IN A 78.128.151.254
pc151-255 86400 IN A 78.128.151.255
pc156-215 86400 IN A 78.128.156.215
pc156-216 86400 IN A 78.128.156.216
pc156-217 86400 IN A 78.128.156.217
pc151-208 86400 IN A 78.128.151.208
pc156-219 86400 IN A 78.128.156.219
pc156-221 86400 IN A 78.128.156.221
pc156-222 86400 IN A 78.128.156.222
pc156-223 86400 IN A 78.128.156.223
pc156-224 86400 IN A 78.128.156.224
pc151-209 86400 IN A 78.128.151.209
pc156-226 86400 IN A 78.128.156.226
pc156-227 86400 IN A 78.128.156.227
pc156-228 86400 IN A 78.128.156.228
pc156-229 86400 IN A 78.128.156.229
pc156-231 86400 IN A 78.128.156.231
pc156-159 86400 IN A 78.128.156.159
pc156-233 86400 IN A 78.128.156.233
pc156-234 86400 IN A 78.128.156.234
pc156-235 86400 IN A 78.128.156.235
pc156-236 86400 IN A 78.128.156.236
pc156-237 86400 IN A 78.128.156.237
pc156-161 86400 IN A 78.128.156.161
pc156-239 86400 IN A 78.128.156.239
pc156-241 86400 IN A 78.128.156.241
pc156-242 86400 IN A 78.128.156.242
pc154-200 86400 IN A 78.128.154.200
pc156-244 86400 IN A 78.128.156.244
pc151-213 86400 IN A 78.128.151.213
pc156-246 86400 IN A 78.128.156.246
pc156-247 86400 IN A 78.128.156.247
pc156-248 86400 IN A 78.128.156.248
pc156-249 86400 IN A 78.128.156.249
pc156-251 86400 IN A 78.128.156.251
