@ 86400 IN SOA electra root 2011071001 3600 1800 604800 86400
@ 86400 IN NS electra
@ 86400 IN MX 10 mail
@ 86400 IN TXT "v=spfq a mx ptr ~all"
@ 86400 IN A 194.102.70.55
emsys 86400 IN A 194.102.70.20
orar 86400 IN A 194.102.70.243
cat-biblioteca 86400 IN A 194.102.70.233
economic 86400 IN A 194.102.70.17
fecc_bulletin 86400 IN A 194.102.70.90
ic 86400 IN A 128.140.229.14
tinread 86400 IN A 194.102.70.154
eli 86400 IN A 194.102.70.55
novacurricula 86400 IN A 192.185.21.125
www.upit 86400 IN A 194.102.70.55
ingmed 86400 IN A 194.102.70.22
elearning 86400 IN A 193.230.188.88
mi 86400 IN A 194.102.70.159
ingfiz 86400 IN A 194.102.70.22
ceps 86400 IN A 194.102.70.14
legis 86400 IN A 194.102.70.23
research_projects 86400 IN A 194.102.70.251
fecc 86400 IN A 194.102.70.55
www 86400 IN A 194.102.70.55
ns 86400 IN A 194.102.70.242
t209 86400 IN A 194.102.70.12
csja 86400 IN A 194.102.70.55
electronicaupit 86400 IN A 194.102.70.29
web-c 86400 IN A 194.102.70.251
iccu 86400 IN A 194.102.70.55
www.ic 86400 IN A 128.140.229.14
PD683 86400 IN A 194.102.70.251
fmi 86400 IN A 194.102.70.158
fdsa 86400 IN A 194.102.70.55
www.intranet1 86400 IN A 192.185.21.125
automotive 86400 IN A 194.102.70.251
novaportal 86400 IN A 194.102.70.91
cisco 86400 IN A 194.102.70.14
dnscache2 86400 IN A 194.102.70.247
www.practicor 86400 IN A 194.102.70.13
m3cub 86400 IN A 194.102.70.251
cisem 86400 IN A 194.102.70.251
gie 86400 IN A 194.102.70.22
acnei 86400 IN A 194.102.70.251
www.natsci 86400 IN A 194.102.70.55
ecai 86400 IN A 194.102.70.14
etrawelspa 86400 IN A 194.102.70.32
fsed 86400 IN A 194.102.70.55
#www.perform 86400 IN A 194.102.70.55
www.etaec.conference 86400 IN A 194.102.70.55
sanoplant 86400 IN A 194.102.70.251
electra 86400 IN A 194.102.70.252
esmsj 86400 IN A 192.185.21.125
gw-roedu.1Gbps 86400 IN A 194.102.70.254
academiacisco 86400 IN A 194.102.70.14
sbessjournal 86400 IN A 194.102.70.55
litere 86400 IN A 194.102.70.55
nusimacf 86400 IN A 194.102.70.22
www.ifpm 86400 IN A 128.140.229.14
zaria 86400 IN A 194.102.70.50
POSDRU52826 86400 IN A 194.102.70.251
successcolar 86400 IN A 194.102.70.22
etaec.conference 86400 IN A 194.102.70.55
car 86400 IN A 194.102.70.251
fortrad 86400 IN A 194.102.70.251
mail 86400 IN A 194.102.70.93
www.perform 86400 IN A 192.185.21.125
natsci 86400 IN A 194.102.70.55
project 86400 IN A 194.102.70.6
www.ssfdsa 86400 IN A 194.102.70.55
cppdd 86400 IN A 194.102.70.22
jlas 86400 IN A 194.102.70.55
www.jlas 86400 IN A 194.102.70.55
cfm 86400 IN A 194.102.70.14
smcpa 86400 IN A 194.102.70.251
#perform 86400 IN A 194.102.70.55
neirinf 86400 IN A 194.102.70.22
prodrept 86400 IN A 194.102.70.251
ssmr-ag 86400 IN A 194.102.70.158
ccma 86400 IN A 194.102.70.251
POSCCE_ID748 86400 IN A 194.102.70.90
cercetare 86400 IN A 194.102.70.12
phh 86400 IN A 194.102.70.251
dfrid 86400 IN A 194.102.70.17
englishstudies 86400 IN A 194.102.70.55
www.novacurricula 86400 IN A 192.185.21.125
intranet1 86400 IN A 192.185.21.125
dnscache 86400 IN A 194.102.70.249
practicor 86400 IN A 194.102.70.13
studec 86400 IN A 194.102.70.251
ifpm 86400 IN A 128.140.229.14
www.iccu 86400 IN A 194.102.70.55
ecovita 86400 IN A 194.102.70.251
www.fecc 86400 IN A 194.102.70.55
quickr 86400 IN A 193.230.188.77
muntenia 86400 IN A 194.102.70.14
die 86400 IN A 194.102.70.22
ssfdsa 86400 IN A 194.102.70.55
www.esmsj 86400 IN A 192.185.21.125
perform 86400 IN A 192.185.21.125
www.csja 86400 IN A 194.102.70.55
techtrans 86400 IN A 194.102.70.22
biblioteca 86400 IN A 194.102.70.158
biblo 86400 IN A 194.102.70.244
linux.math 86400 IN A 194.102.70.156
sametime 86400 IN A 193.230.188.78
www.fdsa 86400 IN A 194.102.70.55
www.prodrept 86400 IN A 194.102.70.251
