@ 86400 IN SOA silangan sysadmin 2015041301 28800 10800 2419200 604800
@ 86400 IN NS one
86400 IN NS silangan
@ 86400 IN A 202.92.148.130
@ 86400 IN MX 1 aspmx.l.google.com.
86400 IN MX 5 alt1.aspmx.l.google.com.
86400 IN MX 5 alt2.aspmx.l.google.com.
86400 IN MX 10 aspmx2.googlemail.com.
86400 IN MX 10 aspmx3.googlemail.com.
86400 IN MX 10 aspmx4.googlemail.com.
86400 IN MX 10 aspmx5.googlemail.com.
@ 86400 IN TXT "v=spf1 include:aspmx.googlemail.com ~all"
@ 86400 IN AAAA 2400:b000:300:24:214:5eff:fe69:75ee
reb 86400 IN CNAME timog
ehf 86400 IN CNAME kanluran
dev.ims 86400 IN CNAME timog
foss 86400 IN CNAME kanluran
healthfutures 86400 IN CNAME dagohoy
kanluran 86400 IN A 202.92.148.114
wpad 86400 IN CNAME banwa
ldp 86400 IN CNAME lupa
alamat.icoms 86400 IN CNAME kanluran
buddyworks 86400 IN A 203.87.224.234
mainlib 86400 IN CNAME daluyan
hrdo 86400 IN CNAME habagat
cphlib 86400 IN CNAME unos
halalan2013 86400 IN CNAME timog
halalan2014 86400 IN CNAME timog
crs2 86400 IN CNAME hilaga
demo.crs 86400 IN CNAME hangin
reprohealth 86400 IN CNAME gubat
lib 86400 IN CNAME unos
faculty.crs 86400 IN CNAME hilaga
daigdig 86400 IN A 202.92.148.153
bids 86400 IN CNAME habagat
datsdev 86400 IN CNAME amihan
agila 86400 IN A 202.92.148.163
cdlib 86400 IN CNAME unos
biotechmanila 86400 IN A 72.29.184.134
biotechmanila 86400 IN MX 10 aspmx.l.google.com.
86400 IN MX 20 alt1.aspmx.l.google.com.
86400 IN MX 20 alt2.aspmx.l.google.com.
86400 IN MX 30 aspmx2.googlemail.com.
86400 IN MX 30 aspmx3.googlemail.com.
86400 IN MX 30 aspmx4.googlemail.com.
86400 IN MX 30 aspmx5.googlemail.com.
biotechmanila 86400 IN TXT "v=spf1 include:aspmx.googlemail.com ~all"
jmarzanresearch.post 86400 IN CNAME ghs.google.com.
www 86400 IN CNAME habagat
