@ 43200 IN SOA ns1 postmaster 2015041615 28800 7200 604800 86400
@ 43200 IN TXT "v=spf1 a mx ip4:180.250.147.120 ip4:180.250.147.120 ~all"
@ 43200 IN NS ns1
43200 IN NS ns2
@ 43200 IN MX 10 mail
@ 43200 IN A 180.250.147.120
www.fisip 43200 IN A 180.250.147.120
fpik 43200 IN A 180.250.147.120
localhost.ft 43200 IN A 127.0.0.1
ftp.fisip 43200 IN A 180.250.147.120
ft 43200 IN A 180.250.147.120
ns2 43200 IN A 180.250.147.120
blog 43200 IN A 180.250.147.105
www.spmb 43200 IN A 180.250.147.120
localhost.spmb 43200 IN A 127.0.0.1
perpus 43200 IN A 180.250.147.105
localhost.fe 43200 IN A 127.0.0.1
localhost.fh 43200 IN A 127.0.0.1
spmb 43200 IN A 180.250.147.120
localhost.fisip 43200 IN A 127.0.0.1
ns 43200 IN CNAME ns1
fisip 43200 IN A 180.250.147.120
ftp.spmb 43200 IN A 180.250.147.120
test 43200 IN A 180.250.147.120
pop3 43200 IN CNAME mail
mail 43200 IN A 180.250.147.120
www.test 43200 IN A 180.250.147.120
simkeu 43200 IN A 180.250.147.111
localhost.test 43200 IN A 127.0.0.1
localhost.lppm 43200 IN A 127.0.0.1
support 43200 IN A 180.250.147.105
smsmhs 43200 IN A 180.250.147.104
perpusfh 43200 IN A 180.250.147.105
www.lppm 43200 IN A 180.250.147.120
pop 43200 IN CNAME mail
ns3 43200 IN A 180.250.147.120
ftp.fpik 43200 IN A 180.250.147.120
ftp 43200 IN CNAME www
www 43200 IN A 180.250.147.120
localhost 43200 IN A 127.0.0.1
ftp.test 43200 IN A 180.250.147.120
ftp.lppm 43200 IN A 180.250.147.120
e-journal 43200 IN A 180.250.147.105
imap 43200 IN CNAME mail
www.fe 43200 IN A 180.250.147.120
lppm 43200 IN A 180.250.147.120
www.fh 43200 IN A 180.250.147.120
relay 43200 IN CNAME mail
www.fkip 43200 IN A 180.250.147.120
smtp 43200 IN CNAME mail
smsserver 43200 IN A 180.250.147.104
localhost.fkip 43200 IN A 127.0.0.1
ftp.fe 43200 IN A 180.250.147.120
www.ft 43200 IN A 180.250.147.120
ftp.fh 43200 IN A 180.250.147.120
perpusfkip 43200 IN A 180.250.147.105
ns1 43200 IN A 180.250.147.120
www.fpik 43200 IN A 180.250.147.120
fkip 43200 IN A 180.250.147.120
localhost.fpik 43200 IN A 127.0.0.1
ftp.ft 43200 IN A 180.250.147.120
simka 43200 IN A 180.250.147.108
fe 43200 IN A 180.250.147.120
ftp.fkip 43200 IN A 180.250.147.120
fh 43200 IN A 180.250.147.120
