@ 3600 IN SOA ns root.ns 2015031602 28800 10800 1296000 3600
@ 3600 IN NS ns.comp-craiova.ro.
3600 IN NS tealc
@ 3600 IN MX 10 tealc
3600 IN MX 20 ip-gate.craiova.roedu.net.
studenti 3600 IN CNAME tealc
sip 3600 IN CNAME arius
amase 3600 IN A 31.14.19.2
netacad 3600 IN CNAME tealc
runceanu 3600 IN A 31.14.19.2
apps 3600 IN A 194.102.40.144
noc 3600 IN CNAME tealc
cisco 3600 IN A 194.102.40.242
neo 3600 IN A 194.102.40.243
cse 3600 IN A 194.102.40.245
turbo 3600 IN A 194.102.40.244
conferinte 3600 IN A 31.14.19.2
icd 3600 IN A 31.14.19.2
rectorat 3600 IN A 194.102.40.171
mail.cid 3600 IN CNAME tealc
19.237.136.89.wl 3600 IN A 127.0.0.2
hosting1 3600 IN A 31.14.19.2
dev 3600 IN A 194.102.40.141
licserv 3600 IN A 194.102.40.135
*.ippase 3600 IN CNAME ippase
admitere 3600 IN CNAME www2
*.runceanu 3600 IN CNAME runceanu
*.noc 3600 IN CNAME tealc
studing 3600 IN CNAME tealc
www.liga 3600 IN CNAME tealc
www.asucb 3600 IN CNAME tealc
asucb 3600 IN CNAME tealc
12.32.231.193.wl 3600 IN A 127.0.0.2
kree 3600 IN A 194.102.40.129
mail.id 3600 IN CNAME tealc
eco2008 3600 IN CNAME tealc
cnet 3600 IN A 194.102.40.200
elearning 3600 IN A 194.102.40.184
tealc 3600 IN A 194.102.40.188
www2 3600 IN A 194.102.40.142
*.amase 3600 IN A 31.14.19.2
xpower 3600 IN A 194.102.40.145
cntv 3600 IN CNAME tealc
liga 3600 IN CNAME tealc
isjgorj 3600 IN CNAME tealc
centru 3600 IN CNAME turbo
cds 3600 IN A 31.14.19.2
ojs 3600 IN A 31.14.19.2
ums 3600 IN A 194.102.40.189
*.calitateinenergie 3600 IN CNAME calitateinenergie
maya 3600 IN A 194.102.40.163
ippase 3600 IN A 31.14.19.2
calitateinenergie 3600 IN A 31.14.19.2
devx 3600 IN A 194.102.40.138
ftp 3600 IN CNAME tealc
www.cicocs 3600 IN CNAME tealc
gabi 3600 IN CNAME tealc
cicocs 3600 IN CNAME tealc
mailadm 3600 IN CNAME tealc
biblioteca 3600 IN A 194.102.40.187
*.conferinte 3600 IN CNAME conferinte
163.40.102.194.wl 3600 IN A 127.0.0.2
*.cds 3600 IN CNAME cds
*.ojs 3600 IN CNAME ojs
alumni 3600 IN A 31.14.19.2
ns 3600 IN A 194.102.40.188
cid 3600 IN MX 10 tealc
aracis 3600 IN CNAME tealc
arius 3600 IN A 194.102.40.186
new 3600 IN A 194.102.40.135
stiinte 3600 IN CNAME turbo
*.alumni 3600 IN CNAME alumni
sivadoc 3600 IN A 194.102.40.171
www.studing 3600 IN CNAME tealc
claudiu 3600 IN CNAME tealc
xen2 3600 IN A 31.14.19.1
xpower2 3600 IN A 194.102.40.146
www 3600 IN A 31.14.19.2
mail2 3600 IN CNAME www2
id 3600 IN MX 10 tealc
