@ 86400 IN SOA pan root.pan 2012102521 10800 3600 604800 86400
@ 86400 IN MX 10 tcs
86400 IN MX 20 tcs
@ 86400 IN NS pan
86400 IN NS ucthpx.uct.ac.za.
86400 IN NS dbndhns.nu.ac.za.
uzap090 86400 IN A 10.61.3.106
ongoye1 86400 IN A 196.11.136.107
ongoye2 86400 IN A 10.63.2.101
postman8 86400 IN A 10.61.3.26
scictr 86400 IN A 196.21.81.132
homeboy.dialup 86400 IN A 196.11.140.6
humancapital 86400 IN A 196.21.81.156
law 86400 IN A 196.11.140.195
jcal 86400 IN A 196.21.81.162
dellbert 86400 IN A 196.11.140.4
hagar 86400 IN A 196.11.140.14
newidmv 86400 IN A 10.61.3.235
wpad 86400 IN CNAME studproxy
old-www 86400 IN CNAME dial
natfw 86400 IN A 196.11.143.2
webreg 86400 IN A 10.0.99.64
amanzi.hru 86400 IN A 196.11.140.200
dss.hru 86400 IN CNAME water.hru
squid 86400 IN A 10.61.10.30
www-old 86400 IN A 196.21.81.154
gwweb 86400 IN A 196.11.136.73
icpafr 86400 IN A 196.21.81.151
compsci 86400 IN A 196.11.140.204
www.arts 86400 IN CNAME arts
www.sunnydale 86400 IN A 196.21.81.167
ngoye 86400 IN A 196.11.136.248
hpacademy 86400 IN A 196.11.140.199
uzsp017 86400 IN A 10.63.2.34
education 86400 IN A 196.11.140.194
www 86400 IN CNAME www.unizulu.ac.za.
nashua.uznet 86400 IN A 196.11.136.85
gwise 86400 IN A 196.11.136.211
www.comsci 86400 IN CNAME comsci
issi2011 86400 IN A 196.21.81.150
uzdstation 86400 IN A 196.21.83.36
uninet-gw 86400 IN A 196.11.136.250
atilla 86400 IN A 196.11.136.108
commerce 86400 IN A 196.21.81.157
umlazi0 86400 IN A 196.11.136.241
zr5mh 86400 IN A 196.21.81.139
uznidm 86400 IN A 10.63.2.232
hydrolnx 86400 IN A 196.11.136.206
uznap001 86400 IN A 10.63.2.33
uzsp016 86400 IN A 10.63.2.33
