@ 7200 IN SOA ns.bstu.spb.su. pjb.bstu.spb.su. 2014092501 28800 7200 604800 86400
@ 7200 IN NS ns
7200 IN NS rlead.bstu.spb.su.
7200 IN NS rlead1.bstu.spb.su.
@ 7200 IN MX 10 pop
@ 7200 IN TXT "v=spf1 a mx ptr a:main.iwan.ru ip4:87.248.224.0/24 ip4:82.137.166.110 ip4:82.137.166.102"
@ 7200 IN A 82.137.166.99
m4 7200 IN CNAME www
k5 7200 IN CNAME www
a5shaligin 7200 IN CNAME www
medicine 7200 IN A 82.137.166.98
okunev 7200 IN A 82.137.166.98
geopolitics 7200 IN A 82.137.166.98
www.snograph 7200 IN A 82.137.166.98
www.geopolitics 7200 IN A 82.137.166.98
www.medicine 7200 IN A 82.137.166.98
www.graf 7200 IN A 82.137.166.98
www.e4 7200 IN A 82.137.166.98
a9 7200 IN CNAME www2013
fox 7200 IN A 82.137.166.102
studsovet 7200 IN A 82.137.166.98
pop 7200 IN A 82.137.166.110
a4 7200 IN CNAME www
graf 7200 IN A 82.137.166.98
mail 7200 IN A 82.137.166.98
a5 7200 IN CNAME www
zik 7200 IN A 82.137.166.98
kbm 7200 IN A 82.137.166.98
e4 7200 IN A 82.137.166.98
www.snograf 7200 IN A 82.137.166.98
www.graph 7200 IN A 82.137.166.98
everrest 7200 IN A 82.137.166.98
i5nfo 7200 IN A 82.137.166.98
ftp 7200 IN A 82.137.166.98
ovpn 7200 IN A 82.137.166.102
snograph 7200 IN A 82.137.166.98
www.okunev 7200 IN A 82.137.166.98
www.gazeta 7200 IN A 82.137.166.98
www.library 7200 IN A 82.137.166.98
gazeta 7200 IN A 82.137.166.98
www.everrest 7200 IN A 82.137.166.98
forum 7200 IN A 82.137.166.98
www 7200 IN A 82.137.166.99
www.kaplya 7200 IN A 82.137.166.98
snograf 7200 IN A 82.137.166.98
scipro 7200 IN A 82.137.166.98
kaplya 7200 IN A 82.137.166.98
www.i5nfo 7200 IN A 82.137.166.98
ns 7200 IN A 87.248.224.250
i 7200 IN A 82.137.166.98
www2013 7200 IN A 82.137.166.98
www2014 7200 IN A 82.137.166.99
library 7200 IN A 82.137.166.98
aist 7200 IN A 82.137.166.98
graph 7200 IN A 82.137.166.98
svn 7200 IN A 82.137.166.98
a5shalygin 7200 IN CNAME www
k6 7200 IN CNAME www2013
www.kbm 7200 IN A 82.137.166.98
www.k5 7200 IN CNAME www
