@ 86400 IN SOA poczta root 2015042007 60 300 18000 1800
@ 86400 IN TXT "94c535a3c3b3365566a8191c0DS"
86400 IN TXT "v=spf1 ip4:217.168.136.10 include:spf.ebiznes.teb-akademia.pl  mx a:poczta.wsb.poznan.pl a:carrot.wsb.poznan.pl a:moodle2.e-wsb.pl -all"
@ 86400 IN NS main.chorzow.wsb.pl.
86400 IN NS pooh
86400 IN NS rose.man.poznan.pl.
@ 86400 IN A 150.254.191.226
@ 86400 IN MX 5 poczta
www.samorzad 86400 IN CNAME eyore
tapety 86400 IN CNAME eyore
*.mmackiew 86400 IN A 150.254.194.88
stat 86400 IN CNAME pooh2
ceglarek 86400 IN A 150.254.194.160
flexsim 86400 IN A 10.10.50.2
www.yolo 86400 IN A 150.254.194.198
infobox 86400 IN CNAME poczta
www.msdnaa 86400 IN CNAME pooh2
biblioteka 86400 IN MX 5 poczta
biblioteka 86400 IN A 150.254.194.224
wsb.dhcp 86400 IN A 150.254.194.242
poczta.st 86400 IN A 150.254.194.5
intra 86400 IN A 150.254.194.44
analitix 86400 IN CNAME eyore
papercut 86400 IN A 150.254.194.207
mm 86400 IN A 150.254.194.88
*.koha 86400 IN A 150.254.194.224
ftp.studenci 86400 IN CNAME eyore
www 86400 IN A 150.254.191.226
gator 86400 IN A 150.254.194.254
oi 86400 IN CNAME pooh2
kursy 86400 IN CNAME pooh2
www.rookies 86400 IN CNAME eyore
*.han 86400 IN A 150.254.194.209
esos 86400 IN A 150.254.194.37
alfa 86400 IN A 91.207.166.137
pooh 86400 IN A 150.254.194.2
pooh 86400 IN MX 5 poczta
*.gargamel 86400 IN A 150.254.194.246
www.eventus 86400 IN CNAME eyore
ariadne 86400 IN CNAME pooh2
carrot 86400 IN A 150.254.194.8
www.asp 86400 IN CNAME pooh2
s 86400 IN A 150.254.194.233
piglet 86400 IN MX 5 poczta
piglet 86400 IN A 150.254.194.222
rt 86400 IN CNAME poczta
han 86400 IN A 150.254.194.209
studentontour 86400 IN A 150.254.194.198
www.przetargi 86400 IN CNAME pooh2
gato 86400 IN A 150.254.194.243
lettuce 86400 IN A 150.254.191.226
tizw2008 86400 IN CNAME eyore
pliki.wydawnictwo 86400 IN CNAME pooh2
www.cee 86400 IN CNAME pooh2
tiger 86400 IN A 150.254.194.10
mailman 86400 IN CNAME pooh2
gato-test 86400 IN A 150.254.194.225
sapides01 86400 IN A 150.254.194.227
rt-dziekanat 86400 IN CNAME kanga
www.priv 86400 IN CNAME pooh2
blusezam 86400 IN A 150.254.194.210
eyore 86400 IN A 150.254.194.5
stat2 86400 IN CNAME pooh2
adm 86400 IN CNAME pooh2
kadry 86400 IN A 150.254.194.20
gopher 86400 IN A 150.254.194.15
zebyswiedzial 86400 IN CNAME eyore
www.archiwum 86400 IN CNAME pooh2
www.azs 86400 IN A 150.254.194.198
krolik 86400 IN CNAME rabbit
piglet-samba 86400 IN A 150.254.194.242
gatex 86400 IN A 150.254.194.243
git 86400 IN A 150.254.191.254
arystoteles 86400 IN A 150.254.194.6
www.badania-eksport 86400 IN CNAME pooh2
www.biblioteka 86400 IN A 150.254.194.224
ocs 86400 IN A 150.254.194.210
www.analitix 86400 IN CNAME eyore
dydaktyka 86400 IN A 150.254.194.66
pirrania 86400 IN A 150.254.194.198
ssl 86400 IN MX 5 poczta
ssl 86400 IN A 150.254.194.221
speaklead 86400 IN CNAME eyore
klapouchy 86400 IN A 150.254.194.5
samba1 86400 IN A 150.254.194.242
samba4 86400 IN A 150.254.194.212
automat 86400 IN CNAME pooh2
svn 86400 IN A 150.254.194.233
st 86400 IN A 150.254.194.210
studenci 86400 IN A 150.254.194.5
studenci 86400 IN MX 5 poczta
malenstwo 86400 IN A 150.254.194.25
eventus 86400 IN CNAME eyore
wtp 86400 IN CNAME pooh2
backup 86400 IN A 150.254.194.11
kangur 86400 IN CNAME kanga
www.biblioteka1 86400 IN A 150.254.194.14
apl 86400 IN CNAME kanga
rabit 86400 IN CNAME rabbit
www.zebyswiedzial 86400 IN CNAME eyore
www.tizw2008 86400 IN CNAME eyore
jentyk 86400 IN A 150.254.194.39
przetargi 86400 IN CNAME pooh2
www.wykladowcy 86400 IN CNAME eyore
wykladowcy 86400 IN CNAME eyore
priv 86400 IN CNAME pooh2
piglet2 86400 IN A 150.254.194.242
mail 86400 IN CNAME poczta
*.di 86400 IN A 150.254.194.233
www.efs 86400 IN A 150.254.194.92
www.kis 86400 IN CNAME pooh2
own 86400 IN A 150.254.194.128
poczta.wykladowcy 86400 IN A 150.254.194.5
poczta.wykladowcy 86400 IN MX 5 poczta
kanga 86400 IN A 150.254.194.4
heffalump 86400 IN A 150.254.194.9
graffiti 86400 IN A 150.254.194.239
mmackiew 86400 IN A 150.254.194.88
krecik 86400 IN A 150.254.194.120
www.pirrania 86400 IN A 150.254.194.198
stara-strona.wydawnictwo 86400 IN CNAME pooh2
azs 86400 IN A 150.254.194.198
dev.alf 86400 IN A 150.254.194.221
www.studentontour 86400 IN A 150.254.194.198
blinder 86400 IN A 150.254.194.7
samorzad 86400 IN CNAME eyore
wirus 86400 IN CNAME pooh2
rabbit 86400 IN A 150.254.194.3
*.vabank 86400 IN A 150.254.194.233
pooh1 86400 IN CNAME pooh
pooh2 86400 IN A 150.254.194.213
www.foto 86400 IN CNAME pooh2
www.innovationit 86400 IN CNAME pooh2
www.studenci 86400 IN CNAME rabbit
di 86400 IN A 150.254.194.233
www.e-wsb 86400 IN A 150.254.194.2
www.wydawnictwo 86400 IN CNAME pooh2
wydruki 86400 IN CNAME poczta
ftp.wykladowcy 86400 IN CNAME eyore
munin 86400 IN CNAME pooh2
gargamel 86400 IN A 150.254.194.246
poczta 86400 IN A 150.254.194.222
poczta 86400 IN MX 5 poczta
owl 86400 IN A 150.254.194.226
owl2 86400 IN A 150.254.194.59
puchatek 86400 IN CNAME pooh2
www.konkurs 86400 IN CNAME pooh2
www.summerschool 86400 IN CNAME pooh2
www.speaklead 86400 IN CNAME eyore
glpi 86400 IN A 150.254.194.210
www.workflow 86400 IN CNAME pooh2
innovationit 86400 IN A 150.254.194.213
innovationit 86400 IN MX 5 poczta
koha 86400 IN A 150.254.194.224
bs 86400 IN A 150.254.194.214
alf-testy 86400 IN A 150.254.194.220
sap.dydaktyka 86400 IN A 150.254.194.227
yolo 86400 IN A 150.254.194.198
cvs 86400 IN A 150.254.194.249
ntp 86400 IN CNAME vega.cbk.poznan.pl.
vabank 86400 IN A 150.254.194.233
poczta.studenci 86400 IN A 150.254.194.5
poczta.studenci 86400 IN MX 5 poczta
kis 86400 IN CNAME pooh2
