@ 86400 IN SOA xisudns root.localhost 2009120801 28800 7200 604800 4800
@ 86400 IN MX 5 mail
@ 86400 IN NS dns
sjc 86400 IN A 222.90.76.146
lyxy 86400 IN A 222.90.76.146
gh 86400 IN A 222.90.76.146
sbgl 86400 IN A 222.90.76.146
gjxy 86400 IN A 222.90.76.146
mpacc 86400 IN A 222.90.76.147
hqjj 86400 IN A 222.90.76.146
szb 86400 IN A 222.90.76.146
jyjszx 86400 IN A 222.90.76.146
bwc 86400 IN A 222.90.76.146
jjxy 86400 IN A 222.90.76.146
hqjt 86400 IN A 222.90.76.146
xyb 86400 IN A 222.90.76.146
ltb 86400 IN A 222.90.76.146
ysxy 86400 IN A 222.90.76.146
xfjs 86400 IN A 222.90.76.146
xyy 86400 IN A 222.90.76.146
guoguan 86400 IN A 222.90.76.146
dyx 86400 IN A 222.90.76.146
moodle 86400 IN A 59.74.71.66
xyxy 86400 IN A 222.90.76.146
mail 86400 IN A 218.195.24.13
dwb 86400 IN A 222.90.76.146
rwdl 86400 IN A 218.195.24.7
jjw 86400 IN A 222.90.76.146
eyuxi 86400 IN A 222.90.76.146
jjy 86400 IN A 222.90.76.146
dyxy 86400 IN A 222.90.76.146
lib 86400 IN A 218.195.27.247
zwxy 86400 IN A 222.90.76.146
gzb 86400 IN A 222.90.76.146
glb 86400 IN A 222.90.76.146
zzb 86400 IN A 222.90.76.146
ftp 86400 IN A 218.195.24.6
yjxy 86400 IN A 222.90.76.147
tuanwei 86400 IN A 222.90.76.146
www 86400 IN A 222.90.76.148
iceo 86400 IN A 222.90.76.146
bb 86400 IN A 222.90.76.149
xcb 86400 IN A 222.90.76.146
xwxb 86400 IN A 222.90.76.146
kszx 86400 IN A 222.90.76.146
fydata 86400 IN A 218.195.24.4
wccfd 86400 IN A 222.90.76.146
fayu 86400 IN A 222.90.76.146
hsk 86400 IN A 222.90.76.146
zjxy 86400 IN A 222.90.76.146
ses 86400 IN A 222.90.76.146
cwc 86400 IN A 222.90.76.146
xsc 86400 IN A 222.90.76.146
smtp 86400 IN A 218.195.24.13
125guihua 86400 IN A 222.90.76.146
dns 86400 IN A 218.195.24.1
yjs 86400 IN A 222.90.76.146
sxy 86400 IN A 222.90.76.146
rwxy 86400 IN A 222.90.76.146
office 86400 IN A 222.90.76.146
