@ 86400 IN SOA @ ftpadm 2015043011 10800 3600 4320000 86400
@ 86400 IN TXT "v=spf1 a mx ~all"
@ 86400 IN NS dns1
@ 86400 IN A 210.34.0.4
86400 IN A 210.34.0.2
@ 86400 IN MX 0 mail
lw 86400 IN CNAME length
keyan 86400 IN A 210.34.0.134
astro 86400 IN A 121.192.177.197
honeypot 86400 IN A 218.193.53.201
hxrcjd 86400 IN A 210.34.15.138
cloudcomputing 86400 IN A 210.34.5.215
lldeng 86400 IN CNAME webplus
ng 86400 IN CNAME length
niddle 86400 IN CNAME webnt
quant 86400 IN A 121.192.176.125
vhosts 86400 IN CNAME vhost
idstar2 86400 IN A 210.34.0.127
mooc-dev 86400 IN A 121.192.191.160
nh 86400 IN CNAME length
yqgl 86400 IN A 121.192.190.13
yoyo 86400 IN A 202.101.125.42
zzslh 86400 IN CNAME xgbtgw
g 86400 IN CNAME google
idstar1 86400 IN A 210.34.0.141
i 86400 IN A 121.192.190.2
l 86400 IN CNAME learn
m 86400 IN CNAME mnews
s 86400 IN A 121.192.191.166
v 86400 IN A 210.34.0.26
v 86400 IN AAAA 2001:da8:e800::26
vmstorage 86400 IN A 192.168.218.231
dpstar 86400 IN CNAME iredirect11
hyzyjyzd 86400 IN CNAME webplus
npce 86400 IN A 218.193.53.86
zg 86400 IN CNAME length
chinatraining 86400 IN CNAME webnt
ms 86400 IN CNAME length
cmr2 86400 IN A 121.192.176.15
c.nec 86400 IN A 220.160.107.167
axis03 86400 IN A 210.34.0.43
nk 86400 IN CNAME length
iccse 86400 IN CNAME vhost
eguard 86400 IN A 210.34.7.119
zgyx 86400 IN A 121.192.191.240
clxs 86400 IN CNAME webplus-s3
gscourse 86400 IN A 210.34.0.175
oc 86400 IN CNAME length
epistemology 86400 IN CNAME webplus
metc 86400 IN A 121.192.180.36
mv 86400 IN CNAME length
fx 86400 IN CNAME length
codi 86400 IN CNAME comi
office 86400 IN CNAME webplus
fdy 86400 IN CNAME webplus
imt 86400 IN CNAME vhost-l1
mw 86400 IN CNAME length
ioe 86400 IN A 210.34.5.11
of 86400 IN CNAME length
edpsm 86400 IN A 222.76.201.152
mba05 86400 IN CNAME webnt
colr 86400 IN CNAME webplus
comm 86400 IN CNAME vhost
vc.vm 86400 IN A 172.27.128.2
gitlab 86400 IN A 121.192.190.49
coon 86400 IN CNAME vhost
copl 86400 IN CNAME webplus
noctest.wise 86400 IN A 210.34.6.146
noctest.wise 86400 IN NS dns.noctest
oh 86400 IN CNAME length
zklc 86400 IN A 210.34.0.245
xmqbs 86400 IN A 210.34.13.245
chinavr2015 86400 IN CNAME vhost
nr 86400 IN CNAME length
nocjira 86400 IN A 121.192.190.61
ns 86400 IN CNAME length
pharm 86400 IN CNAME vhost
c8o 86400 IN CNAME vhost
haishionfd 86400 IN A 210.34.0.66
inctxl 86400 IN A 121.192.190.47
nt 86400 IN CNAME length
pami 86400 IN CNAME vhost-l1
pc 86400 IN CNAME length
wlanmas 86400 IN A 172.16.6.4
ua 86400 IN CNAME length
metcftp 86400 IN A 121.192.180.34
nv 86400 IN CNAME length
haishionlw 86400 IN A 210.34.0.238
imacs16 86400 IN A 121.192.180.130
zgjjwt 86400 IN CNAME jys
wel 86400 IN A 121.192.179.196
60 86400 IN A 210.34.0.170
hy10 86400 IN A 59.77.7.30
nw 86400 IN CNAME length
tiji 86400 IN CNAME 18d
ucas 86400 IN A 59.175.142.99
85 86400 IN CNAME vhost
dyh 86400 IN CNAME webnt
90 86400 IN CNAME webplus
makeboluo 86400 IN CNAME lawnet
pf 86400 IN CNAME length
nfadmin 86400 IN CNAME anet
hy20 86400 IN A 59.77.7.40
ny 86400 IN CNAME nanyang
lldengw 86400 IN CNAME vhost
metcoa 86400 IN CNAME metc
nz 86400 IN CNAME length
ddh10 86400 IN CNAME webplus-s2
ushistory 86400 IN A 218.193.48.172
careersm2 86400 IN CNAME vhost
xn 86400 IN CNAME length
cwlms 86400 IN A 210.34.219.86
acm 86400 IN A 121.192.180.203
tj 86400 IN CNAME length
wlansm2 86400 IN A 172.31.3.2
aixiada 86400 IN CNAME ixiada
csrc 86400 IN CNAME vhost
os 86400 IN CNAME length
xmuidp 86400 IN A 210.34.0.206
xmsti 86400 IN A 210.34.13.242
xmsti 86400 IN MX 0 xmsti
pcss 86400 IN A 121.192.177.60
xmubs 86400 IN A 121.192.178.171
h01 86400 IN A 172.27.128.11
h02 86400 IN A 172.27.128.12
ctld 86400 IN A 121.192.190.100
qb 86400 IN CNAME length
djsz 86400 IN CNAME vhost
ais 86400 IN A 210.34.0.109
proxy 86400 IN A 210.34.0.211
bbs 86400 IN A 210.34.0.13
bbs 86400 IN MX 0 bbs
iclab 86400 IN CNAME webredirect
ou 86400 IN CNAME length
idata 86400 IN CNAME vhost-l1
yxsm 86400 IN CNAME webplus
ischoolgu 86400 IN A 121.192.180.235
qgyjdhx9 86400 IN CNAME webnt
api 86400 IN A 210.34.0.88
publicfinance 86400 IN A 210.34.5.41
luckyfox 86400 IN A 210.34.11.48
bgm 86400 IN CNAME coe
xmujw 86400 IN CNAME webplus
mbigc 86400 IN A 121.192.191.25
bjb 86400 IN CNAME vhost-l1
arn 86400 IN A 210.34.4.122
bio 86400 IN CNAME vhost
arp 86400 IN CNAME DNS
cuma 86400 IN CNAME vhost-l1
art 86400 IN A 121.192.179.53
atc 86400 IN CNAME webplus
cbe 86400 IN CNAME vhost-a9
qe 86400 IN CNAME length
register 86400 IN CNAME hwebserver1
car 86400 IN CNAME eguard
cas 86400 IN CNAME acccen
cat 86400 IN A 210.34.6.196
ccc 86400 IN CNAME webredirect
cce 86400 IN CNAME webredirect
atr 86400 IN CNAME ictlab
ub 86400 IN CNAME length
bmi 86400 IN A 121.192.180.253
ccs 86400 IN CNAME infoweb
ced 86400 IN A 121.192.191.143
cee 86400 IN CNAME coe
design 86400 IN CNAME webnt
ces 86400 IN CNAME jys
xmusm 86400 IN CNAME vhost
che 86400 IN CNAME webredirect
wlanaw 86400 IN A 172.16.6.2
cia 86400 IN A 121.192.177.83
pp 86400 IN CNAME length
wlancp 86400 IN A 172.16.6.10
zsb1 86400 IN A 210.34.0.218
sccmarx 86400 IN CNAME vhost
dag 86400 IN A 210.34.0.191
gjjmx 86400 IN A 121.192.176.26
eedc 86400 IN A 210.34.10.99
bst 86400 IN CNAME vhost
nyen 86400 IN A 121.192.179.68
cjy 86400 IN A 121.192.191.239
chinese 86400 IN A 121.192.180.101
cmi 86400 IN A 218.193.57.28
jdxjs 86400 IN CNAME webredirect
cs8 86400 IN A 121.192.180.148
ideal 86400 IN CNAME vhost
cmp 86400 IN A 121.192.177.195
cmr 86400 IN A 222.76.201.84
apwc2015 86400 IN CNAME vhost-l1
coe 86400 IN A 121.192.191.25
dgd 86400 IN CNAME coe
dnp2 86400 IN CNAME webplus
crc 86400 IN CNAME vhost
did 86400 IN A 210.34.218.165
mocvd12 86400 IN A 210.34.23.3
csc 86400 IN CNAME webplus
ocean2011 86400 IN CNAME mel
cse 86400 IN CNAME webplus
aa 86400 IN A 210.34.0.207
ab 86400 IN CNAME length
ac 86400 IN CNAME length
ad 86400 IN A 210.34.18.60
ae 86400 IN CNAME length
dns2 86400 IN AAAA 2001:da8:e800::15
ag 86400 IN CNAME length
ah 86400 IN CNAME length
ai 86400 IN A 59.77.17.61
ba 86400 IN CNAME length
ak 86400 IN CNAME length
bc 86400 IN CNAME length
bd 86400 IN CNAME length
be 86400 IN CNAME length
bf 86400 IN CNAME length
bg 86400 IN CNAME length
bh 86400 IN CNAME length
bi 86400 IN CNAME length
as 86400 IN CNAME length
bk 86400 IN CNAME length
cc 86400 IN CNAME length
cd 86400 IN CNAME length
ce 86400 IN A 121.192.180.147
bo 86400 IN CNAME length
cg 86400 IN CNAME length
i2 86400 IN CNAME incinfo
ci 86400 IN CNAME length
da 86400 IN CNAME length
db 86400 IN CNAME length
cl 86400 IN CNAME length
cm 86400 IN CNAME vhost-l1
de 86400 IN CNAME length
df 86400 IN CNAME length
dg 86400 IN CNAME length
dh 86400 IN CNAME length
cr 86400 IN CNAME length
eel 86400 IN CNAME webredirect
dk 86400 IN CNAME length
dl 86400 IN CNAME length
dm 86400 IN CNAME length
cw 86400 IN CNAME length
cx 86400 IN CNAME length
eg 86400 IN CNAME length
eh 86400 IN CNAME length
dr 86400 IN CNAME length
ej 86400 IN CNAME length
leadoc 86400 IN A 210.34.0.180
du 86400 IN CNAME length
dv 86400 IN CNAME length
dw 86400 IN CNAME length
cyh 86400 IN CNAME vhost
dy 86400 IN CNAME length
dz 86400 IN CNAME length
er 86400 IN CNAME length
fj 86400 IN CNAME length
fk 86400 IN CNAME length
gc 86400 IN CNAME length
fm 86400 IN CNAME length
fn 86400 IN CNAME length
ex 86400 IN CNAME length
fp 86400 IN CNAME length
fq 86400 IN CNAME length
gi 86400 IN CNAME length
fs 86400 IN CNAME length
ft 86400 IN CNAME length
gl 86400 IN CNAME length
gm 86400 IN CNAME length
gn 86400 IN CNAME length
go 86400 IN CNAME length
fy 86400 IN CNAME length
gq 86400 IN CNAME length
hi 86400 IN CNAME length
hj 86400 IN CNAME length
hk 86400 IN CNAME length
hl 86400 IN CNAME length
gv 86400 IN CNAME length
hn 86400 IN CNAME length
ho 86400 IN CNAME length
hp 86400 IN CNAME length
ih 86400 IN CNAME length
ii 86400 IN CNAME length
ja 86400 IN CNAME length
ik 86400 IN CNAME length
hu 86400 IN CNAME length
hv 86400 IN CNAME length
hw 86400 IN CNAME length
jf 86400 IN CNAME length
ip 86400 IN CNAME vhost
iq 86400 IN CNAME length
ir 86400 IN A 210.34.4.6
elc 86400 IN A 121.192.176.25
kb 86400 IN CNAME length
jptao 86400 IN CNAME vhost-l1
jm 86400 IN CNAME length
iw 86400 IN CNAME length
kf 86400 IN CNAME length
jp 86400 IN CNAME length
kh 86400 IN CNAME length
ki 86400 IN CNAME length
js 86400 IN CNAME length
kk 86400 IN CNAME length
kl 86400 IN CNAME length
km 86400 IN CNAME length
kn 86400 IN CNAME length
ko 86400 IN CNAME length
jy 86400 IN A 121.192.190.13
lh 86400 IN CNAME length
li 86400 IN CNAME length
ma 86400 IN CNAME length
lk 86400 IN CNAME length
ll 86400 IN CNAME length
md 86400 IN CNAME webplus
ln 86400 IN CNAME length
lo 86400 IN CNAME length
lp 86400 IN CNAME length
kz 86400 IN CNAME length
mi 86400 IN CNAME length
mj 86400 IN CNAME length
lt 86400 IN CNAME length
nc 86400 IN CNAME length
mm 86400 IN CNAME length
mn 86400 IN CNAME length
nf 86400 IN CNAME anet
mp 86400 IN CNAME length
lz 86400 IN CNAME length
ni 86400 IN CNAME length
nj 86400 IN CNAME length
mt 86400 IN A 59.77.7.206
nl 86400 IN CNAME length
od 86400 IN CNAME length
nn 86400 IN CNAME length
no 86400 IN CNAME length
og 86400 IN CNAME length
nq 86400 IN CNAME length
oi 86400 IN CNAME length
pa 86400 IN CNAME length
pb 86400 IN CNAME length
nu 86400 IN CNAME length
om 86400 IN CNAME length
pe 86400 IN CNAME length
oo 86400 IN CNAME length
op 86400 IN CNAME length
oq 86400 IN CNAME length
or 86400 IN CNAME length
qa 86400 IN CNAME length
pk 86400 IN CNAME length
pl 86400 IN CNAME length
ov 86400 IN CNAME length
ow 86400 IN CNAME length
po 86400 IN CNAME length
oy 86400 IN CNAME length
oz 86400 IN CNAME length
qi 86400 IN CNAME length
qj 86400 IN CNAME length
qk 86400 IN CNAME length
ql 86400 IN CNAME length
qm 86400 IN CNAME length
re 86400 IN CNAME length
qo 86400 IN CNAME length
py 86400 IN CNAME length
pz 86400 IN CNAME length
ri 86400 IN CNAME length
sa 86400 IN CNAME length
qt 86400 IN CNAME length
rl 86400 IN CNAME length
sd 86400 IN CNAME length
se 86400 IN CNAME economic
qx 86400 IN CNAME length
rp 86400 IN CNAME length
sh 86400 IN CNAME length
si 86400 IN CNAME length
sj 86400 IN CNAME length
sk 86400 IN CNAME iredirect15
ru 86400 IN CNAME length
sm 86400 IN A 121.192.176.187
rw 86400 IN CNAME length
rx 86400 IN CNAME length
sp 86400 IN CNAME length
sq 86400 IN CNAME length
sr 86400 IN CNAME length
ss 86400 IN CNAME length
st 86400 IN CNAME length
su 86400 IN CNAME length
sv 86400 IN CNAME length
sw 86400 IN CNAME length
sx 86400 IN CNAME length
sy 86400 IN CNAME length
sz 86400 IN CNAME length
tr 86400 IN CNAME length
ts 86400 IN CNAME length
tt 86400 IN CNAME length
tu 86400 IN CNAME length
feichen 86400 IN CNAME webplus
tw 86400 IN CNAME webplus-s3
phys 86400 IN A 121.192.177.201
ty 86400 IN CNAME length
tz 86400 IN CNAME length
ur 86400 IN CNAME length
us 86400 IN CNAME length
ut 86400 IN CNAME length
uu 86400 IN CNAME length
uv 86400 IN CNAME length
uw 86400 IN CNAME length
rh 86400 IN CNAME length
uy 86400 IN CNAME length
uz 86400 IN CNAME length
