@ 86400 IN SOA yddns root.yddns 947299390 10800 3600 604800 86400
@ 86400 IN NS yddns
@ 86400 IN MX 10 mail
gjyjs 86400 IN A 219.244.0.21
jwc 86400 IN A 219.244.0.21
fyllysj 86400 IN A 219.244.0.23
wgyxy 86400 IN A 219.244.0.21
jcjyzx 86400 IN A 219.244.0.21
rtjpslx 86400 IN A 219.244.0.23
rjgc 86400 IN A 219.244.0.23
jw 86400 IN A 219.244.0.21
nyxy 86400 IN A 219.244.0.21
jxw 86400 IN A 219.244.0.21
yjhx 86400 IN A 219.244.0.23
dbxb 86400 IN A 219.244.0.21
smkxy 86400 IN A 219.244.0.21
ydfz 86400 IN A 219.244.0.21
jxjyxy 86400 IN A 219.244.0.21
zfxy 86400 IN A 219.244.0.21
www 86400 IN A 219.244.0.21
cygch 86400 IN A 219.244.0.23
zgxdwx 86400 IN A 219.244.0.23
wxy 86400 IN A 219.244.0.21
jsjxy 86400 IN A 219.244.0.21
shtjx 86400 IN A 219.244.0.23
xschu 86400 IN A 219.244.0.21
curbr 86400 IN A 219.244.0.21
hsjdysjyw 86400 IN A 219.244.0.21
jgdw 86400 IN A 219.244.0.21
zggcdls 86400 IN A 219.244.0.23
zdgbxy 86400 IN A 219.244.0.21
tc 86400 IN A 219.244.0.23
cyzhb 86400 IN A 219.244.0.21
lyxy 86400 IN A 219.244.0.21
yjsc 86400 IN A 219.244.0.21
yydysx 86400 IN A 219.244.0.23
fxhx 86400 IN A 219.244.0.23
xdyxdl 86400 IN A 219.244.0.23
ggxy 86400 IN A 219.244.0.21
rschu 86400 IN A 219.244.0.21
tdh 86400 IN A 219.244.0.21
gzchu 86400 IN A 219.244.0.21
jspx 86400 IN A 219.244.0.21
mzdgl 86400 IN A 219.244.0.23
slx 86400 IN A 219.244.0.23
hsjdyszpsx 86400 IN A 219.244.0.23
mndzjs 86400 IN A 219.244.0.23
mkszyjbyl 86400 IN A 219.244.0.23
xyzh 86400 IN A 219.244.0.21
jglx 86400 IN A 219.244.0.23
wyzzjcjc 86400 IN A 219.244.0.23
ftp 86400 IN A 219.244.0.252
localhost 86400 IN A 127.0.0.1
weike 86400 IN A 219.244.0.23
glx 86400 IN A 219.244.0.23
dcffysw 86400 IN A 219.244.0.23
jsyj 86400 IN A 219.244.0.23
yxy 86400 IN A 219.244.0.21
yyx 86400 IN A 219.244.0.23
hqfwjt 86400 IN A 219.244.0.21
msjsh 86400 IN A 219.244.0.23
lswhxy 86400 IN A 219.244.0.21
zsw 86400 IN A 219.244.0.21
jgxy 86400 IN A 219.244.0.21
jzxy 86400 IN A 219.244.0.21
2015biotoxins 86400 IN A 219.244.0.21
gonghui 86400 IN A 219.244.0.21
wlhx 86400 IN A 219.244.0.23
mail 86400 IN A 219.244.0.20
wdxy 86400 IN A 219.244.0.21
sakai 86400 IN A 219.244.0.15
sbssh 86400 IN A 219.244.0.23
sdhw 86400 IN A 219.244.0.21
mlxy 86400 IN A 219.244.0.21
asyg 86400 IN A 219.244.0.23
blx 86400 IN A 219.244.0.23
jyjsx 86400 IN A 219.244.0.23
dxty 86400 IN A 219.244.0.23
swhx 86400 IN A 219.244.0.23
tuanwei 86400 IN A 219.244.0.21
tyxy 86400 IN A 219.244.0.21
dxwl 86400 IN A 219.244.0.23
ghchu 86400 IN A 219.244.0.21
zgddwx 86400 IN A 219.244.0.23
jpkcw 86400 IN A 219.244.0.23
zzxyptx 86400 IN A 219.244.0.23
xsyjw 86400 IN A 219.244.0.21
yajs 86400 IN A 219.244.0.21
hgxy 86400 IN A 219.244.0.21
dag 86400 IN A 219.244.0.21
dwhyjxgl 86400 IN A 219.244.0.23
shxgl 86400 IN A 219.244.0.23
sxfx 86400 IN A 219.244.0.23
zggdwx 86400 IN A 219.244.0.23
gjxy 86400 IN A 219.244.0.21
hjzlpj 86400 IN A 219.244.0.23
cwchu 86400 IN A 219.244.0.21
gxllmsh 86400 IN A 219.244.0.23
dwxcb 86400 IN A 219.244.0.21
xuebao 86400 IN A 219.244.0.21
xlxyrs 86400 IN A 219.244.0.23
zzb 86400 IN A 219.244.0.21
yyjsh 86400 IN A 219.244.0.23
dnywhgl 86400 IN A 219.244.0.23
sjchu 86400 IN A 219.244.0.21
ltchu 86400 IN A 219.244.0.21
mxjsysh 86400 IN A 219.244.0.23
jky 86400 IN A 219.244.0.21
hqchu 86400 IN A 219.244.0.21
wlzx 86400 IN A 219.244.0.21
zgds 86400 IN A 219.244.0.21
yddns 86400 IN A 219.244.0.19
job 86400 IN A 219.244.0.21
xlzx 86400 IN A 219.244.0.21
hzsys 86400 IN A 219.244.0.21
qzlx 86400 IN A 219.244.0.21
znjqr 86400 IN A 219.244.0.23
bwchu 86400 IN A 219.244.0.21
jjchu 86400 IN A 219.244.0.21
hsjdysdjt 86400 IN A 219.244.0.23
kjc 86400 IN A 219.244.0.21
