@ 86400 IN SOA pridns root.pridns 2015042803 10800 3600 604800 86400
@ 86400 IN NS pridns
86400 IN NS secdns
@ 86400 IN MX 10 webmail
mzzzx.col 86400 IN A 202.203.208.28
mzzzx.col 86400 IN AAAA 2001:250:2800:2::28
jxtd2008 86400 IN CNAME ynu101
nwebshow 86400 IN A 202.203.209.5
YNU.local 86400 IN A 222.19.199.11
www.dcxy 86400 IN CNAME dcxy
www.115 86400 IN CNAME ynu8
elearning 86400 IN A 202.203.209.243
webstar 86400 IN CNAME ynu8
www.zsb 86400 IN CNAME ynu11
secdns 86400 IN A 202.203.208.34
secdns 86400 IN AAAA 2001:250:2800:2::34
www.ynusky 86400 IN A 202.203.208.120
sei 86400 IN A 202.203.208.100
sei 86400 IN MX 10 webmail
sds 86400 IN A 202.203.32.212
www.art 86400 IN A 202.203.208.28
www.art 86400 IN AAAA 2001:250:2800:2::28
www.cas 86400 IN A 202.203.208.28
www.cas 86400 IN AAAA 2001:250:2800:2::28
ynu50 86400 IN A 202.203.208.50
www.seams-bull-math 86400 IN A 222.19.211.100
rsc 86400 IN CNAME ynu8
ycx.col 86400 IN A 202.203.208.28
ycx.col 86400 IN AAAA 2001:250:2800:2::28
www.vldbsummerschool 86400 IN CNAME www.sise
www.ced 86400 IN A 202.203.208.28
www.ced 86400 IN AAAA 2001:250:2800:2::28
www.ydcwc 86400 IN A 202.203.208.28
www.ydcwc 86400 IN AAAA 2001:250:2800:2::28
www.qingxie 86400 IN CNAME www.ydyouth
rjgc.col 86400 IN A 202.203.208.28
rjgc.col 86400 IN AAAA 2001:250:2800:2::28
netclass 86400 IN CNAME ynu8
zgmzs.col 86400 IN A 202.203.208.28
zgmzs.col 86400 IN AAAA 2001:250:2800:2::28
ynu59 86400 IN A 202.203.208.59
www.ydtg 86400 IN A 202.203.208.28
www.ydtg 86400 IN AAAA 2001:250:2800:2::28
sns 86400 IN A 202.203.208.30
sns 86400 IN AAAA 2001:250:2800:2::30
www.cis 86400 IN A 202.203.208.28
www.cis 86400 IN AAAA 2001:250:2800:2::28
dcxy 86400 IN A 220.163.118.139
www.bts 86400 IN A 202.203.208.28
www.bts 86400 IN AAAA 2001:250:2800:2::28
sse 86400 IN MX 20 71892d7f2309e64ba6aa36cf20484a.mail.outlook.com.
vcampus 86400 IN A 202.203.208.97
www.jdfa 86400 IN A 202.203.222.213
selab 86400 IN CNAME sei
www.xbzx 86400 IN A 202.203.209.108
www.col 86400 IN A 202.203.208.28
www.col 86400 IN AAAA 2001:250:2800:2::28
stu 86400 IN MX 15 1826300652.mail.outlook.com.
nwebdb 86400 IN A 202.203.209.3
office 86400 IN CNAME ynu8
www.swrq 86400 IN A 202.203.208.28
www.swrq 86400 IN AAAA 2001:250:2800:2::28
www.zjxm 86400 IN CNAME ynu66
ynu80 86400 IN A 202.203.208.80
www.research 86400 IN CNAME ynu8
www.eco 86400 IN A 202.203.208.28
www.eco 86400 IN AAAA 2001:250:2800:2::28
wxweb 86400 IN A 202.203.208.28
wxweb 86400 IN AAAA 2001:250:2800:2::28
www.ect 86400 IN A 202.203.36.8
www.cwc 86400 IN A 202.203.40.254
www.edp 86400 IN A 202.203.208.27
www.ynsoft 86400 IN CNAME ynu101
mail 86400 IN MX 10 webmail
www.mbrc 86400 IN CNAME ynu66
www.ydrwxy 86400 IN A 202.203.208.28
www.ydrwxy 86400 IN AAAA 2001:250:2800:2::28
www.palc 86400 IN CNAME ynu66
www.riet 86400 IN A 202.203.208.28
www.riet 86400 IN AAAA 2001:250:2800:2::28
ynu89 86400 IN A 202.203.208.89
www.crds 86400 IN AAAA 2001:250:2800:2::28
www.crds 86400 IN A 202.203.208.28
dwswx.col 86400 IN A 202.203.208.28
dwswx.col 86400 IN AAAA 2001:250:2800:2::28
www.jyzc 86400 IN A 202.203.208.105
urp 86400 IN A 202.203.208.28
urp 86400 IN AAAA 2001:250:2800:2::28
www.fec 86400 IN A 202.203.47.2
szpmys.col 86400 IN A 202.203.208.28
szpmys.col 86400 IN AAAA 2001:250:2800:2::28
www.eol 86400 IN CNAME ynu8
zlgc 86400 IN A 202.203.209.243
web 86400 IN CNAME ynu8
wxyjhx.col 86400 IN A 202.203.208.28
wxyjhx.col 86400 IN AAAA 2001:250:2800:2::28
network 86400 IN A 202.203.208.28
network 86400 IN AAAA 2001:250:2800:2::28
www.bioinfo 86400 IN A 202.203.33.2
ydyouth 86400 IN CNAME www.ydyouth
vod 86400 IN A 202.203.208.175
www.sxzx 86400 IN A 202.203.208.28
www.sxzx 86400 IN AAAA 2001:250:2800:2::28
yjhx.col 86400 IN A 202.203.208.28
yjhx.col 86400 IN AAAA 2001:250:2800:2::28
yncet 86400 IN CNAME ynu8
oa 86400 IN A 202.203.208.124
www.intl 86400 IN A 106.187.96.233
www.fls 86400 IN CNAME ynu8
rlstx.col 86400 IN A 202.203.208.28
rlstx.col 86400 IN AAAA 2001:250:2800:2::28
resource 86400 IN A 202.203.208.184
www.dwoffice 86400 IN A 202.203.208.28
www.dwoffice 86400 IN AAAA 2001:250:2800:2::28
airc 86400 IN A 222.19.201.5
www.jgdw 86400 IN CNAME ynu8
www.lnic 86400 IN A 202.203.36.9
www.yndxxb 86400 IN A 202.203.208.111
www.labct 86400 IN A 202.203.208.28
www.labct 86400 IN AAAA 2001:250:2800:2::28
alumnu 86400 IN MX 10 webmail
sphx.col 86400 IN A 202.203.208.28
sphx.col 86400 IN AAAA 2001:250:2800:2::28
www.rwxylsx 86400 IN A 202.203.208.28
www.rwxylsx 86400 IN AAAA 2001:250:2800:2::28
xdwxs.col 86400 IN A 202.203.208.28
xdwxs.col 86400 IN AAAA 2001:250:2800:2::28
yangpu 86400 IN CNAME ynu8
2008.sy 86400 IN CNAME ynu8
www.gms 86400 IN A 202.203.208.28
www.gms 86400 IN AAAA 2001:250:2800:2::28
zsb 86400 IN CNAME ynu11
90 86400 IN A 202.203.208.28
90 86400 IN AAAA 2001:250:2800:2::28
www.ynsrin 86400 IN A 202.203.208.164
www.hie 86400 IN A 202.203.208.28
www.hie 86400 IN AAAA 2001:250:2800:2::28
www.mzyjy 86400 IN CNAME www.xbzx
www 86400 IN A 202.203.208.28
www 86400 IN AAAA 2001:250:2800:2::28
www.grs 86400 IN A 202.203.208.28
www.grs 86400 IN AAAA 2001:250:2800:2::28
play.api 86400 IN A 202.203.209.82
www.resource 86400 IN CNAME resource
dlqxx.col 86400 IN A 202.203.208.28
dlqxx.col 86400 IN AAAA 2001:250:2800:2::28
ptstx.col 86400 IN A 202.203.208.28
ptstx.col 86400 IN AAAA 2001:250:2800:2::28
www.csyn 86400 IN CNAME ynu66
www.ynuls 86400 IN A 202.203.208.28
www.ynuls 86400 IN AAAA 2001:250:2800:2::28
www.ieg 86400 IN A 222.19.211.112
lwcc.grs 86400 IN A 202.203.208.15
web37 86400 IN A 202.203.208.37
www.office 86400 IN CNAME web37
web39 86400 IN A 202.203.208.39
www.iep 86400 IN A 202.203.208.28
www.iep 86400 IN AAAA 2001:250:2800:2::28
www.ires 86400 IN A 202.203.208.28
www.ires 86400 IN AAAA 2001:250:2800:2::28
www.hos 86400 IN A 202.203.208.28
www.hos 86400 IN AAAA 2001:250:2800:2::28
www.congatg 86400 IN A 222.19.211.101
pridns 86400 IN A 202.203.208.33
pridns 86400 IN AAAA 2001:250:2800:2::33
www.ecls 86400 IN CNAME www.ynusky
rxdl.col 86400 IN A 202.203.208.28
rxdl.col 86400 IN AAAA 2001:250:2800:2::28
www.dhywebpage 86400 IN A 202.203.208.28
www.dhywebpage 86400 IN AAAA 2001:250:2800:2::28
www.80xq 86400 IN CNAME www.train
www.aec.sise 86400 IN CNAME www.cs.sise
www.sees 86400 IN A 202.203.208.41
www.summer 86400 IN CNAME www.xbzx
www.dlsy 86400 IN A 202.203.208.28
www.dlsy 86400 IN AAAA 2001:250:2800:2::28
bbs 86400 IN A 113.55.0.222
bbs 86400 IN AAAA 2001:250:2800:344:222::1
www.isc 86400 IN A 202.203.208.28
www.isc 86400 IN AAAA 2001:250:2800:2::28
www.open 86400 IN A 202.203.213.28
ggsygl.col 86400 IN A 202.203.208.28
ggsygl.col 86400 IN AAAA 2001:250:2800:2::28
www.jjs 86400 IN A 202.203.208.28
www.jjs 86400 IN AAAA 2001:250:2800:2::28
www.itat 86400 IN CNAME www.train
www.nankai 86400 IN A 202.203.32.230
ynu19 86400 IN A 202.203.208.19
www.job 86400 IN A 202.203.208.122
ynu8 86400 IN A 202.203.208.8
ynu8 86400 IN AAAA 2001:250:2800:2::8
jy.apps 86400 IN A 202.203.209.83
www.hsd 86400 IN A 202.203.208.28
www.hsd 86400 IN AAAA 2001:250:2800:2::28
