@ 3600 IN SOA gw admin.gw 2013092701 86400 7200 2592000 3600
@ 3600 IN NS info
3600 IN NS gw
3600 IN NS ns1.yar.ru.
3600 IN NS ns3.yar.ru.
@ 86400 IN A 193.233.49.131
@ 86400 IN MX 10 mail
fmf 86400 IN A 193.233.49.131
tav 86400 IN A 193.233.49.131
pf 86400 IN A 193.233.49.131
vestnik 86400 IN A 193.233.49.131
noc 86400 IN A 193.233.54.43
fz 86400 IN A 193.233.49.131
citforum 86400 IN A 193.233.49.131
geo 86400 IN A 193.233.49.131
gw 86400 IN A 193.233.54.33
felix 86400 IN A 193.233.54.51
ipp 86400 IN A 193.233.49.131
rm 86400 IN A 193.233.54.61
fizmat 86400 IN A 193.233.49.131
ypk 86400 IN A 193.233.49.131
hp-193-233-54-61 86400 IN A 193.233.54.61
tech 86400 IN A 193.233.49.131
test 86400 IN A 193.233.49.131
rio 86400 IN A 193.233.49.131
io-sun 86400 IN A 193.233.54.51
zo 86400 IN A 193.233.49.131
reklama 86400 IN A 193.233.49.131
lib 86400 IN A 193.233.54.47
gemini-r 86400 IN A 193.233.54.33
fppk 86400 IN A 193.233.49.131
cito-web 86400 IN A 193.233.49.131
wiki 86400 IN A 193.233.49.131
sib 86400 IN A 193.233.49.131
host 86400 IN A 193.233.54.62
new-yspu 86400 IN A 193.233.49.131
mail 86400 IN A 193.233.54.48
ftp 86400 IN A 193.233.49.131
www 86400 IN A 193.233.49.131
philology 86400 IN A 193.233.49.131
ns 86400 IN A 193.233.54.34
job 86400 IN A 193.233.49.131
info 86400 IN A 193.233.54.34
dlf 86400 IN A 193.233.49.131
RB-1-193-233-54-62 86400 IN A 193.233.54.62
egf 86400 IN A 193.233.49.131
botsad-web 86400 IN A 193.233.49.131
nauka 86400 IN A 193.233.49.131
updates 86400 IN A 193.233.49.131
lib1 86400 IN A 193.233.54.36
gemini 86400 IN A 193.233.54.33
df 86400 IN A 193.233.49.131
inf 86400 IN A 193.233.49.131
inyaz 86400 IN A 193.233.49.131
logos 86400 IN A 193.233.49.131
gw0 86400 IN A 193.233.54.33
student 86400 IN A 193.233.54.34
sunrise 86400 IN A 193.233.54.34
history 86400 IN A 193.233.49.131
gore-posor 86400 IN A 193.233.49.131
webinar 86400 IN A 193.233.54.54
