@ 86400 IN SOA nmc root.nmc 20130503 28800 7200 604800 86400
@ 86400 IN NS nmc
@ 86400 IN MX 10 mail
@ 86400 IN A 61.153.34.3
yywzw 86400 IN A 61.153.34.35
hqjt 86400 IN A 61.153.34.35
clgc 86400 IN A 61.153.34.13
iice 86400 IN A 61.153.34.13
xxsh 86400 IN A 61.153.34.35
price 86400 IN A 61.153.34.51
overseas 86400 IN A 61.153.34.24
mentalhealth 86400 IN A 61.153.34.13
ddcg 86400 IN A 61.153.34.35
qgjxjn 86400 IN A 61.153.34.35
xzfx 86400 IN A 61.153.34.13
xxzh 86400 IN A 61.153.34.24
aft 86400 IN A 61.153.34.13
j 86400 IN A 61.153.34.31
rpt 86400 IN A 61.153.34.20
rsc 86400 IN A 61.153.34.35
xzjy 86400 IN A 61.153.34.35
skc 86400 IN A 61.153.34.31
gaoshu 86400 IN A 61.153.34.51
oa 86400 IN A 10.1.67.5
jyrw 86400 IN A 61.153.34.32
sky 86400 IN A 61.153.34.31
tec 86400 IN A 61.153.34.24
psychology 86400 IN A 61.153.34.24
zjce 86400 IN A 61.153.34.13
zlh 86400 IN A 61.153.34.22
music1 86400 IN A 210.33.80.33
etwx 86400 IN A 61.153.34.20
office 86400 IN A 61.153.34.20
ecology 86400 IN A 61.153.34.51
xxtyyjs 86400 IN A 61.153.34.20
sxl 86400 IN A 61.153.34.24
xzzs 86400 IN A 61.153.34.22
ysjd 86400 IN A 61.153.34.35
sxy 86400 IN A 61.153.34.35
nlphys 86400 IN A 61.153.34.13
gdjy 86400 IN A 61.153.34.20
jour 86400 IN CNAME qk.3g.chaoxing.com.
mail 86400 IN A 210.33.80.6
swjs 86400 IN A 61.153.34.22
shixi 86400 IN A 61.153.34.51
txl 86400 IN A 61.153.34.20
discrete 86400 IN A 61.153.34.13
tzb 86400 IN A 61.153.34.51
dmtdswpxt 86400 IN A 61.153.34.18
lize 86400 IN A 61.153.34.22
rjyfzx 86400 IN A 61.153.34.51
tiwei 86400 IN A 61.153.34.32
zlgl 86400 IN A 61.153.34.13
zjxy 86400 IN A 61.153.34.35
swtp 86400 IN A 61.153.34.24
jdjs 86400 IN A 61.153.34.51
mcfc 86400 IN A 61.153.34.22
vpn 86400 IN A 122.226.225.146
newspaper 86400 IN CNAME newspaper1.3g.chaoxing.com.
zjzx 86400 IN A 61.153.34.13
whs 86400 IN A 61.153.34.35
remote 86400 IN A 61.153.34.13
biolab 86400 IN A 61.153.34.35
swxx 86400 IN A 10.1.66.11
info 86400 IN CNAME ecampus
xcb 86400 IN A 61.153.34.22
zsdfx 86400 IN A 61.153.34.51
cgzxglxt 86400 IN A 61.153.34.51
hwjd 86400 IN A 61.153.34.35
hzxqlib 86400 IN A 61.153.34.31
dmtds 86400 IN A 61.153.34.51
opticins 86400 IN A 61.153.34.35
liuxue 86400 IN A 61.153.34.13
tour 86400 IN A 61.153.34.22
sycl 86400 IN A 61.153.34.35
xfw 86400 IN A 61.153.34.35
yyx 86400 IN A 61.153.34.35
wsc 86400 IN A 61.153.34.24
eelab 86400 IN A 61.153.34.35
rihve 86400 IN A 61.153.34.35
safe 86400 IN A 61.153.34.35
weixin 86400 IN A 61.153.34.35
sxzx 86400 IN A 61.153.34.35
zjpxjd 86400 IN A 61.153.34.51
365 86400 IN A 61.153.34.35
ygb 86400 IN A 61.153.34.24
www 86400 IN A 61.153.34.3
optickey 86400 IN A 61.153.34.13
njtwl 86400 IN A 61.153.34.24
xsc 86400 IN A 61.153.34.32
jsjyy 86400 IN A 61.153.34.13
pdas 86400 IN A 61.153.34.35
yjs 86400 IN A 61.153.34.24
szpx 86400 IN A 61.153.34.31
ykt 86400 IN A 10.1.118.244
ichzj 86400 IN A 61.153.34.51
xxb 86400 IN A 61.153.34.20
acm 86400 IN A 61.153.34.35
caibs 86400 IN A 61.153.34.13
jgjs 86400 IN A 61.153.34.22
ywpx 86400 IN A 61.153.34.20
xyk 86400 IN A 61.153.34.35
hzbx 86400 IN A 61.153.34.22
kxfz 86400 IN A 61.153.34.51
oet 86400 IN A 61.153.34.35
keylbzj 86400 IN A 61.153.34.32
jfzd 86400 IN A 61.153.34.35
huanjing 86400 IN A 61.153.34.13
cgxxgl 86400 IN A 61.153.34.51
bas 86400 IN A 61.153.34.13
safety 86400 IN A 61.153.34.51
bbs 86400 IN A 61.153.34.35
acoustics 86400 IN A 61.153.34.13
analchem 86400 IN A 61.153.34.13
aquaculture 86400 IN A 61.153.34.13
yyhx 86400 IN A 61.153.34.35
gism 86400 IN A 61.153.34.22
sjc 86400 IN A 61.153.34.51
dlhj 86400 IN A 61.153.34.24
nyswjs 86400 IN A 61.153.34.51
zsb 86400 IN A 61.153.34.20
yzw 86400 IN A 61.153.34.13
machinery 86400 IN A 61.153.34.35
12nycc 86400 IN A 61.153.34.51
ccb 86400 IN A 61.153.34.51
yzgl 86400 IN A 61.153.34.51
cci 86400 IN A 61.153.34.22
cver 86400 IN A 61.153.34.35
archives 86400 IN A 61.153.34.34
zyk 86400 IN A 61.153.34.11
agrobiotech 86400 IN A 61.153.34.51
yxzx 86400 IN A 61.153.34.51
sdkp 86400 IN A 61.153.34.24
opac 86400 IN A 61.153.34.13
mksxy 86400 IN A 61.153.34.22
zyz 86400 IN A 61.153.34.24
zsdbaby 86400 IN A 61.153.34.51
mfxy 86400 IN A 61.153.34.13
qgjsj 86400 IN A 61.153.34.35
cuta 86400 IN A 61.153.34.32
wdhqfw 86400 IN A 61.153.34.51
hzxq 86400 IN A 220.189.211.102
ecsr 86400 IN A 61.153.34.35
dag 86400 IN A 61.153.34.35
hzys 86400 IN A 61.153.34.22
cwcx 86400 IN A 61.153.34.35
cjy 86400 IN A 61.153.34.35
gjxy 86400 IN A 61.153.34.24
bwc 86400 IN A 61.153.34.51
cwgl 86400 IN A 61.153.34.35
sdst 86400 IN A 61.153.34.24
zzb 86400 IN A 61.153.34.35
dgj 86400 IN A 61.153.34.22
sfcx 86400 IN A 61.153.34.35
sdxb 86400 IN A 61.153.34.51
chemlab 86400 IN A 61.153.34.35
xkjs 86400 IN A 61.153.34.22
csd 86400 IN A 61.153.34.3
jsb 86400 IN A 61.153.34.24
ai 86400 IN A 61.153.34.51
nonlsci 86400 IN A 61.153.34.35
cxcy 86400 IN A 61.153.34.35
wjhx 86400 IN A 61.153.34.24
cg 86400 IN A 10.1.119.50
cus 86400 IN A 61.153.34.20
cwc 86400 IN A 61.153.34.22
cp 86400 IN A 61.153.34.35
gmis 86400 IN A 61.153.34.13
soft1 86400 IN A 210.33.80.32
yh 86400 IN A 61.153.34.22
el 86400 IN A 10.1.66.6
et 86400 IN A 61.153.34.51
jnculture 86400 IN A 61.153.34.51
gh 86400 IN A 61.153.34.35
hb 86400 IN A 61.153.34.51
fz 86400 IN A 61.153.34.35
yjszs 86400 IN A 61.153.34.35
eit 86400 IN A 61.153.34.24
it 86400 IN A 61.153.34.31
jjzx 86400 IN A 61.153.34.35
jw 86400 IN A 61.153.34.35
tysyzx 86400 IN A 61.153.34.13
mc 86400 IN CNAME mc.3g.chaoxing.com.
eng 86400 IN CNAME fqk.3g.chaoxing.com.
fdy 86400 IN A 61.153.34.51
mp 86400 IN A 61.153.34.13
fgb 86400 IN A 61.153.34.24
ms 86400 IN A 10.1.136.20
dyh 86400 IN A 61.153.34.20
pe 86400 IN A 61.153.34.13
pf 86400 IN A 61.153.34.35
pg 86400 IN A 61.153.34.13
qm 86400 IN A 61.153.34.31
px 86400 IN A 61.153.34.22
qw 86400 IN CNAME qw.3g.chaoxing.com.
flc 86400 IN A 61.153.34.35
flf 86400 IN A 61.153.34.22
rw 86400 IN A 61.153.34.31
tycg 86400 IN A 61.153.34.32
sfzx 86400 IN A 61.153.34.51
xlxh 86400 IN A 61.153.34.32
xddwx 86400 IN A 61.153.34.24
jmjx 86400 IN A 61.153.34.22
tv 86400 IN A 10.1.50.101
tw 86400 IN A 61.153.34.24
cisco 86400 IN A 61.153.34.24
ggc 86400 IN A 61.153.34.35
cstcmp 86400 IN A 61.153.34.22
678890 86400 IN A 61.153.34.35
ghc 86400 IN A 61.153.34.24
mlib 86400 IN CNAME www.3g.chaoxing.com.
xlzx 86400 IN A 61.153.34.35
wx 86400 IN A 61.153.34.35
hqurp 86400 IN A 61.153.34.35
eys 86400 IN A 61.153.34.24
frf 86400 IN A 61.153.34.35
yp 86400 IN A 61.153.34.35
xz 86400 IN A 61.153.34.13
yy 86400 IN A 61.153.34.35
zs 86400 IN A 61.153.34.13
gjn 86400 IN A 61.153.34.31
zw 86400 IN A 61.153.34.35
xueke 86400 IN A 61.153.34.31
szkjx 86400 IN A 61.153.34.35
flash 86400 IN A 10.1.66.6
ltxc 86400 IN A 61.153.34.13
cyxy 86400 IN A 61.153.34.35
hksyjx 86400 IN A 61.153.34.13
hgc 86400 IN A 61.153.34.22
grc 86400 IN A 61.153.34.13
fyx 86400 IN A 61.153.34.51
skc1 86400 IN A 61.153.34.10
zsdrtwxyjs 86400 IN A 61.153.34.22
ics 86400 IN A 61.153.34.35
thephy 86400 IN A 61.153.34.13
cccs 86400 IN A 61.153.34.22
wygl 86400 IN A 61.153.34.35
ies 86400 IN A 61.153.34.20
gzc 86400 IN A 61.153.34.20
wyjf 86400 IN A 210.33.81.6
tyxy 86400 IN A 61.153.34.35
fbbr 86400 IN A 61.153.34.35
mpilab 86400 IN A 61.153.34.13
zpywjy 86400 IN A 61.153.34.22
hksyzx 86400 IN A 61.153.34.13
jypls 86400 IN A 61.153.34.32
tcas 86400 IN A 61.153.34.13
zxjl 86400 IN A 61.153.34.13
iop 86400 IN A 61.153.34.51
hys 86400 IN A 220.189.211.102
jjc 86400 IN A 61.153.34.22
kfxy 86400 IN A 61.153.34.24
jjh 86400 IN A 61.153.34.35
tykzzk 86400 IN A 61.153.34.32
iso 86400 IN A 61.153.34.13
zygh 86400 IN A 61.153.34.24
mpck 86400 IN A 61.153.34.24
gsgl 86400 IN A 61.153.34.22
jxcgj 86400 IN A 61.153.34.32
zyfx 86400 IN A 61.153.34.35
jky 86400 IN A 61.153.34.22
physicslab 86400 IN A 61.153.34.24
news 86400 IN A 61.153.34.22
ecampus 86400 IN A 61.153.34.31
ccxy 86400 IN A 61.153.34.51
wenke 86400 IN A 61.153.34.20
lab 86400 IN A 61.153.34.20
kjc 86400 IN A 61.153.34.32
kjg 86400 IN A 61.153.34.51
vlab 86400 IN A 61.153.34.32
jsj 86400 IN A 61.153.34.35
xzshijian 86400 IN A 61.153.34.24
slxx 86400 IN A 61.153.34.35
jwc 86400 IN A 61.153.34.22
led 86400 IN A 61.153.34.13
photo 86400 IN A 61.153.34.22
lib 86400 IN A 61.153.34.35
lic 86400 IN A 61.153.34.31
jyw 86400 IN A 61.153.34.34
xtbg 86400 IN A 10.1.68.246
fcss 86400 IN A 61.153.34.51
kycmis 86400 IN A 61.153.34.10
yjjt 86400 IN A 61.153.34.31
jsfz 86400 IN A 61.153.34.32
mba 86400 IN A 61.153.34.35
xsky 86400 IN A 61.153.34.24
mcm 86400 IN A 61.153.34.13
zzpx 86400 IN A 61.153.34.35
bkjxb 86400 IN A 61.153.34.35
sslvpn 86400 IN A 61.153.34.49
kyc 86400 IN A 61.153.34.10
book 86400 IN CNAME book1.3g.chaoxing.com.
lyxy 86400 IN A 61.153.34.24
kzb 86400 IN A 61.153.34.35
yjsb 86400 IN A 61.153.34.24
et2x 86400 IN A 61.153.34.13
hospital 86400 IN A 61.153.34.35
planning 86400 IN A 61.153.34.24
rwoa 86400 IN A 61.153.34.35
kyy 86400 IN A 61.153.34.31
xssq 86400 IN A 61.153.34.35
tysys 86400 IN A 61.153.34.51
soft 86400 IN A 10.1.66.6
umedia2010 86400 IN A 61.153.34.51
faw-aaim2011 86400 IN A 61.153.34.24
chem 86400 IN A 61.153.34.13
mpa 86400 IN A 61.153.34.24
zcgs 86400 IN A 61.153.34.13
dxgx 86400 IN A 61.153.34.35
mpi 86400 IN A 61.153.34.22
botany 86400 IN A 61.153.34.24
fypx 86400 IN A 61.153.34.20
imcclgc 86400 IN A 61.153.34.35
msw 86400 IN A 61.153.34.22
nmc 86400 IN A 210.33.80.8
zcps 86400 IN A 10.1.131.100
prip 86400 IN A 10.1.75.45
myk 86400 IN A 61.153.34.35
music 86400 IN A 10.1.66.6
dqzdh 86400 IN A 61.153.34.24
cjymis 86400 IN A 61.153.34.35
jtxy 86400 IN A 61.153.34.24
zxsxlfd 86400 IN A 61.153.34.11
cgzx 86400 IN A 61.153.34.35
tian 86400 IN A 61.153.34.35
msxy 86400 IN A 61.153.34.35
online 86400 IN A 61.153.34.33
maths 86400 IN A 61.153.34.24
pic 86400 IN A 61.153.34.24
jwgl 86400 IN A 61.153.34.22
xxcb 86400 IN A 61.153.34.24
xyst 86400 IN A 61.153.34.51
50th 86400 IN A 61.153.34.22
ryzy 86400 IN A 61.153.34.51
gxy 86400 IN A 61.153.34.24
zdxs 86400 IN A 61.153.34.35
xxgk 86400 IN A 61.153.34.34
dns 86400 IN A 210.33.80.8
dyzj 86400 IN A 61.153.34.24
ppg 86400 IN A 61.153.34.35
zgyywx 86400 IN A 61.153.34.35
physics 86400 IN A 61.153.34.51
jxgc 86400 IN A 61.153.34.13
jfxxgk 86400 IN A 61.153.34.35
sxzzts 86400 IN A 61.153.34.13
rcc 86400 IN A 61.153.34.35
qks 86400 IN A 61.153.34.24
